"Team Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","",""
"Rank","Name","G","Season","Location","Team Name","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 ATT","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %"
"1","Miami Dolphins","17","2025","Miami","Dolphins","41","226","13.3","5.51","1","0","5","7.3","86","38.1","1","2.4","46.3","53.7","4","0.10","130","3.17","57.5","2.34","0","","0","0","","","41","100.0","226","1","5.51","46.3"
"2","Tennessee Titans","16","2025","Tennessee","Titans","40","209","13.1","5.23","6","2","11","5.0","121","57.9","9","15.0","47.5","57.5","8","0.20","65","1.63","31.1","3.60","0","","0","0","","","40","100.0","209","6","5.23","47.5"
"3","Denver Broncos","17","2025","Denver","Broncos","64","208","12.2","3.25","6","1","11","","0","","8","9.4","51.6","43.8","7","0.11","131","2.05","63.0","1.20","0","","0","0","","","64","100.0","208","6","3.25","51.6"
"4","Atlanta Falcons","12","2025","Atlanta","Falcons","41","204","17.0","4.98","3","0","9","7.3","55","27.0","5","7.3","53.7","43.9","9","0.22","101","2.46","49.5","2.51","0","","0","0","","","41","100.0","204","3","4.98","53.7"
"5","New York Giants","17","2025","New York","Giants","32","161","9.5","5.03","4","0","10","3.1","30","18.6","4","12.5","56.3","34.4","7","0.22","86","2.69","53.4","2.34","0","","0","0","","","32","100.0","161","4","5.03","56.3"
"6","Las Vegas Raiders","15","2025","Las Vegas","Raiders","44","155","10.3","3.52","3","1","9","","0","","7","6.8","56.8","47.7","4","0.09","119","2.70","76.8","0.82","0","","0","0","","","44","100.0","155","3","3.52","56.8"
"7","Cincinnati Bengals","14","2025","Cincinnati","Bengals","21","151","10.8","7.19","1","0","6","14.3","78","51.7","1","4.8","57.1","38.1","2","0.10","42","2.00","27.8","5.19","0","","0","0","","","21","100.0","151","1","7.19","57.1"
"8","Dallas Cowboys","16","2025","Dallas","Cowboys","29","151","9.4","5.21","4","0","12","10.3","48","31.8","5","13.8","69.0","34.5","2","0.07","65","2.24","43.0","2.97","0","","0","0","","","29","100.0","151","4","5.21","69.0"
"9","Green Bay Packers","16","2025","Green Bay","Packers","41","151","9.4","3.68","2","0","13","","0","","5","4.9","53.7","39.0","4","0.10","73","1.78","48.3","1.90","0","","0","0","","","41","100.0","151","2","3.68","53.7"
"10","Buffalo Bills","14","2025","Buffalo","Bills","26","143","10.2","5.50","1","1","6","7.7","67","46.9","0","3.8","42.3","53.8","6","0.23","38","1.46","26.6","4.04","0","","0","0","","","26","100.0","143","1","5.50","42.3"
"11","Los Angeles Chargers","17","2025","Los Angeles","Chargers","31","138","8.1","4.45","0","0","8","","0","","1","","71.0","22.6","6","0.19","59","1.90","42.8","2.55","0","","0","0","","","31","100.0","138","0","4.45","71.0"
"12","Indianapolis Colts","17","2025","Indianapolis","Colts","32","130","7.6","4.06","2","0","7","6.3","36","27.7","4","6.3","46.9","50.0","8","0.25","60","1.88","46.2","2.19","0","","0","0","","","32","100.0","130","2","4.06","46.9"
"13","Detroit Lions","14","2025","Detroit","Lions","31","126","9.0","4.06","3","0","9","3.2","28","22.2","5","9.7","51.6","54.8","2","0.06","56","1.81","44.4","2.26","0","","0","0","","","31","100.0","126","3","4.06","51.6"
"14","New Orleans Saints","15","2025","New Orleans","Saints","40","112","7.5","2.80","3","2","7","","0","","6","7.5","45.0","52.5","3","0.08","54","1.35","48.2","1.45","0","","0","0","","","40","100.0","112","3","2.80","45.0"
"15","Washington Commanders","16","2025","Washington","Commanders","24","107","6.7","4.46","1","0","6","4.2","21","19.6","2","4.2","45.8","50.0","1","0.04","50","2.08","46.7","2.38","0","","0","0","","","24","100.0","107","1","4.46","45.8"
