"Team Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","",""
"Rank","Name","G","Season","Location","Team Name","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 ATT","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %"
"1","Cincinnati Bengals","16","2025","Cincinnati","Bengals","41","282","17.6","6.88","1","0","12","12.2","148","52.5","1","2.4","53.7","36.6","13","0.32","144","3.51","51.1","3.37","0","","0","0","","","41","100.0","282","1","6.88","53.7"
"2","Washington Commanders","17","2025","Washington","Commanders","33","250","14.7","7.58","3","0","14","21.2","149","59.6","3","9.1","66.7","30.3","7","0.21","70","2.12","28.0","5.45","0","","0","0","","","33","100.0","250","3","7.58","66.7"
"3","Las Vegas Raiders","16","2025","Las Vegas","Raiders","32","210","13.1","6.56","4","1","15","12.5","127","60.5","5","12.5","56.3","43.8","10","0.31","74","2.31","35.2","4.25","0","","0","0","","","32","100.0","210","4","6.56","56.3"
"4","New York Giants","15","2025","New York","Giants","32","204","13.6","6.38","1","0","11","18.8","141","69.1","0","3.1","53.1","46.9","10","0.31","99","3.09","48.5","3.28","0","","0","0","","","32","100.0","204","1","6.38","53.1"
"5","Tennessee Titans","17","2025","Tennessee","Titans","25","187","11.0","7.48","1","0","6","8.0","95","50.8","0","4.0","52.0","44.0","7","0.28","57","2.28","30.5","5.20","0","","0","0","","","25","100.0","187","1","7.48","52.0"
"6","Cleveland Browns","17","2025","Cleveland","Browns","45","187","11.0","4.16","0","3","13","8.9","87","46.5","1","","40.0","57.8","9","0.20","129","2.87","69.0","1.29","0","","0","0","","","45","100.0","187","0","4.16","40.0"
"7","Dallas Cowboys","17","2025","Dallas","Cowboys","38","182","10.7","4.79","1","1","10","7.9","72","39.6","1","2.6","44.7","50.0","2","0.05","61","1.61","33.5","3.18","0","","0","0","","","38","100.0","182","1","4.79","44.7"
"8","Indianapolis Colts","16","2025","Indianapolis","Colts","28","179","11.2","6.39","4","1","10","10.7","95","53.1","3","14.3","57.1","35.7","1","0.04","88","3.14","49.2","3.25","0","","0","0","","","28","100.0","179","4","6.39","57.1"
"9","Atlanta Falcons","16","2025","Atlanta","Falcons","36","171","10.7","4.75","0","0","3","5.6","46","26.9","1","","61.1","38.9","2","0.06","88","2.44","51.5","2.31","0","","0","0","","","36","100.0","171","0","4.75","61.1"
"10","Los Angeles Chargers","17","2025","Los Angeles","Chargers","26","165","9.7","6.35","4","0","10","11.5","79","47.9","2","15.4","53.8","42.3","7","0.27","50","1.92","30.3","4.42","0","","0","0","","","26","100.0","165","4","6.35","53.8"
"11","Green Bay Packers","15","2025","Green Bay","Packers","37","161","10.7","4.35","2","0","7","2.7","29","18.0","2","5.4","45.9","43.2","1","0.03","68","1.84","42.2","2.51","0","","0","0","","","37","100.0","161","2","4.35","45.9"
"12","Philadelphia Eagles","17","2025","Philadelphia","Eagles","25","153","9.0","6.12","1","1","8","4.0","49","32.0","1","4.0","64.0","36.0","2","0.08","57","2.28","37.3","3.84","0","","0","0","","","25","100.0","153","1","6.12","64.0"
"13","Arizona Cardinals","17","2025","Arizona","Cardinals","21","142","8.4","6.76","2","0","7","14.3","64","45.1","2","9.5","57.1","28.6","4","0.19","44","2.10","31.0","4.67","0","","0","0","","","21","100.0","142","2","6.76","57.1"
"14","Buffalo Bills","16","2025","Buffalo","Bills","28","141","8.8","5.04","2","1","6","10.7","84","59.6","1","7.1","35.7","57.1","6","0.21","72","2.57","51.1","2.46","0","","0","0","","","28","100.0","141","2","5.04","35.7"
"15","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","20","133","7.8","6.65","2","1","8","10.0","74","55.6","1","10.0","60.0","35.0","1","0.05","31","1.55","23.3","5.10","0","","0","0","","","20","100.0","133","2","6.65","60.0"
"16","San Francisco 49ers","16","2025","San Francisco","49ers","26","133","8.3","5.12","2","1","7","11.5","54","40.6","1","7.7","57.7","38.5","11","0.42","68","2.62","51.1","2.50","0","","0","0","","","26","100.0","133","2","5.12","57.7"
"17","Kansas City Chiefs","12","2025","Kansas City","Chiefs","28","115","9.6","4.11","1","0","4","3.6","25","21.7","2","3.6","42.9","50.0","5","0.18","60","2.14","52.2","1.96","0","","0","0","","","28","100.0","115","1","4.11","42.9"
"18","Chicago Bears","17","2025","Chicago","Bears","21","107","6.3","5.10","0","3","2","9.5","47","43.9","0","","47.6","47.6","7","0.33","48","2.29","44.9","2.81","0","","0","0","","","21","100.0","107","0","5.10","47.6"
"19","Seattle Seahawks","15","2025","Seattle","Seahawks","29","104","6.9","3.59","3","0","7","","0","","2","10.3","51.7","44.8","4","0.14","59","2.03","56.7","1.55","0","","0","0","","","29","100.0","104","3","3.59","51.7"
"20","Houston Texans","15","2025","Houston","Texans","28","102","6.8","3.64","1","1","5","3.6","21","20.6","1","3.6","35.7","53.6","6","0.21","70","2.50","68.6","1.14","0","","0","0","","","28","100.0","102","1","3.64","35.7"
"21","New Orleans Saints","17","2025","New Orleans","Saints","17","93","5.5","5.47","1","1","4","5.9","52","55.9","1","5.9","47.1","47.1","3","0.18","43","2.53","46.2","2.94","0","","0","0","","","17","100.0","93","1","5.47","47.1"
"22","New York Jets","16","2025","New York","Jets","29","91","5.7","3.14","3","1","5","","0","","1","10.3","31.0","58.6","5","0.17","52","1.79","57.1","1.34","0","","0","0","","","29","100.0","91","3","3.14","31.0"
"23","Miami Dolphins","17","2025","Miami","Dolphins","27","82","4.8","3.04","2","0","4","3.7","53","64.6","4","7.4","29.6","66.7","5","0.19","86","3.19","104.9","-0.15","0","","0","0","","","27","100.0","82","2","3.04","29.6"
"24","Los Angeles Rams","13","2025","Los Angeles","Rams","22","76","5.8","3.45","0","0","2","4.5","18","23.7","1","","27.3","54.5","3","0.14","53","2.41","69.7","1.05","0","","0","0","","","22","100.0","76","0","3.45","27.3"
"25","New England Patriots","16","2025","New England","Patriots","19","74","4.6","3.89","2","1","4","10.5","40","54.1","1","10.5","42.1","42.1","2","0.11","38","2.00","51.4","1.89","0","","0","0","","","19","100.0","74","2","3.89","42.1"
"26","Minnesota Vikings","16","2025","Minnesota","Vikings","25","66","4.1","2.64","0","2","3","","0","","0","","36.0","52.0","4","0.16","41","1.64","62.1","1.00","0","","0","0","","","25","100.0","66","0","2.64","36.0"
"27","Tampa Bay Buccaneers","15","2025","Tampa Bay","Buccaneers","17","62","4.1","3.65","1","1","4","5.9","16","25.8","2","5.9","47.1","47.1","2","0.12","23","1.35","37.1","2.29","0","","0","0","","","17","100.0","62","1","3.65","47.1"
"28","Baltimore Ravens","15","2025","Baltimore","Ravens","13","62","4.1","4.77","0","0","3","7.7","22","35.5","2","","46.2","53.8","1","0.08","35","2.69","56.5","2.08","0","","0","0","","","13","100.0","62","0","4.77","46.2"
"29","Denver Broncos","17","2025","Denver","Broncos","13","61","3.6","4.69","0","0","3","7.7","24","39.3","0","","30.8","53.8","3","0.23","31","2.38","50.8","2.31","0","","0","0","","","13","100.0","61","0","4.69","30.8"
"30","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","25","54","3.2","2.16","2","0","3","","0","","3","8.0","48.0","52.0","5","0.20","34","1.36","63.0","0.80","0","","0","0","","","25","100.0","54","2","2.16","48.0"
"31","Carolina Panthers","16","2025","Carolina","Panthers","14","49","3.1","3.50","1","0","4","7.1","25","51.0","2","7.1","35.7","57.1","2","0.14","45","3.21","91.8","0.29","0","","0","0","","","14","100.0","49","1","3.50","35.7"
"32","Detroit Lions","14","2025","Detroit","Lions","13","44","3.1","3.38","0","2","2","","0","","0","","46.2","53.8","4","0.31","31","2.38","70.5","1.00","0","","0","0","","","13","100.0","44","0","3.38","46.2"
