"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Bijan Robinson","ATL","RB","17","2025","181","1006","59.2","5.56","6","2","37","6.1","372","37.0","41.7","3.3","51.4","42.5","48","0.27","629","3.48","62.5","2.08","181","100.0","1006","6","5.56","51.4","0","","0","0","","","7.9","134.6","101.7","6.0"
"2","Christian McCaffrey","SF","RB","17","2025","146","548","32.2","3.75","3","1","28","4.1","130","23.7","100.0","2.1","39.7","55.5","26","0.18","304","2.08","55.5","1.67","146","100.0","548","3","3.75","39.7","0","","0","0","","","4.3","72.8","85.6","5.0"
"3","Derrick Henry","BLT","RB","17","2025","132","708","41.6","5.36","3","0","27","6.8","279","39.4","100.0","2.3","48.5","50.0","14","0.11","317","2.40","44.8","2.96","132","100.0","708","3","5.36","48.5","0","","0","0","","","5.2","88.8","76.9","4.5"
"4","D'Andre Swift","CHI","RB","16","2025","116","575","35.9","4.96","4","0","36","3.4","74","12.9","83.3","3.4","56.0","36.2","16","0.14","279","2.41","48.5","2.55","116","100.0","575","4","4.96","56.0","0","","0","0","","","5.1","81.5","66.2","4.1"
"5","De'Von Achane","MIA","RB","16","2025","107","546","34.1","5.10","3","1","27","10.3","242","44.3","100.0","2.8","44.9","53.3","21","0.20","244","2.28","44.7","2.82","107","100.0","546","3","5.10","44.9","0","","0","0","","","4.5","72.6","57.8","3.6"
"6","Ashton Jeanty","LV","RB","17","2025","103","398","23.4","3.86","1","0","14","1.9","82","20.6","100.0","1.0","42.7","53.4","17","0.17","248","2.41","62.3","1.46","103","100.0","398","1","3.86","42.7","0","","0","0","","","2.7","45.8","57.1","3.4"
"7","Jahmyr Gibbs","DET","RB","17","2025","92","331","19.5","3.60","3","1","13","4.3","97","29.3","0.0","3.3","39.1","53.3","22","0.24","184","2.00","55.6","1.60","92","100.0","331","3","3.60","39.1","0","","0","0","","","3.0","51.1","48.7","2.9"
"8","Tyler Allgeier","ATL","RB","17","2025","90","355","20.9","3.94","6","0","25","4.4","72","20.3","58.3","6.7","51.1","47.8","10","0.11","183","2.03","51.5","1.91","90","100.0","355","6","3.94","51.1","0","","0","0","","","4.2","71.5","65.6","3.9"
"9","Tony Pollard","TEN","RB","17","2025","86","439","25.8","5.10","1","2","19","8.1","145","33.0","0.0","1.2","45.3","48.8","12","0.14","225","2.62","51.3","2.49","86","100.0","439","1","5.10","45.3","0","","0","0","","","2.9","48.9","41.8","2.5"
"10","Saquon Barkley","PHI","RB","16","2025","84","356","22.3","4.24","3","0","13","4.8","103","28.9","100.0","3.6","50.0","47.6","10","0.12","197","2.35","55.3","1.89","84","100.0","356","3","4.24","50.0","0","","0","0","","","3.4","53.6","46.4","2.9"
"11","Kenneth Walker","SEA","RB","17","2025","84","406","23.9","4.83","1","0","19","7.1","136","33.5","25.0","1.2","44.0","52.4","22","0.26","214","2.55","52.7","2.29","84","100.0","406","1","4.83","44.0","0","","0","0","","","2.7","46.6","42.3","2.5"
"12","Breece Hall","NYJ","RB","16","2025","79","355","22.2","4.49","0","2","13","6.3","103","29.0","50.0","","46.8","49.4","16","0.20","172","2.18","48.5","2.32","79","100.0","355","0","4.49","46.8","0","","0","0","","","2.1","33.5","38.4","2.4"
"13","James Cook","BUF","RB","17","2025","78","458","26.9","5.87","2","4","19","9.0","156","34.1","50.0","2.6","57.7","41.0","15","0.19","248","3.18","54.1","2.69","78","100.0","458","2","5.87","57.7","0","","0","0","","","3.3","55.8","43.1","2.5"
"14","Kyle Monangai","CHI","RB","17","2025","76","350","20.6","4.61","2","0","15","6.6","108","30.9","28.6","2.6","47.4","46.1","7","0.09","172","2.26","49.1","2.34","76","100.0","350","2","4.61","47.4","0","","0","0","","","2.8","47.0","42.4","2.5"
"15","Travis Etienne","JAX","RB","17","2025","74","337","19.8","4.55","1","0","8","4.1","113","33.5","0.0","1.4","43.2","52.7","7","0.09","135","1.82","40.1","2.73","74","100.0","337","1","4.55","43.2","0","","0","0","","","2.3","39.7","38.8","2.3"
"16","Josh Jacobs","GB","RB","15","2025","74","223","14.9","3.01","1","0","10","1.4","15","6.7","100.0","1.4","33.8","59.5","6","0.08","127","1.72","57.0","1.30","74","100.0","223","1","3.01","33.8","0","","0","0","","","1.9","28.3","44.2","2.9"
"17","Jaylen Warren","PIT","RB","16","2025","73","429","26.8","5.88","4","0","16","9.6","198","46.2","40.0","5.5","49.3","46.6","17","0.23","213","2.92","49.7","2.96","73","100.0","429","4","5.88","49.3","0","","0","0","","","4.2","66.9","41.9","2.6"
"18","Kyren Williams","LA","RB","17","2025","73","418","24.6","5.73","2","1","20","5.5","93","22.2","60.0","2.7","67.1","28.8","18","0.25","218","2.99","52.2","2.74","73","100.0","418","2","5.73","67.1","0","","0","0","","","3.1","52.8","44.8","2.6"
"19","David Montgomery","DET","RB","17","2025","64","277","16.3","4.33","0","0","15","3.1","35","12.6","100.0","","50.0","45.3","9","0.14","128","2.00","46.2","2.33","64","100.0","277","0","4.33","50.0","0","","0","0","","","1.6","27.7","39.0","2.3"
"20","Javonte Williams","DAL","RB","16","2025","60","271","16.9","4.52","0","0","11","3.3","35","12.9","50.0","","56.7","40.0","7","0.12","147","2.45","54.2","2.07","60","100.0","271","0","4.52","56.7","0","","0","0","","","1.7","27.1","30.1","1.9"
"21","Jonathan Taylor","IND","RB","17","2025","60","249","14.6","4.15","0","1","9","1.7","16","6.4","100.0","","55.0","41.7","5","0.08","174","2.90","69.9","1.25","60","100.0","249","0","4.15","55.0","0","","0","0","","","1.4","23.9","33.7","2.0"
"22","Tyrone Tracy","NYG","RB","15","2025","58","212","14.1","3.66","0","0","10","3.4","33","15.6","0.0","","36.2","55.2","11","0.19","120","2.07","56.6","1.59","58","100.0","212","0","3.66","36.2","0","","0","0","","","1.4","21.2","28.2","1.9"
"23","Chase Brown","CIN","RB","17","2025","55","258","15.2","4.69","0","0","10","5.5","64","24.8","0.0","","49.1","49.1","12","0.22","131","2.38","50.8","2.31","55","100.0","258","0","4.69","49.1","0","","0","0","","","1.5","25.8","29.4","1.7"
"24","Jordan Mason","MIN","RB","16","2025","55","255","15.9","4.64","1","0","12","7.3","83","32.5","0.0","1.8","49.1","49.1","12","0.22","112","2.04","43.9","2.60","55","100.0","255","1","4.64","49.1","0","","0","0","","","2.0","31.5","28.0","1.7"
"25","Woody Marks","HST","RB","16","2025","54","154","9.6","2.85","1","1","8","3.7","34","22.1","50.0","1.9","33.3","59.3","2","0.04","102","1.89","66.2","0.96","54","100.0","154","1","2.85","33.3","0","","0","0","","","1.3","21.4","30.7","1.9"
"26","Rico Dowdle","CAR","RB","17","2025","52","231","13.6","4.44","1","0","8","5.8","76","32.9","100.0","1.9","40.4","50.0","11","0.21","139","2.67","60.2","1.77","52","100.0","231","1","4.44","40.4","0","","0","0","","","1.7","29.1","28.8","1.7"
"27","Quinshon Judkins","CLV","RB","14","2025","51","192","13.7","3.76","0","0","9","3.9","48","25.0","0.0","","41.2","56.9","6","0.12","104","2.04","54.2","1.73","51","100.0","192","0","3.76","41.2","0","","0","0","","","1.4","19.2","26.2","1.9"
