"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Derrick Henry","BLT","RB","17","2025","47","234","13.8","4.98","7","1","18","8.5","98","41.9","100.0","14.9","63.8","36.2","8","0.17","81","1.72","34.6","3.26","0","","0","0","","","47","100.0","234","7","4.98","63.8","3.8","64.4","46.7","2.7"
"2","Jonathan Taylor","IND","RB","17","2025","35","116","6.8","3.31","4","0","9","2.9","27","23.3","83.3","11.4","45.7","48.6","5","0.14","72","2.06","62.1","1.26","0","","0","0","","","35","100.0","116","4","3.31","45.7","2.1","35.6","34.4","2.0"
"3","Tony Pollard","TEN","RB","17","2025","34","125","7.4","3.68","2","1","7","","0","","60.0","5.9","50.0","44.1","6","0.18","68","2.00","54.4","1.68","0","","0","0","","","34","100.0","125","2","3.68","50.0","1.4","23.5","28.5","1.7"
"4","Kimani Vidal","LAC","RB","13","2025","31","134","10.3","4.32","0","1","3","3.2","19","14.2","33.3","","54.8","45.2","1","0.03","83","2.68","61.9","1.65","0","","0","0","","","31","100.0","134","0","4.32","54.8","1.0","13.4","16.0","1.2"
"5","Javonte Williams","DAL","RB","16","2025","26","104","6.5","4.00","6","0","11","3.8","30","28.8","90.0","23.1","65.4","38.5","1","0.04","72","2.77","69.2","1.23","0","","0","0","","","26","100.0","104","6","4.00","65.4","2.9","46.4","33.3","2.1"
"6","Christian McCaffrey","SF","RB","17","2025","24","106","6.2","4.42","4","0","9","8.3","30","28.3","100.0","16.7","54.2","29.2","3","0.13","55","2.29","51.9","2.13","0","","0","0","","","24","100.0","106","4","4.42","54.2","2.0","34.6","26.6","1.6"
"7","J.K. Dobbins","DEN","RB","10","2025","24","101","10.1","4.21","1","0","6","8.3","33","32.7","80.0","4.2","41.7","58.3","4","0.17","53","2.21","52.5","2.00","0","","0","0","","","24","100.0","101","1","4.21","41.7","1.6","16.1","21.6","2.2"
"8","Quinshon Judkins","CLV","RB","14","2025","22","96","6.9","4.36","3","0","4","4.5","46","47.9","100.0","13.6","36.4","63.6","2","0.09","74","3.36","77.1","1.00","0","","0","0","","","22","100.0","96","3","4.36","36.4","2.0","27.6","13.9","1.0"
"9","Kenneth Walker","SEA","RB","17","2025","22","45","2.6","2.05","1","0","3","","0","","40.0","4.5","36.4","59.1","4","0.18","37","1.68","82.2","0.36","0","","0","0","","","22","100.0","45","1","2.05","36.4","0.6","10.5","17.3","1.0"
"10","James Cook","BUF","RB","17","2025","22","74","4.4","3.36","1","0","3","","0","","50.0","4.5","45.5","50.0","0","","29","1.32","39.2","2.05","0","","0","0","","","22","100.0","74","1","3.36","45.5","0.8","13.4","13.8","0.8"
"11","Kareem Hunt","KC","RB","17","2025","19","85","5.0","4.47","2","0","10","5.3","18","21.2","66.7","10.5","73.7","21.1","4","0.21","48","2.53","56.5","1.95","0","","0","0","","","19","100.0","85","2","4.47","73.7","1.2","20.5","14.0","0.8"
"12","Omarion Hampton","LAC","RB","9","2025","19","75","8.3","3.95","2","0","5","10.5","36","48.0","100.0","10.5","52.6","47.4","3","0.16","38","2.00","50.7","1.95","0","","0","0","","","19","100.0","75","2","3.95","52.6","2.2","19.5","16.0","1.8"
"13","Rico Dowdle","CAR","RB","17","2025","18","101","5.9","5.61","1","0","4","5.6","15","14.9","100.0","5.6","66.7","27.8","2","0.11","46","2.56","45.5","3.06","0","","0","0","","","18","100.0","101","1","5.61","66.7","0.9","16.1","9.9","0.6"
"14","Travis Etienne","JAX","RB","17","2025","17","58","3.4","3.41","1","0","3","","0","","37.5","5.9","52.9","35.3","3","0.18","24","1.41","41.4","2.00","0","","0","0","","","17","100.0","58","1","3.41","52.9","0.7","11.8","14.4","0.8"
"15","Tyrone Tracy","NYG","RB","15","2025","17","47","3.1","2.76","0","0","1","","0","","0.0","","29.4","64.7","1","0.06","35","2.06","74.5","0.71","0","","0","0","","","17","100.0","47","0","2.76","29.4","0.3","4.7","8.1","0.5"
"16","Cam Skattebo","NYG","RB","8","2025","16","64","8.0","4.00","1","0","4","","0","","66.7","6.3","56.3","31.3","3","0.19","35","2.19","54.7","1.81","0","","0","0","","","16","100.0","64","1","4.00","56.3","1.6","12.4","11.5","1.4"
"17","Ashton Jeanty","LV","RB","17","2025","15","16","0.9","1.07","1","1","1","","0","","100.0","6.7","20.0","73.3","3","0.20","13","0.87","81.3","0.20","0","","0","0","","","15","100.0","16","1","1.07","20.0","0.4","6.6","14.6","0.9"
"18","Zach Charbonnet","SEA","RB","16","2025","14","47","2.9","3.36","1","0","4","7.1","15","31.9","60.0","7.1","35.7","42.9","3","0.21","36","2.57","76.6","0.79","0","","0","0","","","14","100.0","47","1","3.36","35.7","0.7","10.7","15.3","1.0"
"19","De'Von Achane","MIA","RB","16","2025","14","62","3.9","4.43","0","0","1","","0","","0.0","","42.9","50.0","2","0.14","32","2.29","51.6","2.14","0","","0","0","","","14","100.0","62","0","4.43","42.9","0.4","6.2","7.4","0.5"
"20","Jaylen Warren","PIT","RB","16","2025","13","61","3.8","4.69","0","0","2","7.7","15","24.6","0.0","","46.2","30.8","1","0.08","37","2.85","60.7","1.85","0","","0","0","","","13","100.0","61","0","4.69","46.2","0.4","6.1","6.5","0.4"
"21","RJ Harvey","DEN","RB","17","2025","13","96","5.6","7.38","1","0","4","7.7","50","52.1","16.7","7.7","61.5","38.5","2","0.15","26","2.00","27.1","5.38","0","","0","0","","","13","100.0","96","1","7.38","61.5","0.9","15.6","8.8","0.5"
"22","Josh Jacobs","GB","RB","15","2025","13","62","4.1","4.77","0","0","1","","0","","0.0","","61.5","38.5","1","0.08","30","2.31","48.4","2.46","0","","0","0","","","13","100.0","62","0","4.77","61.5","0.4","6.2","6.2","0.4"
"23","TreVeyon Henderson","NE","RB","17","2025","12","87","5.1","7.25","3","0","4","8.3","52","59.8","16.7","25.0","50.0","50.0","2","0.17","12","1.00","13.8","6.25","0","","0","0","","","12","100.0","87","3","7.25","50.0","1.6","26.7","7.2","0.4"
"24","Jahmyr Gibbs","DET","RB","17","2025","12","43","2.5","3.58","2","1","2","","0","","33.3","16.7","50.0","41.7","1","0.08","9","0.75","20.9","2.83","0","","0","0","","","12","100.0","43","2","3.58","50.0","0.9","15.3","9.8","0.6"
"25","Chase Brown","CIN","RB","17","2025","12","48","2.8","4.00","0","1","1","8.3","25","52.1","0.0","","50.0","50.0","1","0.08","27","2.25","56.3","1.75","0","","0","0","","","12","100.0","48","0","4.00","50.0","0.3","4.8","6.1","0.4"
"26","Keaton Mitchell","BLT","RB","13","2025","12","44","3.4","3.67","0","0","3","","0","","0.0","","58.3","33.3","3","0.25","27","2.25","61.4","1.42","0","","0","0","","","12","100.0","44","0","3.67","58.3","0.3","4.4","5.6","0.4"
"27","Woody Marks","HST","RB","16","2025","12","52","3.3","4.33","0","0","2","","0","","0.0","","50.0","41.7","1","0.08","36","3.00","69.2","1.33","0","","0","0","","","12","100.0","52","0","4.33","50.0","0.3","5.2","5.8","0.4"
"28","Devin Singletary","NYG","RB","17","2025","11","37","2.2","3.36","0","0","2","","0","","0.0","","45.5","36.4","2","0.18","16","1.45","43.2","1.91","0","","0","0","","","11","100.0","37","0","3.36","45.5","0.2","3.7","7.4","0.4"
"29","Brian Robinson","SF","RB","17","2025","10","45","2.6","4.50","0","0","1","","0","","0.0","","70.0","20.0","2","0.20","25","2.50","55.6","2.00","0","","0","0","","","10","100.0","45","0","4.50","70.0","0.3","4.5","4.7","0.3"
"30","Rachaad White","TB","RB","17","2025","10","32","1.9","3.20","0","0","5","","0","","28.6","","60.0","50.0","1","0.10","20","2.00","62.5","1.20","0","","0","0","","","10","100.0","32","0","3.20","60.0","0.2","3.2","9.8","0.6"
"31","David Montgomery","DET","RB","17","2025","10","19","1.1","1.90","1","0","1","","0","","66.7","10.0","20.0","70.0","0","","15","1.50","78.9","0.40","0","","0","0","","","10","100.0","19","1","1.90","20.0","0.5","7.9","9.5","0.6"
