"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Jonathan Taylor","IND","RB","17","2025","37","276","16.2","7.46","3","0","13","13.5","172","62.3","100.0","8.1","56.8","43.2","5","0.14","78","2.11","28.3","5.35","0","","0","0","","","37","100.0","276","3","7.46","56.8","2.7","45.6","25.1","1.5"
"2","De'Von Achane","MIA","RB","16","2025","33","292","18.3","8.85","3","0","10","21.2","193","66.1","100.0","9.1","66.7","30.3","7","0.21","109","3.30","37.3","5.55","0","","0","0","","","33","100.0","292","3","8.85","66.7","3.0","47.2","18.5","1.2"
"3","Bam Knight","ARZ","RB","12","2025","30","91","7.6","3.03","3","0","6","3.3","17","18.7","100.0","10.0","43.3","56.7","2","0.07","59","1.97","64.8","1.07","0","","0","0","","","30","100.0","91","3","3.03","43.3","2.3","27.1","23.5","2.0"
"4","Javonte Williams","DAL","RB","16","2025","23","101","6.3","4.39","1","1","4","8.7","41","40.6","100.0","4.3","30.4","65.2","4","0.17","60","2.61","59.4","1.78","0","","0","0","","","23","100.0","101","1","4.39","30.4","0.9","15.1","13.9","0.9"
"5","RJ Harvey","DEN","RB","17","2025","23","102","6.0","4.43","3","0","7","4.3","40","39.2","100.0","13.0","43.5","47.8","4","0.17","56","2.43","54.9","2.00","0","","0","0","","","23","100.0","102","3","4.43","43.5","1.7","28.2","16.9","1.0"
"6","Saquon Barkley","PHI","RB","16","2025","22","105","6.6","4.77","0","0","6","9.1","46","43.8","0.0","","50.0","50.0","6","0.27","54","2.45","51.4","2.32","0","","0","0","","","22","100.0","105","0","4.77","50.0","0.7","10.5","10.2","0.6"
"7","Tony Pollard","TEN","RB","17","2025","21","77","4.5","3.67","0","0","2","4.8","21","27.3","50.0","","28.6","47.6","3","0.14","59","2.81","76.6","0.86","0","","0","0","","","21","100.0","77","0","3.67","28.6","0.5","7.7","15.6","0.9"
"8","Omarion Hampton","LAC","RB","9","2025","20","123","13.7","6.15","0","0","7","5.0","29","23.6","0.0","","50.0","40.0","2","0.10","47","2.35","38.2","3.80","0","","0","0","","","20","100.0","123","0","6.15","50.0","1.4","12.3","10.2","1.1"
"9","Michael Carter","ARZ","RB","13","2025","19","84","6.5","4.42","0","0","3","","0","","0.0","","57.9","31.6","0","","34","1.79","40.5","2.63","0","","0","0","","","19","100.0","84","0","4.42","57.9","0.6","8.4","9.6","0.7"
"10","Jaylen Warren","PIT","RB","16","2025","18","113","7.1","6.28","1","1","6","5.6","35","31.0","100.0","5.6","72.2","22.2","6","0.33","70","3.89","61.9","2.39","0","","0","0","","","18","100.0","113","1","6.28","72.2","1.1","17.3","10.7","0.7"
"11","Jahmyr Gibbs","DET","RB","17","2025","18","117","6.9","6.50","1","0","2","11.1","65","55.6","0.0","5.6","44.4","50.0","7","0.39","56","3.11","47.9","3.39","0","","0","0","","","18","100.0","117","1","6.50","44.4","1.0","17.7","8.7","0.5"
