"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Christian McCaffrey","SF","RB","17","2025","74","81.3","1.8","42","7.5","23","1.4","28.0","0.31","21","91.3","211","12.4","34.5","2.85","9.17","10.05","155","7.38","75","3.57","0","0.0","1","0","0","0","5","10.0","7","0.33","9","0.122","1","4.3","23","100.0","3","13.0","2","1","50.0","0","104.9","29.5","2.5","","","","100.0","0.57","2.5","42.1","33.1","1.9","0.45","33.1"
"2","Jahmyr Gibbs","DET","RB","17","2025","43","82.7","1.5","19","4.4","13","0.8","26.0","0.30","10","76.9","100","5.9","22.3","2.33","7.69","10.00","93","9.30","24","2.40","0","0.0","3","0","0","0","7","20.0","4","0.40","3","0.070","2","15.4","12","92.3","2","15.4","1","1","100.0","0","98.2","27.7","1.3","","","","100.0","0.47","1.2","20.0","19.7","1.2","0.46","19.7"
"3","TreVeyon Henderson","NE","RB","17","2025","28","93.3","-2.3","-21","-7.8","9","0.5","32.1","0.32","9","100.0","72","4.2","34.0","2.57","8.00","8.00","93","10.33","25","2.78","0","0.0","1","0","0","0","5","22.7","4","0.44","4","0.143","0","","9","100.0","4","44.4","0","0","0.0","0","100.0","32.1","2.1","","","","100.0","0.58","1.0","16.2","15.3","0.9","0.55","15.3"
"4","Rico Dowdle","CAR","RB","17","2025","36","80.0","-3.4","-24","-12.2","7","0.4","17.9","0.19","7","100.0","68","4.0","22.8","1.89","9.71","9.71","92","13.14","45","6.43","0","0.0","1","0","0","0","3","11.5","2","0.29","4","0.111","0","","7","100.0","3","42.9","0","0","0.0","0","107.1","18.4","4.3","","","","100.0","0.38","0.8","13.8","9.2","0.5","0.26","9.2"
"5","Cam Skattebo","NYG","RB","8","2025","15","65.2","0.5","3","7.9","6","0.8","33.3","0.40","6","100.0","67","8.4","39.6","4.47","11.17","11.17","64","10.67","13","2.17","1","50.0","2","0","0","0","4","36.4","0","","4","0.267","0","","6","100.0","2","33.3","0","0","0.0","0","152.8","33.3","4.8","","","","100.0","1.25","2.3","18.7","9.1","1.1","0.60","9.1"
"6","Jonathan Taylor","IND","RB","17","2025","66","82.5","-0.5","-6","-1.1","12","0.7","16.7","0.18","10","83.3","66","3.9","11.7","1.00","5.50","6.60","75","7.50","19","1.90","0","0.0","0","0","0","0","4","7.4","0","","3","0.045","2","16.7","12","100.0","3","25.0","1","1","100.0","0","89.6","17.4","-0.5","","","","100.0","0.25","1.0","16.6","17.5","1.0","0.26","17.5"
"7","Kyren Williams","LA","RB","17","2025","57","74.0","3.4","37","7.0","11","0.6","15.5","0.19","9","81.8","63","3.7","12.3","1.11","5.73","7.00","33","3.67","20","2.22","0","0.0","1","0","0","0","2","4.5","1","0.11","2","0.035","1","9.1","10","90.9","0","","1","1","100.0","0","90.5","16.9","-0.9","","","","100.0","0.27","0.9","15.3","16.1","0.9","0.28","16.1"
"8","Michael Carter","ARZ","RB","13","2025","53","86.9","2.4","24","5.0","10","0.8","16.9","0.19","7","70.0","63","4.8","14.3","1.19","6.30","9.00","62","8.86","25","3.57","0","0.0","1","1","0","0","2","5.7","2","0.29","3","0.057","0","","8","80.0","0","","1","0","0.0","0","86.7","19.2","-0.3","","","","100.0","0.25","1.0","13.3","14.6","1.1","0.28","14.6"
"9","Kimani Vidal","LAC","RB","13","2025","27","61.4","-0.6","-3","-1.5","5","0.4","14.7","0.19","3","60.0","59","4.5","21.0","2.19","11.80","19.67","61","20.33","9","3.00","0","0.0","1","0","0","0","2","8.0","1","0.33","2","0.074","2","40.0","5","100.0","2","40.0","0","0","0.0","0","101.3","15.2","5.7","","","","100.0","0.33","0.7","8.9","8.0","0.6","0.30","8.0"
"10","Bijan Robinson","ATL","RB","17","2025","32","76.2","-0.6","-4","-1.5","7","0.4","17.1","0.22","6","85.7","58","3.4","17.4","1.81","8.29","9.67","66","11.00","6","1.00","0","0.0","0","0","0","0","2","7.4","1","0.17","1","0.031","0","","6","85.7","1","14.3","2","2","100.0","0","101.2","17.9","2.3","","","","100.0","0.37","0.7","11.8","9.8","0.6","0.31","9.8"
