"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Bucky Irving","TB","RB","10","2025","13","100.0","1.6","8","9.5","5","0.5","45.5","0.38","5","100.0","131","13.1","66.2","10.08","26.20","26.20","123","24.60","23","4.60","2","100.0","0","0","0","1","1","33.3","7","1.40","4","0.308","0","","5","100.0","1","20.0","0","0","0.0","0","158.3","50.0","19.3","","","","100.0","2.32","3.0","30.1","7.2","0.7","0.55","7.2"
"2","Jaylen Warren","PIT","RB","16","2025","24","85.7","-0.2","-2","-2.1","10","0.6","37.0","0.42","7","70.0","108","6.8","53.5","4.50","10.80","15.43","115","16.43","77","11.00","0","0.0","1","0","0","0","3","18.8","7","1.00","4","0.167","0","","7","70.0","2","20.0","0","0","0.0","0","105.4","38.5","5.2","","","","100.0","0.74","1.1","17.8","13.2","0.8","0.55","13.2"
"3","Dylan Sampson","CLV","RB","15","2025","15","78.9","-2.2","-11","-19.6","5","0.3","31.3","0.33","4","80.0","90","6.0","64.3","6.00","18.00","22.50","102","25.50","4","1.00","1","100.0","0","0","0","0","1","12.5","1","0.25","1","0.067","0","","4","80.0","1","20.0","0","0","0.0","0","158.3","35.7","12.3","","","","100.0","1.27","1.3","19.0","7.1","0.5","0.47","7.1"
"4","Christian McCaffrey","SF","RB","17","2025","43","89.6","1.1","21","8.7","19","1.1","41.3","0.44","13","68.4","83","4.9","29.1","1.93","4.37","6.38","71","5.46","19","1.46","0","0.0","1","0","0","0","7","26.9","2","0.15","2","0.047","3","15.8","16","84.2","5","26.3","2","1","50.0","0","37.7","42.2","-2.1","","","","100.0","0.50","1.3","21.3","27.8","1.6","0.65","27.8"
"5","RJ Harvey","DEN","RB","17","2025","18","66.7","-0.1","-1","-0.8","7","0.4","28.0","0.39","7","100.0","65","3.8","36.9","3.61","9.29","9.29","66","9.43","15","2.14","0","0.0","0","0","0","0","1","6.7","4","0.57","1","0.056","0","","7","100.0","0","","0","0","0.0","0","105.4","29.2","3.4","","","","100.0","0.75","0.8","13.5","9.6","0.6","0.54","9.6"
"6","Josh Jacobs","GB","RB","15","2025","31","91.2","0.0","0","0.0","6","0.4","19.4","0.19","5","83.3","52","3.5","23.6","1.68","8.67","10.40","50","10.00","17","3.40","0","0.0","0","0","0","0","1","5.0","2","0.40","2","0.065","0","","5","83.3","0","","0","0","0.0","0","102.8","20.0","2.4","","","","100.0","0.33","0.7","10.2","8.5","0.6","0.28","8.5"
"7","David Montgomery","DET","RB","17","2025","15","88.2","-0.2","-1","-2.2","6","0.4","40.0","0.40","6","100.0","49","2.9","47.1","3.27","8.17","8.17","50","8.33","30","5.00","0","0.0","0","0","0","0","2","18.2","2","0.33","4","0.267","0","","6","100.0","1","16.7","1","1","100.0","0","100.7","40.0","2.0","","","","100.0","0.73","0.6","10.9","8.5","0.5","0.56","8.5"
"8","Chase Brown","CIN","RB","17","2025","39","86.7","-0.6","-7","-2.6","12","0.7","28.6","0.31","11","91.7","49","2.9","14.7","1.26","4.08","4.45","81","7.36","27","2.45","0","0.0","1","1","0","1","5","17.9","4","0.36","1","0.026","0","","12","100.0","3","25.0","1","0","0.0","1","83.7","29.3","-1.5","","","","100.0","0.41","0.9","15.9","18.7","1.1","0.48","18.7"
"9","Tyjae Spears","TEN","RB","13","2025","29","85.3","-3.9","-27","-16.5","7","0.5","21.2","0.24","7","100.0","48","3.7","23.0","1.66","6.86","6.86","75","10.71","11","1.57","0","0.0","0","0","0","0","4","20.0","3","0.43","2","0.069","0","","7","100.0","3","42.9","0","0","0.0","0","95.2","26.9","1.4","","","","100.0","0.41","0.9","11.8","9.7","0.7","0.34","9.7"
