"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Jaylen Warren","PIT","RB","16","2025","3","33.3","0.5","1","9.1","2","0.1","25.0","0.67","2","100.0","43","2.7","79.6","14.33","21.50","21.50","42","21.00","","","2","50.0","1","0","0","0","2","33.3","0","","2","0.667","0","","2","100.0","0","","0","0","0.0","0","158.3","28.6","15.4","","","","100.0","6.10","1.1","18.3","4.6","0.3","1.53","4.6"
"2","Breece Hall","NYJ","RB","16","2025","4","28.6","-3.0","-6","-7.5","2","0.1","18.2","0.50","1","50.0","42","2.6","41.2","10.50","21.00","42.00","48","48.00","","","1","16.7","1","0","0","0","1","12.5","0","","1","0.250","0","","1","50.0","1","50.0","0","0","0.0","0","135.4","22.2","18.5","","","","100.0","3.84","1.0","15.4","1.5","0.1","0.38","1.5"
"3","Rasheen Ali","BLT","RB","15","2025","5","38.5","0.0","0","0.0","1","0.1","10.0","0.20","1","100.0","30","2.0","35.7","6.00","30.00","30.00","30","30.00","","","1","33.3","0","0","0","0","0","0.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","158.3","12.5","24.2","","","","100.0","2.00","0.7","10.0","1.5","0.1","0.31","1.5"
"4","James Cook","BUF","RB","17","2025","13","68.4","-2.0","-6","-4.6","3","0.2","17.6","0.23","3","100.0","24","1.4","29.6","1.85","8.00","8.00","30","10.00","2","0.67","0","0.0","1","0","0","0","3","25.0","2","0.67","2","0.154","0","","3","100.0","1","33.3","0","0","0.0","0","100.0","17.6","2.4","","","","100.0","0.42","0.3","5.4","4.3","0.3","0.33","4.3"
"5","RJ Harvey","DEN","RB","17","2025","7","70.0","2.5","15","68.2","6","0.4","66.7","0.86","4","66.7","22","1.3","51.2","3.14","3.67","5.50","17","4.25","2","0.50","3","100.0","4","1","1","0","4","66.7","0","","3","0.429","0","","4","66.7","0","","0","0","0.0","0","112.5","66.7","-2.6","","","","100.0","3.46","1.4","24.2","13.5","0.8","1.93","13.5"
"6","Ashton Jeanty","LV","RB","17","2025","4","22.2","-5.0","-5","-5.3","1","0.1","6.7","0.25","1","100.0","15","0.9","14.0","3.75","15.00","15.00","20","20.00","15","15.00","1","33.3","1","0","0","0","1","11.1","1","1.00","1","0.250","0","","1","100.0","1","100.0","0","0","0.0","0","158.3","10.0","9.1","","","","100.0","2.13","0.5","8.5","1.5","0.1","0.38","1.5"
"7","Travis Etienne","JAX","RB","17","2025","5","35.7","0.0","0","0.0","1","0.1","7.1","0.20","1","100.0","15","0.9","12.8","3.00","15.00","15.00","15","15.00","1","1.00","0","0.0","0","0","0","0","1","8.3","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","7.7","9.2","","","","100.0","0.50","0.1","2.5","1.4","0.1","0.28","1.4"
"8","Rhamondre Stevenson","NE","RB","14","2025","3","18.8","-4.0","-4","-4.9","1","0.1","7.1","0.33","1","100.0","14","1.0","33.3","4.67","14.00","14.00","18","18.00","4","4.00","0","0.0","0","0","0","0","1","9.1","1","1.00","1","0.333","0","","1","100.0","1","100.0","0","0","0.0","0","118.8","7.7","8.4","","","","100.0","0.80","0.2","2.4","1.5","0.1","0.50","1.5"
"9","Christian McCaffrey","SF","RB","17","2025","6","75.0","2.3","7","14.9","3","0.2","37.5","0.50","2","66.7","14","0.8","33.3","2.33","4.67","7.00","6","3.00","1","0.50","1","33.3","3","1","1","0","2","33.3","0","","2","0.333","0","","3","100.0","0","","1","0","0.0","0","116.7","37.5","-2.1","","","","100.0","1.57","0.6","9.4","11.0","0.6","1.83","11.0"
"10","Kenneth Walker","SEA","RB","17","2025","2","100.0","2.0","2","16.7","1","0.1","50.0","0.50","1","100.0","14","0.8","58.3","7.00","14.00","14.00","12","12.00","7","7.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","7.6","","","","100.0","1.20","0.1","2.4","1.3","0.1","0.67","1.3"
"11","Kareem Hunt","KC","RB","17","2025","6","42.9","0.0","0","0.0","2","0.1","15.4","0.33","1","50.0","13","0.8","24.1","2.17","6.50","13.00","9","9.00","3","3.00","0","0.0","0","0","0","0","1","10.0","0","","1","0.167","0","","1","50.0","1","50.0","0","0","0.0","0","70.8","16.7","0.4","","","","100.0","0.38","0.1","2.3","2.4","0.1","0.40","2.4"
"12","De'Von Achane","MIA","RB","16","2025","5","62.5","-7.0","-7","-17.5","1","0.1","12.5","0.20","1","100.0","11","0.7","42.3","2.20","11.00","11.00","18","18.00","14","14.00","1","33.3","1","0","0","0","0","0.0","2","2.00","1","0.200","0","","1","100.0","0","","0","0","0.0","0","152.1","16.7","6.5","","","","100.0","1.62","0.5","8.1","0.9","0.1","0.19","0.9"
"13","Saquon Barkley","PHI","RB","16","2025","4","16.0","1.0","1","0.5","1","0.1","4.0","0.25","1","100.0","10","0.6","7.2","2.50","10.00","10.00","9","9.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","108.3","4.2","4.3","","","","100.0","0.50","0.1","2.0","1.3","0.1","0.32","1.3"
"14","Devin Singletary","NYG","RB","17","2025","1","16.7","-1.0","-1","-2.4","1","0.1","25.0","1.00","1","100.0","8","0.5","100.0","8.00","8.00","8.00","9","9.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","33.3","2.2","","","","100.0","1.80","0.1","1.8","1.5","0.1","1.52","1.5"
"15","Kyle Monangai","CHI","RB","17","2025","3","20.0","0.0","0","0.0","1","0.1","7.1","0.33","1","100.0","7","0.4","35.0","2.33","7.00","7.00","7","7.00","6","6.00","0","0.0","0","0","0","0","1","10.0","2","2.00","1","0.333","0","","1","100.0","0","","0","0","0.0","0","95.8","7.7","1.2","","","","100.0","0.57","0.1","1.7","2.7","0.2","0.89","2.7"
"16","Tyjae Spears","TEN","RB","13","2025","2","28.6","-3.0","-3","25.0","1","0.1","16.7","0.50","1","100.0","7","0.5","58.3","3.50","7.00","7.00","10","10.00","2","2.00","0","0.0","1","0","0","0","1","25.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","95.8","25.0","0.9","","","","100.0","0.85","0.1","1.7","2.2","0.2","1.12","2.2"
"17","Isiah Pacheco","KC","RB","13","2025","2","50.0","-1.5","-3","-50.0","2","0.2","50.0","1.00","1","50.0","5","0.4","31.3","2.50","2.50","5.00","5","5.00","2","2.00","0","0.0","2","0","0","0","2","50.0","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","50.0","-3.5","","","","100.0","0.75","0.1","1.5","4.5","0.3","2.24","4.5"
"18","Kenneth Gainwell","PIT","RB","17","2025","4","57.1","0.0","0","0.0","1","0.1","14.3","0.25","1","100.0","5","0.3","13.5","1.25","5.00","5.00","5","5.00","2","2.00","1","100.0","1","0","0","0","1","20.0","1","1.00","1","0.250","0","","1","100.0","0","","0","0","0.0","0","127.1","16.7","-0.8","","","","100.0","1.88","0.4","7.5","2.6","0.2","0.66","2.6"
"19","Omarion Hampton","LAC","RB","9","2025","3","33.3","0.0","0","0.0","1","0.1","14.3","0.33","1","100.0","4","0.4","10.5","1.33","4.00","4.00","4","4.00","","","1","100.0","1","0","0","0","1","14.3","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","122.9","14.3","-1.8","","","","100.0","2.47","0.8","7.4","3.0","0.3","1.00","3.0"
"20","Javonte Williams","DAL","RB","16","2025","7","36.8","-0.7","-2","-2.1","3","0.2","15.8","0.43","1","33.3","4","0.3","7.8","0.57","1.33","4.00","4","4.00","","","1","25.0","2","0","0","0","2","13.3","0","","1","0.143","0","","3","100.0","1","33.3","2","0","0.0","0","81.9","16.7","-4.7","","","","100.0","1.06","0.5","7.4","6.0","0.4","0.85","6.0"
"21","LeQuint Allen","JAX","RB","17","2025","3","33.3","-2.0","-2","-2.2","1","0.1","11.1","0.33","1","100.0","3","0.2","2.6","1.00","3.00","3.00","5","5.00","3","3.00","0","0.0","0","0","0","0","1","14.3","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","79.2","11.1","-3.2","","","","100.0","0.43","0.1","1.3","1.5","0.1","0.49","1.5"
