"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","702","18.4","0.65","78.2","0.28","46.3","0.35","53.7","0.42","3.6","13.1","10.3","0.9","32.6","14.5","20.8"
"2","Denver Broncos","17","2025","Denver","Broncos","698","36.1","0.33","60.7","0.33","51.1","0.39","48.9","0.26","6.6","23.9","11.5","3.3","25.2","13.3","10.7"
"3","Indianapolis Colts","17","2025","Indianapolis","Colts","696","29.2","0.49","64.1","0.33","49.7","0.39","50.3","0.43","6.0","20.0","15.4","1.7","28.2","13.1","7.5"
"4","Baltimore Ravens","17","2025","Baltimore","Ravens","694","32.9","0.51","62.2","0.36","59.9","0.40","40.1","0.48","6.3","25.8","12.8","0.0","33.1","5.6","10.7"
"5","Seattle Seahawks","17","2025","Seattle","Seahawks","690","18.7","0.44","77.1","0.30","44.1","0.31","55.9","0.38","2.8","13.2","12.6","0.6","30.1","16.7","17.7"
"6","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","688","33.1","0.58","63.7","0.35","56.1","0.37","43.9","0.52","3.8","25.0","14.7","3.3","30.8","12.4","5.8"
"7","Los Angeles Rams","17","2025","Los Angeles","Rams","662","18.9","0.50","76.4","0.36","49.8","0.39","50.2","0.41","2.0","15.9","18.6","0.6","33.5","16.0","8.3"
"8","Tampa Bay Buccaneers","17","2025","Tampa Bay","Buccaneers","645","24.0","0.63","72.7","0.41","49.8","0.52","50.2","0.46","4.3","14.6","16.4","3.4","34.6","17.4","4.3"
"9","Detroit Lions","17","2025","Detroit","Lions","635","38.4","0.60","59.4","0.36","56.1","0.49","43.9","0.44","2.8","28.2","13.1","4.7","27.6","15.7","3.0"
"10","San Francisco 49ers","17","2025","San Francisco","49ers","634","19.4","0.58","76.3","0.40","55.4","0.43","44.6","0.49","2.1","16.9","5.4","0.2","38.3","21.0","11.7"
"11","Dallas Cowboys","17","2025","Dallas","Cowboys","633","22.1","0.76","73.9","0.45","53.1","0.53","46.9","0.61","3.2","18.3","21.8","0.0","34.6","11.8","5.7"
"12","Philadelphia Eagles","17","2025","Philadelphia","Eagles","632","26.9","0.51","68.7","0.32","51.1","0.38","48.9","0.38","3.8","21.5","3.3","1.3","29.0","15.2","21.2"
"13","Atlanta Falcons","17","2025","Atlanta","Falcons","626","20.9","0.34","74.6","0.43","59.4","0.45","40.6","0.48","0.5","19.0","2.7","1.1","38.5","26.0","7.3"
"14","Arizona Cardinals","17","2025","Arizona","Cardinals","626","19.0","0.81","73.5","0.36","43.5","0.50","56.5","0.47","3.4","14.7","13.1","0.8","27.6","26.4","6.4"
"15","New York Giants","17","2025","New York","Giants","624","36.2","0.59","58.3","0.34","56.9","0.41","43.1","0.52","3.7","29.3","10.6","1.8","26.6","17.5","3.7"
"16","Houston Texans","17","2025","Houston","Texans","620","21.1","0.48","74.4","0.31","53.2","0.40","46.8","0.33","1.1","19.7","7.9","0.2","32.4","21.3","12.7"
"17","Washington Commanders","17","2025","Washington","Commanders","617","25.9","0.57","68.2","0.48","48.0","0.60","52.0","0.47","2.3","21.7","13.1","1.1","24.6","20.7","9.7"
"18","Green Bay Packers","17","2025","Green Bay","Packers","614","17.3","0.41","79.5","0.39","47.6","0.37","52.4","0.42","2.1","14.8","18.4","0.2","32.2","13.4","15.5"
"19","Cincinnati Bengals","17","2025","Cincinnati","Bengals","608","29.1","0.64","66.8","0.40","56.7","0.43","43.3","0.67","5.9","21.2","10.9","1.3","33.9","4.9","17.1"
"20","Tennessee Titans","17","2025","Tennessee","Titans","596","19.5","0.65","75.7","0.45","45.6","0.43","54.4","0.66","2.9","15.4","11.6","1.0","29.9","22.3","11.9"
"21","Chicago Bears","17","2025","Chicago","Bears","595","29.9","0.60","64.7","0.41","49.9","0.48","50.1","0.51","4.9","20.0","22.4","3.9","28.7","10.4","3.2"
"22","Las Vegas Raiders","17","2025","Las Vegas","Raiders","593","14.3","0.66","81.6","0.37","52.6","0.45","47.4","0.43","4.0","8.8","14.5","1.3","43.7","16.2","7.3"
"23","Miami Dolphins","17","2025","Miami","Dolphins","592","23.8","0.80","73.0","0.38","45.3","0.49","54.7","0.53","3.7","16.9","30.6","1.7","28.4","8.1","5.9"
