"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Seattle Seahawks","14","2025","Seattle","Seahawks","129","0.8","22","29","0.22","25","86.2","253","18.1","1.96","8.72","10.12","237","9.48","101","4.04","0","3","0","0","10","0.40","7","0.054","1","3.4","26","89.7","5","17.2","0","0","0.0","0","103.0","8","27.6","2.8","","","","100.0"
"2","Philadelphia Eagles","12","2025","Philadelphia","Eagles","114","-0.1","-3","25","0.22","17","68.0","190","15.8","1.67","7.60","11.18","200","11.76","44","2.59","1","1","0","0","5","0.29","9","0.079","1","4.0","20","80.0","2","8.0","2","0","0.0","0","103.8","9","36.0","1.5","","","","100.0"
"3","Las Vegas Raiders","10","2025","Las Vegas","Raiders","46","0.6","7","11","0.24","9","81.8","116","11.6","2.52","10.55","12.89","125","13.89","11","1.22","1","1","0","0","3","0.33","2","0.043","0","","9","81.8","2","18.2","0","0","0.0","0","140.9","3","27.3","4.9","","","","100.0"
"4","Cincinnati Bengals","15","2025","Cincinnati","Bengals","100","0.0","-1","21","0.21","16","76.2","104","6.9","1.04","4.95","6.50","113","7.06","34","2.13","0","0","0","0","4","0.25","5","0.050","2","9.5","18","85.7","3","14.3","0","0","0.0","0","86.2","5","23.8","-1.2","","","","100.0"
"5","Dallas Cowboys","13","2025","Dallas","Cowboys","54","1.1","14","13","0.24","12","92.3","91","7.0","1.69","7.00","7.58","98","8.17","28","2.33","0","2","0","0","2","0.17","5","0.093","0","","12","92.3","3","23.1","0","0","0.0","0","95.8","4","30.8","0.9","","","","100.0"
"6","Jacksonville Jaguars","14","2025","Jacksonville","Jaguars","115","-0.6","-15","26","0.23","22","84.6","91","6.5","0.79","3.50","4.14","104","4.73","26","1.18","0","0","0","0","5","0.23","4","0.035","3","11.5","25","96.2","3","11.5","4","4","100.0","0","49.2","7","26.9","-2.3","","","","96.2"
"7","Green Bay Packers","14","2025","Green Bay","Packers","73","-0.8","-16","19","0.26","12","63.2","77","5.5","1.05","4.05","6.42","84","7.00","38","3.17","0","0","0","0","4","0.33","5","0.068","3","15.8","16","84.2","6","31.6","2","1","50.0","0","71.6","9","47.4","-1.5","","","","100.0"
"8","New Orleans Saints","11","2025","New Orleans","Saints","36","-2.7","-27","10","0.28","7","70.0","76","6.9","2.11","7.60","10.86","97","13.86","24","3.43","1","0","0","0","3","0.43","3","0.083","1","10.0","8","80.0","4","40.0","0","0","0.0","0","125.4","4","40.0","2.0","","","","100.0"
"9","Carolina Panthers","11","2025","Carolina","Panthers","63","1.1","15","14","0.22","12","85.7","73","6.6","1.16","5.21","6.08","61","5.08","19","1.58","0","0","0","0","0","","3","0.048","0","","13","92.9","1","7.1","1","0","0.0","0","88.4","2","14.3","-0.6","","","","100.0"
"10","Houston Texans","11","2025","Houston","Texans","50","-3.1","-43","14","0.28","12","85.7","67","6.1","1.34","4.79","5.58","111","9.25","37","3.08","0","0","0","0","7","0.58","3","0.060","1","7.1","13","92.9","6","42.9","0","0","0.0","0","86.6","7","50.0","-0.9","","","","100.0"
"11","Baltimore Ravens","9","2025","Baltimore","Ravens","45","-1.3","-14","11","0.24","11","100.0","60","6.7","1.33","5.45","5.45","74","6.73","24","2.18","0","1","0","0","1","0.09","2","0.044","0","","11","100.0","3","27.3","0","0","0.0","0","89.4","5","45.5","-0.5","","","","100.0"
"12","San Francisco 49ers","12","2025","San Francisco","49ers","38","1.5","12","8","0.21","7","87.5","60","5.0","1.58","7.50","8.57","64","9.14","18","2.57","0","0","0","0","0","","2","0.053","0","","7","87.5","0","","0","0","0.0","0","97.9","0","","0.9","","","","100.0"
"13","Los Angeles Rams","11","2025","Los Angeles","Rams","50","0.7","8","11","0.22","9","81.8","58","5.3","1.16","5.27","6.44","61","6.78","17","1.89","0","2","0","0","3","0.33","1","0.020","0","","9","81.8","1","9.1","0","0","0.0","0","50.8","3","27.3","-1.0","","","","100.0"
"14","Washington Commanders","8","2025","Washington","Commanders","31","0.0","0","8","0.26","6","75.0","57","7.1","1.84","7.13","9.50","63","10.50","16","2.67","0","0","0","0","0","","2","0.065","0","","6","75.0","2","25.0","0","0","0.0","0","94.3","3","37.5","1.0","","","","100.0"
"15","Kansas City Chiefs","9","2025","Kansas City","Chiefs","17","-2.2","-13","6","0.35","5","83.3","55","6.1","3.24","9.17","11.00","61","12.20","15","3.00","0","0","0","0","2","0.40","2","0.118","0","","5","83.3","3","50.0","0","0","0.0","0","104.9","3","50.0","3.7","","","","100.0"
"16","Atlanta Falcons","9","2025","Atlanta","Falcons","17","1.4","7","5","0.29","4","80.0","50","5.6","2.94","10.00","12.50","39","9.75","10","2.50","1","1","0","0","1","0.25","2","0.118","0","","4","80.0","2","40.0","1","0","0.0","0","147.9","3","60.0","3.2","","","","100.0"
"17","Los Angeles Chargers","9","2025","Los Angeles","Chargers","39","-0.7","-6","9","0.23","5","55.6","39","4.3","1.00","4.33","7.80","49","9.80","21","4.20","0","3","0","0","2","0.40","1","0.026","2","22.2","7","77.8","2","22.2","1","0","0.0","0","26.9","3","33.3","-1.3","","","","88.9"
"18","Indianapolis Colts","10","2025","Indianapolis","Colts","30","-2.7","-19","7","0.23","6","85.7","38","3.8","1.27","5.43","6.33","54","9.00","25","4.17","0","1","0","0","3","0.50","1","0.033","0","","6","85.7","1","14.3","0","0","0.0","0","89.3","2","28.6","-0.3","","","","100.0"
"19","Minnesota Vikings","11","2025","Minnesota","Vikings","33","-2.5","-20","8","0.24","6","75.0","36","3.3","1.09","4.50","6.00","51","8.50","21","3.50","0","0","0","0","2","0.33","2","0.061","1","12.5","7","87.5","1","12.5","0","0","0.0","0","83.3","1","12.5","-1.4","","","","100.0"
"20","Tennessee Titans","10","2025","Tennessee","Titans","25","1.6","8","5","0.20","5","100.0","35","3.5","1.40","7.00","7.00","27","5.40","9","1.80","0","0","0","0","0","","0","0.000","0","","5","100.0","0","","0","0","0.0","0","95.8","0","","0.5","","","","100.0"
"21","Buffalo Bills","7","2025","Buffalo","Bills","39","0.8","7","9","0.23","7","77.8","33","4.7","0.85","3.67","4.71","54","7.71","11","1.57","0","1","1","0","2","0.29","3","0.077","0","","8","88.9","1","11.1","2","1","50.0","0","81.9","4","44.4","-2.0","","","","100.0"
"22","Arizona Cardinals","9","2025","Arizona","Cardinals","29","-0.9","-6","7","0.24","6","85.7","31","3.4","1.07","4.43","5.17","33","5.50","3","0.50","0","0","0","0","2","0.33","1","0.034","1","14.3","7","100.0","1","14.3","0","0","0.0","0","85.1","4","57.1","-1.6","","","","100.0"
"23","Miami Dolphins","10","2025","Miami","Dolphins","22","0.2","1","6","0.27","6","100.0","31","3.1","1.41","5.17","5.17","30","5.00","10","1.67","0","1","0","0","0","","1","0.045","0","","6","100.0","2","33.3","0","0","0.0","0","88.2","2","33.3","-0.9","","","","100.0"
"24","Pittsburgh Steelers","12","2025","Pittsburgh","Steelers","19","0.0","0","4","0.21","4","100.0","30","2.5","1.58","7.50","7.50","30","7.50","14","3.50","0","0","0","0","1","0.25","1","0.053","0","","4","100.0","0","","0","0","0.0","1","97.9","1","25.0","1.5","","","","100.0"
"25","Cleveland Browns","9","2025","Cleveland","Browns","32","-3.0","-21","7","0.22","6","85.7","25","2.8","0.78","3.57","4.17","44","7.33","14","2.33","0","0","0","0","1","0.17","1","0.031","0","","6","85.7","0","","0","0","0.0","0","81.5","1","14.3","-2.1","","","","100.0"
"26","Denver Broncos","12","2025","Denver","Broncos","11","-0.7","-2","3","0.27","3","100.0","13","1.1","1.18","4.33","4.33","15","5.00","7","2.33","0","0","0","0","1","0.33","0","0.000","0","","3","100.0","1","33.3","0","0","0.0","0","84.7","1","33.3","-1.4","","","","100.0"
"27","Chicago Bears","7","2025","Chicago","Bears","11","-0.7","-2","3","0.27","3","100.0","8","1.1","0.73","2.67","2.67","10","3.33","5","1.67","0","1","0","0","1","0.33","0","0.000","0","","3","100.0","1","33.3","0","0","0.0","0","79.2","1","33.3","-3.1","","","","100.0"
"28","Tampa Bay Buccaneers","7","2025","Tampa Bay","Buccaneers","11","-0.3","-1","3","0.27","2","66.7","7","1.0","0.64","2.33","3.50","7","3.50","3","1.50","0","0","0","0","0","","0","0.000","0","","2","66.7","1","33.3","0","0","0.0","0","70.1","1","33.3","-3.5","","","","100.0"
"29","New York Jets","6","2025","New York","Jets","5","0.0","0","1","0.20","1","100.0","6","1.0","1.20","6.00","6.00","6","6.00","4","4.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","91.7","0","","0.2","","","","100.0"
"30","New England Patriots","4","2025","New England","Patriots","5","0.0","0","1","0.20","1","100.0","1","0.3","0.20","1.00","1.00","1","1.00","1","1.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","0","","-4.8","","","","100.0"
"31","Detroit Lions","10","2025","Detroit","Lions","8","-1.5","-3","2","0.25","2","100.0","-3","-0.3","-0.38","-1.50","-1.50","0","","","","0","0","0","0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","79.2","0","","-7.6","","","","100.0"
