"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Baltimore Ravens","3","2025","Baltimore","Ravens","15","1.0","3","3","0.20","3","100.0","56","18.7","3.73","18.67","18.67","53","17.67","5","1.67","1","1","0","0","0","","2","0.133","0","","3","100.0","0","","0","0","0.0","0","158.3","2","66.7","12.6","","","","100.0"
"2","Cleveland Browns","2","2025","Cleveland","Browns","6","0.0","0","2","0.33","2","100.0","54","27.0","9.00","27.00","27.00","54","27.00","1","0.50","1","1","0","0","0","","2","0.333","0","","2","100.0","1","50.0","0","0","0.0","0","158.3","2","100.0","20.6","","","","100.0"
"3","Cincinnati Bengals","5","2025","Cincinnati","Bengals","25","3.8","19","5","0.20","3","60.0","47","9.4","1.88","9.40","15.67","45","15.00","2","0.67","3","4","1","0","1","0.33","3","0.120","1","20.0","4","80.0","0","","0","0","0.0","0","130.8","3","60.0","3.5","","","","100.0"
"4","Indianapolis Colts","5","2025","Indianapolis","Colts","12","-1.5","-6","4","0.33","4","100.0","31","6.2","2.58","7.75","7.75","38","9.50","18","4.50","2","2","1","1","2","0.50","3","0.250","0","","4","100.0","1","25.0","0","0","0.0","0","138.5","3","75.0","2.0","","","","100.0"
"5","Kansas City Chiefs","5","2025","Kansas City","Chiefs","19","2.8","11","4","0.21","4","100.0","26","5.2","1.37","6.50","6.50","24","6.00","4","1.00","1","2","1","1","0","","3","0.158","0","","4","100.0","0","","0","0","0.0","0","133.3","3","75.0","0.0","","","","100.0"
"6","New Orleans Saints","3","2025","New Orleans","Saints","9","-3.5","-7","2","0.22","2","100.0","18","6.0","2.00","9.00","9.00","25","12.50","7","3.50","0","0","0","0","4","2.00","2","0.222","0","","2","100.0","1","50.0","0","0","0.0","0","104.2","2","100.0","3.8","","","","100.0"
"7","Miami Dolphins","3","2025","Miami","Dolphins","7","-2.5","-5","2","0.29","2","100.0","16","5.3","2.29","8.00","8.00","21","10.50","5","2.50","0","1","0","0","1","0.50","1","0.143","0","","2","100.0","1","50.0","0","0","0.0","0","100.0","2","100.0","2.3","","","","100.0"
"8","Jacksonville Jaguars","3","2025","Jacksonville","Jaguars","5","-5.0","-5","1","0.20","1","100.0","15","5.0","3.00","15.00","15.00","20","20.00","15","15.00","1","1","0","0","1","1.00","1","0.200","0","","1","100.0","1","100.0","0","0","0.0","0","158.3","1","100.0","9.1","","","","100.0"
"9","Washington Commanders","4","2025","Washington","Commanders","13","1.3","4","3","0.23","1","33.3","14","3.5","1.08","4.67","14.00","12","12.00","7","7.00","0","0","0","0","0","","1","0.077","1","33.3","3","100.0","0","","1","0","0.0","0","49.3","0","","-1.6","","","","100.0"
"10","Dallas Cowboys","5","2025","Dallas","Cowboys","9","2.0","4","2","0.22","2","100.0","11","2.2","1.22","5.50","5.50","9","4.50","1","0.50","1","1","1","1","0","","2","0.222","0","","2","100.0","0","","0","0","0.0","0","129.2","1","50.0","2.6","","","","100.0"
"11","Chicago Bears","3","2025","Chicago","Bears","5","-1.0","-1","1","0.20","1","100.0","8","2.7","1.60","8.00","8.00","9","9.00","2","2.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","0","","2.2","","","","100.0"
"12","New York Jets","5","2025","New York","Jets","12","-0.3","-1","3","0.25","3","100.0","7","1.4","0.58","2.33","2.33","8","2.67","","","2","2","0","0","0","","2","0.167","0","","3","100.0","0","","0","0","0.0","0","118.8","3","100.0","-3.8","","","","100.0"
"13","New York Giants","3","2025","New York","Giants","10","0.5","1","2","0.20","2","100.0","4","1.3","0.40","2.00","2.00","3","1.50","-1","-0.50","1","2","0","0","0","","1","0.100","0","","2","100.0","0","","0","0","0.0","0","118.8","1","50.0","-3.8","","","","100.0"
"14","Philadelphia Eagles","2","2025","Philadelphia","Eagles","5","0.0","0","1","0.20","1","100.0","4","2.0","0.80","4.00","4.00","4","4.00","","","1","1","0","0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","122.9","1","100.0","-1.8","","","","100.0"
"15","Minnesota Vikings","2","2025","Minnesota","Vikings","8","3.5","7","2","0.25","1","50.0","3","1.5","0.38","1.50","3.00","7","7.00","7","7.00","0","0","0","0","0","","0","0.000","0","","1","50.0","1","50.0","0","0","0.0","0","56.3","1","50.0","-2.1","","","","100.0"
"16","San Francisco 49ers","4","2025","San Francisco","49ers","4","-6.0","-6","1","0.25","1","100.0","-3","-0.8","-0.75","-3.00","-3.00","3","3.00","1","1.00","0","1","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","1","100.0","-8.1","","","","100.0"
"17","Carolina Panthers","3","2025","Carolina","Panthers","5","-7.0","-7","1","0.20","1","100.0","-5","-1.7","-1.00","-5.00","-5.00","2","2.00","2","2.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","1","1","100.0","0","79.2","0","","-11.1","","","","100.0"
"18","Tennessee Titans","2","2025","Tennessee","Titans","10","0.0","0","2","0.20","0","","0","0.0","","0.00","","0","","","","0","2","0","0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","2","100.0","-6.3","","","","100.0"
