"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","AVOID SK","QBP","PRESS %","PrROE","CHK %","RPO %","TA","BAT","SPK"
"1","Chicago Bears","8","2025","Chicago","Bears","23","21","18","85.7","252","31.5","12.00","1","0","13","132.5","2","8.7","17","11.09","16.6","8.3","175","9.5","2","37.7","90.5","90.5","81.0","95.2","4.8","9.5","4.8","0","4.8","12","2.51","2.94","3.5","","1","0","5","21.7","-8.73","","","0","0","0"
"2","Detroit Lions","15","2025","Detroit","Lions","30","26","15","57.7","154","10.3","5.92","3","0","10","113.3","2","6.7","15","7.11","-8.3","10.6","265","11.5","3","26.0","60.0","73.1","34.6","65.4","30.8","7.7","","5","","0","2.62","2.59","3.8","5.7","1","2","12","40.0","9.44","3.8","","1","0","0"
"3","Indianapolis Colts","8","2025","Indianapolis","Colts","12","11","10","90.9","134","16.8","12.18","1","0","8","147.7","1","8.3","7","12.25","32.6","9.5","104","9.1","1","22.4","100.0","36.4","54.5","90.9","","","","1","","0","3.56","2.86","3.6","","0","1","5","41.7","-5.59","9.1","","0","0","0"
"4","Denver Broncos","10","2025","Denver","Broncos","23","17","10","58.8","126","12.6","7.41","0","0","5","82.0","3","13.0","14","5.60","8.9","8.8","141","17.6","3","51.6","81.3","82.4","70.6","76.5","17.6","","","0","17.6","22","2.85","2.35","3.0","4.5","0","2","10","43.5","14.51","5.9","8.7","1","0","0"
"5","Tampa Bay Buccaneers","11","2025","Tampa Bay","Buccaneers","22","18","12","66.7","125","11.4","6.94","0","0","8","86.6","2","9.1","19","5.30","5.1","8.9","152","11.1","2","47.2","76.5","50.0","61.1","77.8","16.7","5.6","","0","5.6","15","2.79","2.35","3.3","4.6","0","5","11","50.0","18.68","","","1","0","0"
"6","Pittsburgh Steelers","14","2025","Pittsburgh","Steelers","23","17","10","58.8","107","7.6","6.29","0","0","6","77.3","6","26.1","32","3.26","4.7","7.1","106","5.9","1","57.0","80.0","70.6","47.1","76.5","5.9","","5.9","0","11.8","11","2.84","2.50","4.0","","1","0","13","56.5","27.70","","","2","0","0"
"7","Buffalo Bills","13","2025","Buffalo","Bills","33","28","12","42.9","103","7.9","3.68","0","0","8","53.1","2","6.1","13","3.00","-15.2","12.7","331","17.9","5","33.0","50.0","67.9","39.3","60.7","25.0","7.1","","2","3.6","12","3.13","2.65","3.4","5.7","0","3","16","48.5","11.16","7.1","","2","0","0"
"8","Minnesota Vikings","10","2025","Minnesota","Vikings","14","11","9","81.8","98","9.8","8.91","1","0","4","134.1","0","","0","10.73","15.9","7.9","79","9.1","1","26.5","90.0","63.6","54.5","81.8","9.1","","","0","","0","2.61","2.36","","4.6","0","0","5","35.7","8.15","9.1","","0","1","0"
"9","Cincinnati Bengals","12","2025","Cincinnati","Bengals","8","5","5","100.0","87","7.3","17.40","0","0","4","118.8","0","","0","17.40","40.5","15.6","78","40.0","2","10.3","100.0","80.0","100.0","100.0","","20.0","","0","","0","2.84","2.47","","6.0","0","2","6","75.0","50.58","","","0","0","0"
"10","Los Angeles Chargers","9","2025","Los Angeles","Chargers","16","14","6","42.9","81","9.0","5.79","0","0","4","61.9","2","12.5","10","4.44","-8.4","11.3","135","14.3","2","21.0","58.3","64.3","42.9","50.0","35.7","","14.3","1","7.1","6","2.21","2.32","5.8","","1","1","5","31.3","6.62","7.1","","2","0","0"
"11","New York Giants","7","2025","New York","Giants","11","9","6","66.7","78","11.1","8.67","0","0","6","93.8","2","18.2","14","5.82","16.7","9.0","72","","0","26.9","87.5","55.6","66.7","77.8","11.1","","","0","11.1","1","2.54","2.47","3.9","","0","0","3","27.3","-0.52","","","0","1","0"
"12","New York Jets","10","2025","New York","Jets","20","14","7","50.0","64","6.4","4.57","0","0","5","62.8","1","5.0","9","3.67","-5.9","7.9","100","","0","42.2","66.7","64.3","42.9","64.3","21.4","","","0","7.1","16","2.64","2.78","3.3","5.1","0","1","12","60.0","35.12","14.3","","1","0","0"
