"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","AVOID SK","QBP","PRESS %","PrROE","CHK %","RPO %","TA","BAT","SPK"
"1","Dallas Cowboys","17","2025","Dallas","Cowboys","219","192","137","71.4","1738","102.2","9.05","8","4","85","104.5","13","5.9","90","7.94","8.3","8.4","1495","10.4","20","49.1","81.5","66.7","65.6","78.6","13.0","3.6","1.6","8","4.2","85","2.74","2.56","3.4","4.9","1","13","92","42.0","9.26","8.9","3.7","11","3","0"
"2","Las Vegas Raiders","17","2025","Las Vegas","Raiders","259","226","153","67.7","1737","102.2","7.69","8","4","76","94.9","15","5.8","78","6.80","6.1","8.9","1959","13.3","30","40.5","78.3","66.8","60.6","81.0","14.6","3.1","4.0","9","7.5","122","2.82","2.63","4.1","4.9","6","14","92","35.5","1.73","10.6","2.7","3","4","0"
"3","Baltimore Ravens","17","2025","Baltimore","Ravens","230","207","148","71.5","1677","98.6","8.10","1","3","71","91.0","12","5.2","75","6.79","8.1","8.0","1521","10.1","21","43.9","82.1","61.4","61.4","77.8","14.0","3.4","2.4","1","3.9","60","2.70","2.60","3.8","5.5","2","8","81","35.2","2.21","13.5","3.5","12","3","0"
"4","San Francisco 49ers","17","2025","San Francisco","49ers","243","225","161","71.6","1618","95.2","7.19","8","2","70","99.8","7","2.9","63","7.00","4.5","7.3","1563","10.2","23","49.6","79.8","61.8","60.4","79.6","12.9","4.4","2.2","4","4.0","95","2.70","2.70","3.9","6.0","3","10","71","29.2","-4.73","13.8","2.1","5","6","0"
"5","Los Angeles Rams","17","2025","Los Angeles","Rams","222","199","135","67.8","1596","93.9","8.02","6","2","75","97.9","14","6.3","86","7.23","3.7","7.9","1504","9.5","19","43.8","76.6","67.8","55.3","76.9","16.6","4.0","2.0","9","4.5","34","2.44","2.49","3.6","4.5","5","10","77","34.7","5.79","7.0","3.2","6","2","0"
"6","Tampa Bay Buccaneers","17","2025","Tampa Bay","Buccaneers","223","194","134","69.1","1552","91.3","8.00","11","3","70","105.4","11","4.9","81","7.59","4.9","8.0","1460","9.8","19","51.5","79.0","62.9","62.9","79.4","11.9","3.1","1.5","10","4.6","102","2.78","2.63","3.7","4.9","4","9","92","41.3","8.16","8.2","1.8","9","3","0"
"7","Carolina Panthers","17","2025","Carolina","Panthers","230","205","135","65.9","1544","90.8","7.53","8","6","81","89.2","17","7.4","119","5.92","2.1","8.1","1573","9.3","19","49.9","75.3","64.9","57.1","74.1","20.0","2.9","4.4","14","5.4","115","2.73","2.53","4.0","5.3","4","12","77","33.5","0.40","7.3","1.7","7","3","0"
"8","Washington Commanders","17","2025","Washington","Commanders","152","142","103","72.5","1459","85.8","10.27","10","3","64","120.0","8","5.3","61","9.75","8.3","9.1","1248","12.7","18","50.4","80.1","71.8","62.7","80.3","14.8","4.2","2.1","6","4.2","27","2.61","2.70","4.3","4.1","3","7","50","32.9","0.07","9.9","3.9","5","0","0"
"9","Tennessee Titans","17","2025","Tennessee","Titans","178","154","109","70.8","1456","85.6","9.45","4","4","65","98.3","13","7.3","79","7.65","6.8","9.1","1318","12.3","19","46.8","78.0","68.8","63.6","75.3","14.9","4.5","3.9","3","0.6","24","2.73","2.61","3.6","5.4","5","12","67","37.6","5.45","7.8","0.6","8","1","0"
