"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","AVOID SK","QBP","PRESS %","PrROE","CHK %","RPO %","TA","BAT","SPK"
"1","Kansas City Chiefs","17","2025","Kansas City","Chiefs","44","38","23","60.5","294","17.3","7.74","2","0","14","102.3","6","13.6","36","6.77","1.0","7.4","243","7.9","3","48.6","75.8","76.3","42.1","73.7","10.5","5.3","","1","5.3","28","2.09","1.99","2.5","","1","2","22","50.0","27.48","","","4","1","0"
"2","Baltimore Ravens","17","2025","Baltimore","Ravens","44","39","16","41.0","202","11.9","5.18","5","2","12","76.1","4","9.1","29","4.26","-20.3","11.9","429","17.9","7","51.0","47.2","76.9","48.7","53.8","30.8","","5.1","12","2.6","-5","2.37","2.16","2.8","5.5","0","4","20","45.5","17.98","","2.3","3","0","0"
"3","Pittsburgh Steelers","15","2025","Pittsburgh","Steelers","26","24","10","41.7","192","12.8","8.00","7","1","9","92.4","1","3.8","6","11.24","-14.8","8.9","170","8.3","2","52.6","57.9","66.7","50.0","54.2","20.8","4.2","","8","4.2","3","2.73","2.37","1.9","4.5","0","0","12","46.2","11.85","","3.8","3","2","0"
"4","Indianapolis Colts","17","2025","Indianapolis","Colts","42","39","22","56.4","191","11.2","4.90","4","1","10","93.0","3","7.1","40","4.43","-3.3","6.9","242","15.4","6","66.0","71.4","79.5","46.2","69.2","20.5","2.6","2.6","9","7.7","25","2.00","2.01","2.5","","0","2","15","35.7","12.85","5.1","4.8","1","3","0"
"5","Chicago Bears","16","2025","Chicago","Bears","29","27","16","59.3","184","11.5","6.81","2","1","11","89.1","1","3.4","11","6.00","-2.7","7.6","189","3.7","1","31.0","70.8","74.1","55.6","66.7","18.5","7.4","3.7","4","3.7","11","2.11","2.01","2.3","3.3","0","0","9","31.0","6.31","3.7","6.9","1","1","0"
"6","Minnesota Vikings","13","2025","Minnesota","Vikings","42","40","17","42.5","168","12.9","4.20","2","0","10","71.7","2","4.8","16","4.57","-11.2","7.1","219","5.0","2","52.4","64.5","70.0","32.5","52.5","25.0","2.5","","4","7.5","27","1.85","1.58","2.2","","0","0","11","26.2","5.33","","2.4","1","8","0"
"7","New England Patriots","15","2025","New England","Patriots","19","19","11","57.9","157","10.5","8.26","7","0","10","124.3","0","","0","15.63","-0.5","15.2","273","26.3","5","14.6","61.1","84.2","36.8","68.4","21.1","10.5","5.3","7","","0","2.83","2.51","","","0","0","9","47.4","8.44","","","1","0","0"
"8","Denver Broncos","16","2025","Denver","Broncos","46","40","18","45.0","146","9.1","3.65","2","1","10","61.0","6","13.0","52","1.93","-14.1","5.9","199","5.0","2","42.5","62.5","77.5","35.0","57.5","22.5","","5.0","5","5.0","9","2.12","1.97","3.0","","0","3","20","43.5","20.34","","4.3","5","2","0"
"9","New York Jets","17","2025","New York","Jets","28","26","18","69.2","145","8.5","5.58","8","0","13","122.6","1","3.6","8","11.00","0.2","6.9","166","7.7","2","45.5","75.0","76.9","76.9","80.8","11.5","3.8","","9","","0","2.36","2.09","2.3","2.7","0","3","11","39.3","10.67","","3.6","1","1","0"
