"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Washington Commanders","15","2025","Washington","Commanders","114","9.8","256","26","0.23","24","92.3","446","29.7","3.91","17.15","18.58","209","8.71","35","1.46","2","4","0","0","5","0.21","13","0.114","0","","24","92.3","3","11.5","1","1","100.0","0","144.4","19","73.1","9.5","","100.0","",""
"2","Dallas Cowboys","17","2025","Dallas","Cowboys","132","9.8","293","30","0.23","25","83.3","338","19.9","2.56","11.27","13.52","117","4.68","31","1.24","2","2","2","1","3","0.12","11","0.083","0","","25","83.3","3","10.0","3","3","100.0","0","121.9","20","66.7","3.4","","100.0","",""
"3","Miami Dolphins","17","2025","Miami","Dolphins","221","6.3","301","48","0.22","38","79.2","328","19.3","1.48","6.83","8.63","160","4.21","57","1.50","1","2","0","0","3","0.08","15","0.068","2","4.2","42","87.5","2","4.2","9","6","66.7","1","93.4","33","68.8","-0.1","","100.0","",""
"4","Los Angeles Rams","14","2025","Los Angeles","Rams","145","6.6","224","34","0.23","27","79.4","257","18.4","1.77","7.56","9.52","117","4.33","40","1.48","1","1","0","0","5","0.19","10","0.069","1","2.9","31","91.2","6","17.6","8","5","62.5","0","108.0","27","79.4","0.2","","100.0","",""
"5","Detroit Lions","17","2025","Detroit","Lions","111","10.2","255","25","0.23","17","68.0","247","14.5","2.23","9.88","14.53","96","5.65","26","1.53","0","1","0","0","1","0.06","11","0.099","1","4.0","22","88.0","3","12.0","7","3","42.9","1","83.3","18","72.0","1.7","","100.0","",""
"6","Chicago Bears","17","2025","Chicago","Bears","161","9.9","348","35","0.22","22","62.9","244","14.4","1.52","6.97","11.09","81","3.68","33","1.50","2","4","4","2","0","","11","0.068","3","8.6","28","80.0","1","2.9","4","1","25.0","0","78.8","26","74.3","-1.1","","100.0","",""
"7","Indianapolis Colts","15","2025","Indianapolis","Colts","125","12.0","335","28","0.22","19","67.9","231","15.4","1.85","8.25","12.16","73","3.84","25","1.32","0","0","1","0","3","0.16","10","0.080","2","7.1","24","85.7","2","7.1","6","4","66.7","0","78.1","23","82.1","-0.2","","100.0","",""
"8","Cincinnati Bengals","16","2025","Cincinnati","Bengals","56","7.4","118","16","0.29","14","87.5","229","14.3","4.09","14.31","16.36","130","9.29","37","2.64","1","0","0","0","1","0.07","9","0.161","0","","15","93.8","6","37.5","2","1","50.0","0","139.6","15","93.8","7.1","","100.0","",""
"9","Arizona Cardinals","15","2025","Arizona","Cardinals","120","6.4","178","28","0.23","19","67.9","225","15.0","1.88","8.04","11.84","106","5.58","34","1.79","0","1","0","0","3","0.16","13","0.108","3","10.7","24","85.7","3","10.7","4","3","75.0","0","92.1","18","64.3","1.3","","100.0","",""
