"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Chicago Bears","6","2025","Chicago","Bears","35","11.8","94","8","0.23","6","75.0","99","16.5","2.83","12.38","16.50","22","3.67","8","1.33","0","0","0","0","0","","6","0.171","1","12.5","7","87.5","1","12.5","2","1","50.0","0","116.1","8","100.0","4.0","","100.0","",""
"2","Buffalo Bills","7","2025","Buffalo","Bills","52","14.5","159","11","0.21","6","54.5","79","11.3","1.52","7.18","13.17","19","3.17","1","0.17","0","1","2","0","1","0.17","5","0.096","1","9.1","8","72.7","0","","4","3","75.0","1","77.5","9","81.8","-2.1","","100.0","",""
"3","Detroit Lions","11","2025","Detroit","Lions","57","10.3","124","12","0.21","8","66.7","75","6.8","1.32","6.25","9.38","7","0.88","3","0.38","2","3","3","2","0","","6","0.105","0","","9","75.0","1","8.3","5","4","80.0","0","123.3","10","83.3","-2.5","","100.0","",""
"4","Tampa Bay Buccaneers","6","2025","Tampa Bay","Buccaneers","32","6.4","45","7","0.22","7","100.0","62","10.3","1.94","8.86","8.86","17","2.43","8","1.14","0","1","0","0","1","0.14","4","0.125","0","","7","100.0","0","","3","3","100.0","0","103.6","4","57.1","2.1","","100.0","",""
"5","Pittsburgh Steelers","8","2025","Pittsburgh","Steelers","29","7.5","45","6","0.21","4","66.7","60","7.5","2.07","10.00","15.00","25","6.25","14","3.50","0","1","0","0","0","","3","0.103","1","16.7","6","100.0","0","","1","0","0.0","0","99.3","6","100.0","2.7","","100.0","",""
"6","Indianapolis Colts","4","2025","Indianapolis","Colts","20","9.8","39","4","0.20","4","100.0","58","14.5","2.90","14.50","14.50","19","4.75","3","0.75","0","0","0","0","0","","3","0.150","0","","4","100.0","0","","1","1","100.0","0","118.8","3","75.0","5.9","","100.0","",""
"7","Los Angeles Chargers","4","2025","Los Angeles","Chargers","29","10.3","62","6","0.21","4","66.7","48","12.0","1.66","8.00","12.00","9","2.25","3","0.75","0","0","0","0","0","","3","0.103","1","16.7","5","83.3","0","","1","1","100.0","0","91.0","5","83.3","-0.4","","100.0","",""
"8","Denver Broncos","5","2025","Denver","Broncos","35","14.3","100","7","0.20","3","42.9","45","9.0","1.29","6.43","15.00","7","2.33","","","0","0","0","0","0","","2","0.057","2","28.6","5","71.4","0","","0","0","0.0","0","64.6","6","85.7","-3.4","","100.0","",""
"9","New York Giants","4","2025","New York","Giants","19","9.8","39","4","0.21","3","75.0","44","11.0","2.32","11.00","14.67","6","2.00","1","0.33","0","0","0","0","0","","3","0.158","1","25.0","4","100.0","0","","1","0","0.0","1","110.4","2","50.0","3.0","","100.0","",""
