"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Tyler Warren","IND","TE","17","2025","34","79.1","6.0","96","46.4","16","0.9","41.0","0.47","12","75.0","169","9.9","49.7","4.97","10.56","14.08","103","8.58","22","1.83","0","0.0","3","0","0","1","13","41.9","1","0.08","8","0.235","0","","15","93.8","2","12.5","4","1","25.0","0","108.6","41.0","3.0","","","100.0","","0.85","1.7","28.9","26.5","1.6","0.78","26.5"
"2","Harold Fannin","CLV","TE","16","2025","29","96.7","4.2","54","43.9","13","0.8","46.4","0.45","10","76.9","122","7.6","93.8","4.21","9.38","12.20","70","7.00","32","3.20","1","100.0","0","0","0","1","10","66.7","5","0.50","4","0.138","1","7.7","11","84.6","3","23.1","1","0","0.0","0","130.9","54.2","2.9","","","100.0","","0.97","1.8","28.2","19.7","1.2","0.68","19.7"
"3","Chig Okonkwo","TEN","TE","17","2025","23","85.2","1.7","12","6.7","7","0.4","28.0","0.30","7","100.0","95","5.6","48.5","4.13","13.57","13.57","83","11.86","19","2.71","1","100.0","0","0","0","0","5","35.7","3","0.43","3","0.130","0","","7","100.0","2","28.6","0","0","0.0","0","158.3","31.8","7.6","","","100.0","","0.98","1.3","22.5","9.6","0.6","0.42","9.6"
"4","Mitchell Evans","CAR","TE","17","2025","26","89.7","4.3","34","23.8","8","0.5","29.6","0.31","7","87.5","81","4.8","36.0","3.12","10.13","11.57","52","7.43","11","1.57","0","0.0","0","0","0","0","5","26.3","1","0.14","3","0.115","0","","8","100.0","1","12.5","0","0","0.0","0","108.9","29.6","3.6","","","100.0","","0.58","0.9","15.1","11.9","0.7","0.46","11.9"
"5","Trey McBride","ARZ","TE","17","2025","56","94.9","3.7","41","9.5","11","0.6","19.3","0.20","10","90.9","76","4.5","19.4","1.36","6.91","7.60","49","4.90","22","2.20","0","0.0","4","0","0","0","10","29.4","2","0.20","2","0.036","0","","10","90.9","2","18.2","2","1","50.0","0","95.5","22.0","0.2","","","100.0","","0.31","1.0","17.6","16.3","1.0","0.29","16.3"
"6","George Kittle","SF","TE","11","2025","33","86.8","2.6","21","10.5","8","0.7","26.7","0.24","8","100.0","72","6.5","36.9","2.18","9.00","9.00","51","6.38","33","4.13","0","0.0","1","0","0","0","7","41.2","2","0.25","4","0.121","0","","8","100.0","3","37.5","3","3","100.0","0","104.2","28.6","3.1","","","100.0","","0.46","1.4","15.2","12.0","1.1","0.36","12.0"
"7","Brock Bowers","LV","TE","12","2025","21","84.0","7.5","30","17.5","4","0.3","17.4","0.19","4","100.0","61","5.1","44.5","2.90","15.25","15.25","34","8.50","9","2.25","1","100.0","1","1","1","0","4","23.5","1","0.25","4","0.190","0","","4","100.0","0","","0","0","0.0","0","158.3","17.4","7.2","","","100.0","","0.77","1.3","16.1","6.6","0.5","0.31","6.6"
"8","AJ Barner","SEA","TE","17","2025","53","79.1","4.6","37","6.9","8","0.5","12.9","0.15","7","87.5","56","3.3","9.5","1.06","7.00","8.00","23","3.29","9","1.29","0","0.0","2","0","0","0","2","5.0","0","","4","0.075","1","12.5","8","100.0","0","","1","1","100.0","0","95.8","13.3","0.5","","","100.0","","0.24","0.7","12.6","12.3","0.7","0.23","12.3"
"9","Elijah Arroyo","SEA","TE","13","2025","18","85.7","18.7","56","21.0","3","0.2","15.0","0.17","2","66.7","56","4.3","23.8","3.11","18.67","28.00","30","15.00","4","2.00","0","0.0","0","0","0","2","1","6.7","0","","2","0.111","0","","2","66.7","0","","1","1","100.0","0","109.7","15.0","7.9","","","100.0","","0.42","0.6","7.6","5.1","0.4","0.28","5.1"
"10","Juwan Johnson","NO","TE","17","2025","38","90.5","13.2","66","21.6","5","0.3","13.5","0.13","4","80.0","52","3.1","16.4","1.37","10.40","13.00","21","5.25","4","1.00","0","0.0","0","1","0","1","5","17.2","0","","3","0.079","0","","4","80.0","0","","0","0","0.0","0","110.0","13.5","3.8","","","100.0","","0.24","0.5","9.2","8.9","0.5","0.23","8.9"
"11","Evan Engram","DEN","TE","16","2025","25","96.2","0.7","9","7.6","13","0.8","52.0","0.52","8","61.5","51","3.2","51.0","2.04","3.92","6.38","56","7.00","10","1.25","0","0.0","2","0","0","0","5","45.5","0","","1","0.040","3","23.1","11","84.6","3","23.1","0","0","0.0","0","69.7","56.5","-2.2","","","100.0","","0.52","0.8","13.1","19.1","1.2","0.76","19.1"
"12","Dallas Goedert","PHI","TE","15","2025","23","85.2","7.7","46","18.9","6","0.4","24.0","0.26","5","83.3","50","3.3","39.4","2.17","8.33","10.00","7","1.40","10","2.00","0","0.0","1","0","0","1","4","26.7","0","","2","0.087","0","","6","100.0","0","","1","0","0.0","0","101.4","25.0","0.5","","","100.0","","0.43","0.7","10.0","9.6","0.6","0.42","9.6"
"13","Colby Parkinson","LA","TE","15","2025","34","75.6","3.0","24","6.3","8","0.5","20.0","0.24","5","62.5","49","3.3","17.2","1.44","6.13","9.80","38","7.60","14","2.80","0","0.0","2","0","0","0","4","17.4","0","","1","0.029","2","25.0","7","87.5","2","25.0","0","0","0.0","0","79.7","23.5","0.0","","","100.0","","0.29","0.7","9.9","12.1","0.8","0.36","12.1"
"14","Greg Dulcich","MIA","TE","10","2025","9","100.0","13.5","27","22.5","2","0.2","22.2","0.22","2","100.0","36","3.6","32.7","4.00","18.00","18.00","9","4.50","3","1.50","0","0.0","0","0","0","0","1","14.3","1","0.50","1","0.111","0","","2","100.0","0","","1","1","100.0","0","118.8","22.2","8.8","","","100.0","","0.62","0.6","5.6","5.3","0.5","0.58","5.3"
"15","Dalton Schultz","HST","TE","17","2025","37","88.1","3.3","23","11.3","7","0.4","17.5","0.19","6","85.7","35","2.1","16.7","0.95","5.00","5.83","26","4.33","3","0.50","0","0.0","0","0","0","0","5","17.2","0","","0","0.000","0","","7","100.0","0","","2","1","50.0","0","87.5","18.4","-1.4","","","100.0","","0.26","0.6","9.5","10.9","0.6","0.30","10.9"
"16","David Njoku","CLV","TE","12","2025","28","96.6","0.0","0","0.0","4","0.3","16.7","0.14","4","100.0","35","2.9","17.9","1.25","8.75","8.75","35","8.75","6","1.50","0","0.0","0","0","0","0","2","14.3","0","","1","0.036","0","","4","100.0","2","50.0","1","1","100.0","0","103.1","17.4","2.7","","","100.0","","0.27","0.6","7.5","5.9","0.5","0.21","5.9"
"17","Oronde Gadsden","LAC","TE","15","2025","27","87.1","6.0","30","14.0","5","0.3","20.8","0.19","4","80.0","32","2.1","19.6","1.19","6.40","8.00","12","3.00","3","0.75","0","0.0","1","0","0","0","3","21.4","0","","1","0.037","0","","5","100.0","0","","2","1","50.0","0","93.3","20.8","-0.6","","","100.0","","0.27","0.5","7.2","9.7","0.6","0.36","9.7"
"18","Johnny Mundt","JAX","TE","16","2025","23","92.0","8.7","52","23.6","6","0.4","25.0","0.26","3","50.0","32","2.0","12.6","1.39","5.33","10.67","24","8.00","1","0.33","0","0.0","0","0","0","0","2","12.5","0","","1","0.043","1","16.7","5","83.3","0","","2","0","0.0","0","66.0","25.0","-2.4","","","100.0","","0.27","0.4","6.2","9.2","0.6","0.40","9.2"
"19","Elijah Higgins","ARZ","TE","17","2025","41","95.3","2.4","17","4.3","7","0.4","17.1","0.17","6","85.7","31","1.8","11.1","0.76","4.43","5.17","20","3.33","11","1.83","0","0.0","0","0","0","0","5","20.0","2","0.33","1","0.024","0","","6","85.7","2","28.6","2","2","100.0","0","45.5","20.6","-2.1","","","100.0","","0.22","0.5","9.1","10.0","0.6","0.24","10.0"
