"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Trevor Lawrence","JAX","QB","17","2025","30","29","17","58.6","258","15.2","8.90","5","2","13","98.9","0","","0","9.24","1","7","0","-2.7","10.3","277","20.7","6","55.0","66.7","82.8","51.7","62.1","31.0","6.9","3.4","8","3.4","14","2.16","2.09","","2.7","0","10","33.3","","6.99","","","0","2","0","0.97","0.97","1.7","29.0","30"
"2","Jalen Hurts","PHI","QB","16","2025","42","42","25","59.5","245","15.3","5.83","8","2","16","95.7","0","","0","7.50","0","0","0","-8.3","6.9","284","11.9","5","34.7","68.3","88.1","47.6","73.8","19.0","2.4","7.1","3","7.1","23","1.96","1.72","","","0","17","40.5","","16.64","","2.4","1","0","0","0.92","0.92","2.4","38.8","42"
"3","Lamar Jackson","BLT","QB","13","2025","33","30","15","50.0","222","17.1","7.40","6","1","12","100.3","2","6.1","27","8.44","1","6","1","1.9","9.5","238","10.0","3","55.4","72.0","60.0","46.7","60.0","20.0","","","9","10.0","31","2.49","2.14","2.7","4.5","0","16","48.5","12.5","18.40","3.3","3.0","3","2","0","1.17","1.17","3.0","38.5","33"
"4","Jared Goff","DET","QB","17","2025","35","33","14","42.4","158","9.3","4.79","3","0","11","87.7","2","5.7","16","5.77","0","0","0","-20.8","5.5","142","","0","74.1","57.7","66.7","45.5","48.5","27.3","","","3","3.0","6","1.93","2.34","2.2","","0","8","22.9","25.0","0.82","","2.9","2","5","0","0.52","0.52","1.1","18.3","35"
"5","Josh Allen","BUF","QB","17","2025","30","26","14","53.8","150","8.8","5.77","3","1","10","93.4","3","10.0","14","5.21","1","40","1","-7.9","8.5","213","19.2","5","44.7","64.0","73.1","53.8","76.9","19.2","3.8","3.8","6","7.7","19","2.66","2.48","2.3","3.4","1","14","46.7","21.4","15.47","","10.0","1","0","0","0.90","0.90","1.6","27.0","30"
"6","Dak Prescott","DAL","QB","17","2025","30","30","17","56.7","149","8.8","4.97","4","0","11","109.6","0","","0","7.63","0","0","0","-12.4","4.8","130","","0","53.7","66.7","76.7","56.7","76.7","13.3","","","6","3.3","3","2.10","1.98","","","0","10","33.3","","7.03","3.3","","1","2","0","0.73","0.73","1.3","22.0","30"
"7","Caleb Williams","CHI","QB","17","2025","37","34","15","44.1","140","8.2","4.12","7","1","13","83.3","1","2.7","2","6.66","2","9","0","-13.4","9.8","275","8.8","3","62.1","57.1","61.8","41.2","47.1","26.5","","5.9","14","2.9","8","2.79","2.33","4.5","4.5","0","18","48.6","5.6","13.61","","2.7","6","0","0","0.91","0.91","2.0","33.5","37"
"8","Matthew Stafford","LA","QB","17","2025","34","33","22","66.7","133","7.8","4.03","15","0","19","114.0","1","2.9","5","12.59","0","0","0","-7.1","6.7","220","6.1","2","30.8","69.7","90.9","51.5","75.8","21.2","9.1","","20","3.0","4","2.03","2.16","2.0","","0","10","29.4","10.0","5.10","3.0","20.6","0","0","0","1.92","1.92","3.8","65.3","34"
"9","Geno Smith","LV","QB","15","2025","20","16","10","62.5","121","8.1","7.56","3","0","7","125.3","4","20.0","42","6.95","0","0","0","24.8","8.3","83","12.5","2","38.0","100.0","50.0","37.5","62.5","","6.3","6.3","2","","0","2.31","1.83","2.5","","0","15","75.0","26.7","51.02","6.3","","4","2","0","0.84","0.84","1.1","16.8","20"
"10","Justin Fields","NYJ","QB","9","2025","16","12","8","66.7","115","12.8","9.58","6","0","7","137.2","3","18.8","23","14.13","1","43","1","16.3","7.2","79","8.3","1","52.2","90.0","66.7","66.7","83.3","","16.7","","3","8.3","6","2.83","2.26","3.1","6.8","0","14","87.5","21.4","58.28","","","1","0","0","2.43","2.43","4.3","38.9","16"
"11","Justin Herbert","LAC","QB","16","2025","20","15","9","60.0","101","6.3","6.73","2","0","5","119.7","3","15.0","14","7.06","2","42","1","5.2","7.9","111","13.3","2","37.6","78.6","86.7","46.7","73.3","20.0","13.3","","1","13.3","30","2.06","2.00","2.5","3.8","1","11","55.0","27.3","35.79","","5.0","0","1","0","1.11","1.11","1.4","22.2","20"
"12","Sam Darnold","SEA","QB","17","2025","13","13","8","61.5","100","5.9","7.69","3","2","8","85.4","0","","0","5.38","0","0","0","4.6","11.1","122","7.7","1","16.0","72.7","61.5","53.8","69.2","15.4","7.7","7.7","5","","0","2.10","1.70","","","0","5","38.5","","12.16","","","1","1","0","1.08","1.08","0.8","14.0","13"
"13","Bo Nix","DEN","QB","17","2025","24","23","14","60.9","98","5.8","4.26","6","1","10","92.0","0","","0","7.52","1","3","0","-10.0","5.7","120","8.7","2","81.6","66.7","78.3","56.5","65.2","26.1","4.3","4.3","6","","0","2.18","2.28","","0.4","0","9","37.5","","11.00","","20.8","2","0","0","1.13","1.13","1.6","27.2","24"
"14","Patrick Mahomes","KC","QB","14","2025","20","19","13","68.4","85","6.1","4.47","7","2","9","77.7","1","5.0","11","6.20","0","0","0","-3.5","5.6","106","5.3","1","45.9","73.7","78.9","63.2","78.9","21.1","","5.3","9","5.3","4","2.22","2.14","2.7","","0","10","50.0","10.0","23.03","","5.0","0","0","0","1.47","1.47","2.1","29.4","20"
"15","Marcus Mariota","WAS","QB","11","2025","15","15","8","53.3","84","7.6","5.60","2","0","6","109.4","0","","0","8.27","0","0","0","17.5","11.2","145","20.0","3","27.4","84.6","86.7","46.7","73.3","6.7","20.0","6.7","3","20.0","51","2.07","2.20","","","0","5","33.3","","7.49","","6.7","1","1","0","0.76","0.76","1.0","11.4","15"
"16","Drake Maye","NE","QB","17","2025","26","23","10","43.5","83","4.9","3.61","4","0","7","92.9","2","7.7","4","6.36","1","6","1","-18.6","5.8","111","4.3","1","63.9","57.9","69.6","39.1","52.2","30.4","13.0","4.3","7","4.3","1","2.16","1.85","4.3","4.5","1","15","57.7","13.3","33.49","8.7","","2","2","0","1.00","1.00","1.5","26.1","26"
"17","Jordan Love","GB","QB","15","2025","15","15","11","73.3","75","5.0","5.00","8","0","9","123.6","0","","0","15.67","0","0","0","9.7","3.3","46","6.7","1","60.0","92.9","86.7","66.7","86.7","6.7","6.7","","4","13.3","-3","1.96","2.28","","","0","4","26.7","","2.78","6.7","20.0","1","0","0","2.33","2.33","2.3","35.0","15"
"18","Aaron Rodgers","PIT","QB","16","2025","16","15","7","46.7","67","4.2","4.47","4","0","5","99.2","0","","0","9.80","1","1","1","-10.6","4.8","63","","0","91.0","69.2","73.3","66.7","73.3","6.7","","","5","13.3","20","1.90","2.60","","5.5","0","4","25.0","","3.57","","18.8","1","1","0","1.55","1.55","1.5","24.8","16"
"19","Shedeur Sanders","CLV","QB","8","2025","10","9","3","33.3","67","8.4","7.44","1","0","3","97.9","1","10.0","14","7.30","0","0","0","-22.9","19.9","179","44.4","4","11.9","33.3","66.7","33.3","44.4","44.4","11.1","","4","","0","2.69","1.76","4.3","","0","5","50.0","20.0","17.18","","","0","0","0","0.67","0.67","0.8","6.7","10"
"20","Daniel Jones","IND","QB","13","2025","18","16","5","31.3","65","5.0","4.06","3","0","5","84.6","1","5.6","10","6.76","1","3","1","-28.1","5.9","83","","0","78.5","50.0","81.3","43.8","50.0","37.5","","","3","12.5","11","2.08","1.98","1.8","4.5","0","11","61.1","9.1","38.11","","","0","2","0","1.16","1.16","1.6","20.9","18"
"21","Jacoby Brissett","ARZ","QB","14","2025","11","11","8","72.7","52","3.7","4.73","2","0","4","122.0","0","","0","8.36","0","0","0","8.1","9.2","92","9.1","1","9.6","80.0","81.8","54.5","72.7","18.2","","","5","","0","2.27","2.18","","","0","6","54.5","","25.26","","","1","0","0","0.92","0.92","0.7","10.1","11"
"22","Baker Mayfield","TB","QB","17","2025","10","10","6","60.0","51","3.0","5.10","2","0","4","112.9","0","","0","9.10","0","0","0","-14.0","7.6","76","","0","45.1","60.0","90.0","60.0","60.0","40.0","10.0","10.0","6","","0","2.16","1.96","","","0","5","50.0","","22.66","","20.0","0","0","0","1.00","1.00","0.6","10.0","10"
"23","Jaxson Dart","NYG","QB","14","2025","17","15","5","33.3","44","3.1","2.93","1","1","3","36.8","1","5.9","8","0.69","1","2","1","-28.1","10.6","159","13.3","2","50.0","40.0","66.7","46.7","60.0","33.3","","6.7","4","6.7","14","2.53","2.23","2.0","5.0","0","6","35.3","16.7","5.49","6.7","5.9","0","0","0","0.64","0.64","0.8","11.0","17"
