"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Dak Prescott","DAL","QB","17","2025","24","20","14","70.0","163","9.6","8.15","0","0","13","94.4","3","12.5","17","6.35","1","14","0","10.3","7.7","146","","0","26.4","84.2","65.0","55.0","80.0","15.0","","5.0","0","10.0","9","2.67","2.65","3.5","4.6","1","10","41.7","30.0","11.62","","","0","1","0","0.33","0.33","0.5","7.9","24"
"2","Joe Flacco","CIN, CLV","QB","13","2025","14","14","10","71.4","112","8.6","8.00","0","0","9","94.9","0","","0","8.00","0","0","0","1.3","5.9","82","","0","56.3","78.6","92.9","85.7","92.9","7.1","","","0","7.1","12","2.31","2.17","","","0","3","21.4","","-8.45","","","0","0","0","0.32","0.32","0.3","4.5","14"
"3","Cam Ward","TEN","QB","17","2025","8","8","6","75.0","105","6.2","13.13","0","0","5","116.7","0","","0","13.13","0","0","0","9.4","11.8","94","12.5","1","45.7","75.0","75.0","50.0","75.0","25.0","12.5","","0","","0","3.30","3.00","","","0","3","37.5","","-9.51","12.5","","0","0","0","0.53","0.53","0.2","4.2","8"
"4","Tua Tagovailoa","MIA","QB","14","2025","13","12","10","83.3","97","6.9","8.08","1","0","6","128.1","1","7.7","1","8.92","0","0","0","14.6","6.1","73","","0","48.5","91.7","75.0","50.0","91.7","","","","0","8.3","5","2.33","2.23","4.5","","0","3","23.1","33.3","-4.79","","","0","0","0","0.61","0.61","0.6","7.9","13"
"5","Drake Maye","NE","QB","17","2025","13","12","8","66.7","81","4.8","6.75","0","0","6","85.8","0","","0","6.75","1","11","0","4.0","9.1","109","8.3","1","48.1","75.0","66.7","50.0","75.0","16.7","8.3","","0","8.3","12","3.21","2.54","","5.1","0","7","53.8","","11.92","8.3","","0","0","0","0.33","0.33","0.3","4.3","13"
"6","Jalen Hurts","PHI","QB","16","2025","10","10","5","50.0","79","4.9","7.90","1","0","3","110.0","0","","0","9.90","0","0","0","8.3","11.9","95","30.0","3","32.9","75.0","50.0","50.0","60.0","20.0","","10.0","0","10.0","1","3.58","3.53","","","0","3","30.0","","-21.84","10.0","10.0","2","0","0","0.72","0.72","0.4","7.2","10"
"7","Sam Darnold","SEA","QB","17","2025","12","11","9","81.8","75","4.4","6.82","0","0","5","95.1","1","8.3","8","5.58","0","0","0","17.2","4.0","36","","0","52.0","100.0","63.6","54.5","81.8","","","","0","","0","2.09","2.07","2.5","","0","3","25.0","33.3","1.03","9.1","","1","1","0","0.25","0.25","0.2","3.0","12"
"8","Aaron Rodgers","PIT","QB","16","2025","23","20","8","40.0","75","4.7","3.75","0","1","5","30.2","2","8.7","16","0.64","1","10","0","-21.4","8.7","162","10.0","2","52.0","50.0","70.0","50.0","65.0","25.0","5.0","5.0","1","5.0","6","2.45","2.48","3.5","5.3","0","8","34.8","25.0","6.73","15.0","","1","0","0","0.13","0.13","0.2","3.0","23"
"9","Jordan Love","GB","QB","15","2025","10","8","5","62.5","74","4.9","9.25","1","0","4","132.3","1","10.0","6","9.78","1","7","0","10.7","13.1","105","12.5","1","4.1","75.0","50.0","62.5","75.0","25.0","25.0","","1","12.5","1","3.08","2.22","4.5","4.9","0","5","50.0","20.0","15.50","","","0","0","0","0.77","0.77","0.5","7.7","10"
"10","Jared Goff","DET","QB","17","2025","7","6","4","66.7","71","4.2","11.83","0","0","4","106.9","1","14.3","10","8.71","0","0","0","20.2","13.3","80","16.7","1","40.8","83.3","83.3","50.0","83.3","","","","0","16.7","12","2.72","3.00","3.6","","0","1","14.3","100.0","-17.38","","","0","0","0","0.41","0.41","0.2","2.8","7"
"11","J.J. McCarthy","MIN","QB","10","2025","5","5","5","100.0","59","5.9","11.80","1","0","2","155.4","0","","0","15.80","0","0","0","28.4","9.2","46","20.0","1","22.0","100.0","80.0","40.0","100.0","","20.0","","0","","0","2.56","3.20","","","0","1","20.0","","-14.24","","","0","0","0","1.27","1.27","0.6","6.4","5"
"12","Joe Burrow","CIN","QB","8","2025","10","9","4","44.4","52","6.5","5.78","0","0","3","63.2","1","10.0","5","4.70","0","0","0","-4.8","8.8","79","22.2","2","57.7","66.7","44.4","44.4","77.8","22.2","","","0","22.2","-2","3.21","2.46","4.4","","1","7","70.0","14.3","29.08","22.2","","0","0","0","0.21","0.21","0.3","2.1","10"
"13","Shedeur Sanders","CLV","QB","8","2025","7","5","3","60.0","51","6.4","10.20","0","0","1","94.6","1","14.3","11","6.67","1","13","0","7.7","12.0","48","20.0","1","27.5","75.0","40.0","60.0","60.0","20.0","20.0","","0","","0","4.52","3.30","3.2","6.2","0","4","57.1","25.0","8.54","","","1","0","0","0.48","0.48","0.4","3.3","7"
"14","Bo Nix","DEN","QB","17","2025","5","4","2","50.0","48","2.8","12.00","0","1","2","54.2","1","20.0","7","-0.80","0","0","0","-5.7","17.5","70","75.0","3","8.3","50.0","50.0","25.0","50.0","50.0","","","0","","0","4.08","2.83","3.4","","0","3","60.0","33.3","11.70","","","0","0","0","0.18","0.18","0.1","0.9","5"
"15","Dillon Gabriel","CLV","QB","10","2025","12","7","6","85.7","46","4.6","6.57","0","0","2","94.0","1","8.3","6","5.00","4","35","0","8.3","5.9","41","","0","17.4","85.7","71.4","42.9","85.7","14.3","","","0","","0","2.40","2.56","2.3","5.0","0","5","41.7","20.0","23.30","28.6","","0","0","0","0.45","0.45","0.5","5.3","12"
"16","Patrick Mahomes","KC","QB","14","2025","14","12","5","41.7","44","3.1","3.67","0","0","2","52.1","1","7.1","2","3.23","1","6","0","-2.7","16.9","169","25.0","3","25.0","60.0","66.7","58.3","58.3","25.0","","8.3","1","8.3","15","2.98","2.84","9.0","5.1","1","5","35.7","20.0","0.23","","7.1","1","1","0","0.17","0.17","0.2","2.4","14"
"17","Baker Mayfield","TB","QB","17","2025","9","7","4","57.1","43","2.5","6.14","1","0","2","114.9","1","11.1","11","6.50","1","16","0","-5.0","8.8","53","14.3","1","62.8","66.7","57.1","28.6","57.1","28.6","","","1","","0","3.14","2.65","3.4","4.3","0","4","44.4","25.0","9.99","","","1","0","0","0.81","0.81","0.4","7.3","9"
"18","C.J. Stroud","HST","QB","14","2025","13","11","3","27.3","39","2.8","3.55","0","0","1","41.9","0","","0","3.55","2","12","0","-37.4","8.4","76","9.1","1","89.7","33.3","72.7","45.5","54.5","27.3","","","0","","0","2.52","2.44","","3.9","0","7","53.8","","25.48","","","2","0","0","0.21","0.21","0.2","2.8","13"
"19","Tyler Shough","NO","QB","11","2025","8","6","4","66.7","39","3.5","6.50","0","0","3","84.7","2","25.0","7","4.00","0","0","0","-2.0","9.0","54","","0","15.4","66.7","50.0","66.7","66.7","33.3","","","0","","0","3.05","2.35","2.8","","1","4","50.0","50.0","17.98","","","0","0","0","0.20","0.20","0.1","1.6","8"
"20","Andy Dalton","CAR","QB","4","2025","4","3","2","66.7","38","9.5","12.67","0","0","2","109.7","1","25.0","9","7.25","0","0","0","8.5","15.7","47","","0","15.8","66.7","100.0","66.7","66.7","33.3","33.3","","0","","0","2.57","2.43","2.0","","0","3","75.0","33.3","49.23","","","0","0","0","0.38","0.38","0.4","1.5","4"
"21","Justin Herbert","LAC","QB","16","2025","6","6","4","66.7","38","2.4","6.33","0","0","2","84.0","0","","0","6.33","0","0","0","4.2","4.8","29","","0","52.6","83.3","83.3","50.0","100.0","","","","0","16.7","4","2.33","2.50","","","0","1","16.7","","-13.66","","","0","0","0","0.25","0.25","0.1","1.5","6"
"22","Lamar Jackson","BLT","QB","13","2025","4","2","2","100.0","34","2.6","17.00","1","0","2","158.3","1","25.0","4","16.67","1","3","0","42.0","16.0","32","","0","5.9","100.0","100.0","100.0","100.0","","50.0","","1","","0","2.35","2.67","4.1","6.2","1","3","75.0","33.3","59.69","","","0","0","0","1.42","1.42","0.4","5.7","4"
"23","Geno Smith","LV","QB","15","2025","6","6","4","66.7","33","2.2","5.50","0","0","2","80.6","0","","0","5.50","0","0","0","2.9","6.2","31","","0","57.6","80.0","50.0","66.7","83.3","","","","0","","0","3.73","2.60","","","0","2","33.3","","-21.15","","","1","0","0","0.22","0.22","0.1","1.3","6"
"24","Carson Wentz","MIN","QB","5","2025","15","8","4","50.0","31","6.2","3.88","0","0","1","59.9","4","26.7","33","-0.17","3","29","0","13.1","9.0","54","","0","6.5","83.3","62.5","25.0","62.5","12.5","","12.5","0","12.5","6","4.01","2.86","3.0","5.7","1","10","66.7","40.0","35.04","","","2","0","0","0.28","0.28","0.8","4.1","15"
"25","Trevor Lawrence","JAX","QB","17","2025","5","3","3","100.0","31","1.8","10.33","0","0","1","109.7","0","","0","10.33","2","9","0","31.6","10.0","30","33.3","1","3.2","100.0","100.0","66.7","100.0","","","","0","","0","2.70","2.80","","6.0","0","3","60.0","","38.01","","","0","0","0","0.43","0.43","0.1","2.1","5"
"26","Jacoby Brissett","ARZ","QB","14","2025","7","5","3","60.0","27","1.9","5.40","0","0","1","74.6","1","14.3","3","4.00","1","15","0","2.7","8.0","40","20.0","1","81.5","75.0","60.0","40.0","80.0","","","","1","","0","2.28","2.95","3.7","5.8","1","4","57.1","25.0","36.14","20.0","","0","0","0","0.23","0.23","0.1","1.6","7"
"27","Brock Purdy","SF","QB","9","2025","2","2","2","100.0","23","2.6","11.50","1","0","2","154.2","0","","0","21.50","0","0","0","35.6","12.0","24","","0","-4.3","100.0","","100.0","100.0","","","","1","","0","4.30","3.70","","","0","1","50.0","","-14.25","","","0","0","0","2.46","2.46","0.5","4.9","2"
"28","Philip Rivers","IND","QB","3","2025","3","3","1","33.3","19","6.3","6.33","0","0","1","56.3","0","","0","6.33","0","0","0","-4.5","10.3","31","33.3","1","94.7","66.7","33.3","33.3","66.7","33.3","","","0","33.3","4","2.43","","","","0","0","","","-32.06","33.3","","0","0","0","0.25","0.25","0.3","0.8","3"
"29","Mason Rudolph","PIT","QB","5","2025","2","2","2","100.0","19","3.8","9.50","0","0","1","106.3","0","","0","9.50","0","0","0","26.1","8.5","17","","0","10.5","100.0","100.0","100.0","100.0","","","","0","","0","2.35","2.80","","","0","1","50.0","","19.38","","","0","0","0","0.38","0.38","0.2","0.8","2"
"30","Daniel Jones","IND","QB","13","2025","2","1","1","100.0","16","1.2","16.00","0","0","1","118.8","1","50.0","0","8.00","0","0","0","35.9","10.0","10","","0","37.5","100.0","100.0","100.0","100.0","","","","0","","0","1.40","3.60","7.6","","0","1","50.0","100.0","42.89","","","0","0","0","0.32","0.32","0.0","0.6","2"
"31","Cooper Rush","BLT","QB","4","2025","2","2","2","100.0","16","4.0","8.00","0","0","1","100.0","0","","0","8.00","0","0","0","11.6","1.0","2","","0","87.5","100.0","50.0","50.0","100.0","","","","0","","0","2.80","2.90","","","0","1","50.0","","11.62","","","0","0","0","0.32","0.32","0.2","0.6","2"
"32","Kenny Pickett","LV","QB","6","2025","5","3","1","33.3","15","2.5","5.00","0","0","1","50.7","1","20.0","5","2.50","1","6","0","23.4","6.3","19","","0","20.0","100.0","100.0","66.7","100.0","","","","0","66.7","7","2.07","2.27","2.3","5.1","0","3","60.0","33.3","44.56","","","0","0","0","0.24","0.24","0.2","1.2","5"
"33","Brady Cook","NYJ","QB","5","2025","2","2","1","50.0","14","2.8","7.00","0","0","1","72.9","0","","0","7.00","0","0","0","-23.4","7.5","15","","0","35.7","50.0","50.0","","50.0","50.0","","","0","","0","2.80","","","","0","0","","","-38.38","","","0","0","0","0.28","0.28","0.1","0.6","2"
"34","Davis Mills","HST","QB","6","2025","3","3","2","66.7","14","2.3","4.67","0","0","0","77.1","0","","0","4.67","0","0","0","-2.0","10.7","32","33.3","1","14.3","66.7","66.7","66.7","66.7","33.3","","","0","","0","2.87","2.10","","","0","1","33.3","","-6.20","","","0","0","0","0.19","0.19","0.1","0.6","3"
"35","Spencer Rattler","NO","QB","9","2025","6","6","1","16.7","11","1.2","1.83","0","0","1","39.6","0","","0","1.83","0","0","0","-17.3","16.4","82","33.3","2","36.4","40.0","83.3","16.7","50.0","33.3","16.7","","2","16.7","15","2.62","2.75","","","0","2","33.3","","-1.88","","","1","0","0","0.07","0.07","0.0","0.4","6"
"36","Matthew Stafford","LA","QB","17","2025","8","8","1","12.5","11","0.6","1.38","0","0","1","39.6","0","","0","1.38","0","0","0","-31.5","25.7","180","50.0","4","9.1","14.3","75.0","12.5","25.0","62.5","","","2","","0","2.94","2.70","","","0","2","25.0","","-15.75","","","1","0","0","0.06","0.06","0.0","0.4","8"
"37","Kirk Cousins","ATL","QB","10","2025","8","7","2","28.6","11","1.1","1.57","0","0","0","39.6","1","12.5","8","0.38","0","0","0","-15.2","12.5","75","14.3","1","81.8","50.0","57.1","42.9","57.1","28.6","","","0","14.3","16","3.06","2.88","3.5","","0","4","50.0","25.0","12.54","","","1","0","0","0.06","0.06","0.0","0.4","8"
"38","Jake Browning","CIN","QB","5","2025","6","5","3","60.0","11","2.2","2.20","0","0","0","64.6","1","16.7","7","0.67","0","0","0","-12.8","0.3","1","","0","163.6","75.0","60.0","60.0","60.0","20.0","","","0","","0","3.24","2.35","2.8","","0","4","66.7","25.0","28.36","20.0","","1","0","0","0.07","0.07","0.1","0.4","6"
"39","Chris Oladokun","KC","QB","3","2025","1","1","1","100.0","11","3.7","11.00","0","0","1","112.5","0","","0","11.00","0","0","0","12.6","2.0","2","","0","81.8","100.0","","100.0","100.0","","","","0","","0","4.00","3.20","","","0","1","100.0","","40.92","","","0","0","0","0.44","0.44","0.1","0.4","1"
"40","Michael Penix","ATL","QB","9","2025","5","3","1","33.3","8","0.9","2.67","0","0","0","42.4","1","20.0","4","1.00","1","12","0","-19.5","21.0","63","66.7","2","25.0","33.3","66.7","66.7","66.7","33.3","33.3","","0","","0","3.43","2.70","4.7","5.1","0","3","60.0","33.3","30.42","","","0","0","0","0.30","0.30","0.2","1.5","5"
"41","Marcus Mariota","WAS","QB","11","2025","3","1","1","100.0","-2","-0.2","-2.00","0","0","0","79.2","1","33.3","6","-4.00","1","6","0","10.5","","0","","0","100.0","100.0","100.0","100.0","100.0","","","","0","","0","1.60","2.80","4.0","5.4","1","2","66.7","50.0","60.77","","","0","0","0","0.17","0.17","0.0","0.5","3"
"42","Jameis Winston","NYG","QB","3","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-63.6","11.0","11","","0","","","100.0","","","100.0","","","0","","0","2.10","","","","0","0","","","-26.31","","","0","0","0","0.00","0.00","","0.0","1"
"43","Mac Jones","SF","QB","11","2025","3","2","0","","0","0.0","","0","0","0","39.6","1","33.3","9","-3.00","0","0","0","-82.7","3.0","3","","0","","","50.0","50.0","50.0","","","","0","","0","2.25","2.50","3.1","","0","2","66.7","50.0","47.41","","","1","0","0","0.00","0.00","","0.0","3"
"44","Jaxson Dart","NYG","QB","14","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","","","0","","0","","","","","","","","","0","","0","3.40","2.40","","","0","1","100.0","","51.27","","","1","0","0","0.00","0.00","","0.0","1"
"45","Justin Fields","NYJ","QB","9","2025","2","1","0","","0","0.0","","0","0","0","39.6","0","","0","","1","27","0","-68.4","9.0","9","","0","","","","","","100.0","","","0","","0","4.90","2.50","","5.9","0","2","100.0","","62.70","","","0","0","0","1.35","1.35","0.3","2.7","2"
"46","Caleb Williams","CHI","QB","17","2025","1","0","0","","0","0.0","","0","0","0","","0","","0","","1","13","0","","","0","","0","","","","","","","","","0","","0","","2.50","","3.9","0","1","100.0","","100.00","","","0","0","0","1.30","1.30","0.1","1.3","1"
"47","Bryce Young","CAR","QB","16","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-64.1","11.5","23","","0","","","100.0","","","","","","0","","0","2.00","","","","0","0","","","-24.58","","","0","0","0","0.00","0.00","","0.0","2"
"48","Trey Lance","LAC","QB","4","2025","1","0","0","","0","0.0","","0","0","0","","0","","0","","1","15","0","","","0","","0","","","","","","","","","0","","0","","2.00","","4.8","0","1","100.0","","100.00","","","0","0","0","1.50","1.50","0.4","1.5","1"
"49","Aidan O'Connell","LV","QB","1","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-58.4","8.5","17","","0","","","50.0","","","50.0","","","0","","0","2.45","2.30","","","0","2","100.0","","67.66","","","0","0","0","0.00","0.00","","0.0","2"
"50","Quinn Ewers","MIA","QB","4","2025","2","1","0","","0","0.0","","0","0","0","39.6","1","50.0","10","-5.00","0","0","0","39.5","15.0","15","","0","","100.0","100.0","","100.0","","","","0","100.0","15","2.80","2.30","3.4","","0","1","50.0","100.0","30.81","","","0","0","0","0.00","0.00","","0.0","2"
