"Team Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","",""
"Rank","Name","G","Season","Location","Team Name","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 ATT","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %"
"1","Philadelphia Eagles","17","2025","Philadelphia","Eagles","46","332","19.5","7.22","4","0","24","8.7","73","22.0","3","8.7","67.4","19.6","9","0.20","63","1.37","19.0","0.00","0","","0","0","","","0","","0","0","",""
"2","New York Jets","16","2025","New York","Jets","37","331","20.7","8.95","1","0","12","16.2","142","42.9","0","2.7","67.6","18.9","4","0.11","46","1.24","13.9","0.00","0","","0","0","","","0","","0","0","",""
"3","Dallas Cowboys","17","2025","Dallas","Cowboys","42","328","19.3","7.81","2","1","18","11.9","105","32.0","1","4.8","64.3","11.9","2","0.05","47","1.12","14.3","0.00","0","","0","0","","","0","","0","0","",""
"4","Atlanta Falcons","14","2025","Atlanta","Falcons","40","328","23.4","8.20","3","1","19","15.0","130","39.6","3","7.5","60.0","15.0","8","0.20","41","1.03","12.5","0.00","0","","0","0","","","0","","0","0","",""
"5","Miami Dolphins","15","2025","Miami","Dolphins","38","324","21.6","8.53","2","0","13","10.5","125","38.6","1","5.3","68.4","10.5","5","0.13","33","0.87","10.2","0.00","0","","0","0","","","0","","0","0","",""
"6","Houston Texans","16","2025","Houston","Texans","35","323","20.2","9.23","0","0","15","20.0","140","43.3","0","","62.9","22.9","5","0.14","78","2.23","24.1","0.00","0","","0","0","","","0","","0","0","",""
"7","Washington Commanders","17","2025","Washington","Commanders","35","314","18.5","8.97","0","1","16","17.1","132","42.0","0","","68.6","17.1","5","0.14","89","2.54","28.3","0.00","0","","0","0","","","0","","0","0","",""
"8","Tennessee Titans","16","2025","Tennessee","Titans","40","308","19.3","7.70","3","0","15","10.0","91","29.5","1","7.5","62.5","15.0","3","0.08","43","1.08","14.0","0.00","0","","0","0","","","0","","0","0","",""
"9","Cincinnati Bengals","17","2025","Cincinnati","Bengals","39","305","17.9","7.82","2","0","16","7.7","73","23.9","0","5.1","64.1","17.9","6","0.15","66","1.69","21.6","0.00","0","","0","0","","","0","","0","0","",""
"10","Los Angeles Chargers","17","2025","Los Angeles","Chargers","39","293","17.2","7.51","2","1","13","7.7","52","17.7","0","5.1","66.7","15.4","7","0.18","42","1.08","14.3","0.00","0","","0","0","","","0","","0","0","",""
