"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Justin Herbert","LAC","QB","16","2025","49","439","27.4","8.96","1","1","20","20.4","241","54.9","100.0","2.0","65.3","18.4","5","0.10","81","1.65","18.5","0.00","0","","0","0","","","0","","0","0","","","3.1","49.9","34.8","2.2"
"2","Drake Maye","NE","QB","17","2025","62","429","25.2","6.92","3","0","27","11.3","130","30.3","100.0","4.8","59.7","25.8","11","0.18","66","1.06","15.4","0.00","0","","0","0","","","0","","0","0","","","3.6","60.9","35.6","2.1"
"3","Josh Allen","BUF","QB","17","2025","48","426","25.1","8.88","3","1","17","16.7","202","47.4","100.0","6.3","70.8","16.7","9","0.19","90","1.88","21.1","0.00","0","","0","0","","","0","","0","0","","","3.6","60.6","30.3","1.8"
"4","Patrick Mahomes","KC","QB","14","2025","52","420","30.0","8.08","3","0","25","11.5","98","23.3","0.0","5.8","67.3","13.5","4","0.08","63","1.21","15.0","0.00","0","","0","0","","","0","","0","0","","","4.3","60.0","27.7","2.0"
"5","Baker Mayfield","TB","QB","17","2025","42","373","21.9","8.88","1","0","25","21.4","185","49.6","100.0","2.4","69.0","16.7","9","0.21","69","1.64","18.5","0.00","0","","0","0","","","0","","0","0","","","2.5","43.3","23.4","1.4"
"6","Caleb Williams","CHI","QB","17","2025","43","363","21.4","8.44","2","0","21","9.3","84","23.1","0.0","4.7","79.1","18.6","5","0.12","25","0.58","6.9","0.00","0","","0","0","","","0","","0","0","","","2.8","48.3","27.4","1.6"
"7","Trevor Lawrence","JAX","QB","17","2025","42","309","18.2","7.36","4","0","19","11.9","91","29.4","100.0","9.5","61.9","16.7","8","0.19","72","1.71","23.3","0.00","0","","0","0","","","0","","0","0","","","3.2","54.9","28.1","1.7"
"8","Bo Nix","DEN","QB","17","2025","36","307","18.1","8.53","3","0","11","11.1","86","28.0","0.0","8.3","63.9","11.1","6","0.17","18","0.50","5.9","0.00","0","","0","0","","","0","","0","0","","","2.9","48.7","18.3","1.1"
"9","Jaxson Dart","NYG","QB","14","2025","38","290","20.7","7.63","2","0","20","13.2","104","35.9","50.0","5.3","78.9","18.4","4","0.11","51","1.34","17.6","0.00","0","","0","0","","","0","","0","0","","","2.9","41.0","19.7","1.4"
"10","Jalen Hurts","PHI","QB","16","2025","40","266","16.6","6.65","2","1","15","7.5","60","22.6","100.0","5.0","60.0","15.0","1","0.03","32","0.80","12.0","0.00","0","","0","0","","","0","","0","0","","","2.4","38.6","24.7","1.5"
