"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Isaiah Bond","CLV","WR","16","2025","5","100.0","22.0","44","104.8","2","0.1","50.0","0.40","2","100.0","49","3.1","96.1","9.80","24.50","24.50","5","2.50","2","1.00","0","0.0","0","0","0","1","2","66.7","0","","1","0.200","0","","2","100.0","0","","1","1","100.0","0","118.8","66.7","13.6","","100.0","","","1.38","0.4","6.9","4.6","0.3","0.93","4.6"
"2","Jake Ferguson","DAL","TE","17","2025","15","100.0","12.3","37","39.4","3","0.2","25.0","0.20","3","100.0","44","2.6","37.6","2.93","14.67","14.67","7","2.33","2","0.67","0","0.0","0","0","0","0","2","25.0","0","","3","0.200","0","","3","100.0","0","","1","1","100.0","0","118.8","27.3","5.6","","100.0","","","0.49","0.4","7.4","5.4","0.3","0.36","5.4"
"3","Matthew Golden","GB","WR","14","2025","3","100.0","29.0","29","96.7","1","0.1","50.0","0.33","1","100.0","31","2.2","100.0","10.33","31.00","31.00","2","2.00","","","0","0.0","0","0","0","1","0","0.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","19.6","","100.0","","","1.37","0.3","4.1","0.6","0.0","0.20","0.6"
"4","Pat Freiermuth","PIT","TE","17","2025","8","100.0","14.0","14","37.8","1","0.1","16.7","0.13","1","100.0","29","1.7","93.5","3.63","29.00","29.00","15","15.00","5","5.00","0","0.0","0","0","0","0","1","25.0","0","","1","0.125","0","","1","100.0","0","","0","0","0.0","0","118.8","16.7","18.7","","100.0","","","0.49","0.2","3.9","1.8","0.1","0.22","1.8"
"5","Ja'Marr Chase","CIN","WR","16","2025","15","100.0","4.5","18","23.4","4","0.3","28.6","0.27","3","75.0","27","1.7","27.6","1.80","6.75","9.00","12","4.00","7","2.33","0","0.0","0","0","0","0","3","30.0","0","","3","0.200","1","25.0","4","100.0","0","","0","0","0.0","0","92.7","30.8","0.8","","100.0","","","0.38","0.4","5.7","5.6","0.3","0.37","5.6"
"6","Cooper Kupp","SEA","WR","16","2025","12","100.0","2.0","6","16.7","3","0.2","27.3","0.25","3","100.0","26","1.6","34.7","2.17","8.67","8.67","20","6.67","13","4.33","0","0.0","1","0","0","0","3","42.9","0","","2","0.167","0","","3","100.0","1","33.3","1","1","100.0","0","102.8","33.3","2.9","","100.0","","","0.47","0.4","5.6","4.6","0.3","0.38","4.6"
"7","Jahan Dotson","PHI","WR","17","2025","6","100.0","18.5","37","59.7","2","0.1","33.3","0.33","1","50.0","24","1.4","96.0","4.00","12.00","24.00","4","4.00","","","0","0.0","0","0","0","1","2","66.7","0","","1","0.167","0","","1","50.0","0","","0","0","0.0","0","93.8","50.0","0.7","","100.0","","","0.57","0.2","3.4","3.6","0.2","0.60","3.6"
"8","Chig Okonkwo","TEN","TE","17","2025","4","100.0","17.0","17","40.5","1","0.1","25.0","0.25","1","100.0","23","1.4","32.9","5.75","23.00","23.00","6","6.00","2","2.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","118.8","25.0","11.3","","100.0","","","0.83","0.2","3.3","1.8","0.1","0.46","1.8"
"9","Brock Bowers","LV","TE","12","2025","7","100.0","5.5","11","31.4","2","0.2","40.0","0.29","2","100.0","23","1.9","100.0","3.29","11.50","11.50","12","6.00","3","1.50","0","0.0","0","0","0","0","2","40.0","0","","2","0.286","0","","2","100.0","1","50.0","0","0","0.0","0","114.6","40.0","4.7","","100.0","","","0.61","0.4","4.3","2.7","0.2","0.39","2.7"
"10","Jalen Coker","CAR","WR","11","2025","2","100.0","16.0","16","50.0","1","0.1","50.0","0.50","1","100.0","22","2.0","57.9","11.00","22.00","22.00","6","6.00","3","3.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","11.9","","100.0","","","1.60","0.3","3.2","1.8","0.2","0.89","1.8"
"11","Tyquan Thornton","KC","WR","14","2025","6","100.0","32.5","65","68.4","2","0.1","40.0","0.33","1","50.0","21","1.5","100.0","3.50","10.50","21.00","1","1.00","1","1.00","0","0.0","0","1","0","2","0","0.0","0","","1","0.167","0","","2","100.0","0","","2","1","50.0","0","87.5","40.0","-2.4","","100.0","","","0.52","0.2","3.1","5.9","0.4","0.98","5.9"
