"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Trey McBride","ARZ","TE","17","2025","48","94.1","6.1","67","21.6","11","0.6","27.5","0.23","11","100.0","120","7.1","45.8","2.50","10.91","10.91","53","4.82","20","1.82","0","0.0","0","0","0","1","9","40.9","2","0.18","4","0.083","0","","11","100.0","2","18.2","1","1","100.0","0","112.1","29.7","3.9","","100.0","","","0.48","1.4","23.0","18.7","1.1","0.39","18.7"
"2","Josh Downs","IND","WR","16","2025","40","97.6","8.4","92","29.7","11","0.7","28.9","0.28","10","90.9","106","6.6","39.4","2.65","9.64","10.60","19","1.90","11","1.10","0","0.0","1","0","0","1","7","26.9","1","0.10","6","0.150","0","","11","100.0","0","","4","3","75.0","2","106.8","30.6","2.1","","100.0","","","0.52","1.3","20.6","17.2","1.1","0.43","17.2"
"3","Juwan Johnson","NO","TE","17","2025","22","100.0","11.2","56","51.4","5","0.3","27.8","0.23","4","80.0","100","5.9","52.4","4.55","20.00","25.00","50","12.50","15","3.75","1","100.0","0","0","0","1","2","18.2","2","0.50","3","0.136","1","20.0","5","100.0","0","","1","1","100.0","0","158.3","29.4","11.4","","100.0","","","0.91","1.2","20.0","9.0","0.5","0.41","9.0"
"4","Rashee Rice","KC","WR","8","2025","18","94.7","7.6","53","44.5","7","0.9","36.8","0.39","5","71.4","90","11.3","63.8","5.00","12.86","18.00","50","10.00","26","5.20","0","0.0","0","0","0","0","6","46.2","2","0.40","3","0.167","0","","6","85.7","0","","1","0","0.0","0","113.7","38.9","5.7","","100.0","","","0.78","1.8","14.0","10.0","1.2","0.56","10.0"
"5","Brandin Cooks","BUF, NO","WR","15","2025","6","100.0","39.5","79","71.8","2","0.1","40.0","0.33","2","100.0","86","5.7","69.9","14.33","43.00","43.00","7","3.50","","","0","0.0","0","0","0","2","2","50.0","0","","2","0.333","0","","2","100.0","0","","1","1","100.0","1","118.8","40.0","29.3","","100.0","","","1.77","0.7","10.6","5.8","0.4","0.97","5.8"
"6","Amon-Ra St. Brown","DET","WR","17","2025","16","94.1","8.5","51","54.3","6","0.4","40.0","0.38","6","100.0","83","4.9","46.1","5.19","13.83","13.83","32","5.33","4","0.67","0","0.0","0","0","0","0","5","55.6","1","0.17","3","0.188","0","","6","100.0","0","","0","0","0.0","0","118.8","42.9","6.1","","100.0","","","0.89","0.8","14.3","9.2","0.5","0.58","9.2"
"7","Michael Wilson","ARZ","WR","17","2025","21","91.3","9.3","37","21.8","4","0.2","22.2","0.19","4","100.0","69","4.1","40.4","3.29","17.25","17.25","32","8.00","14","3.50","1","100.0","0","0","0","0","4","33.3","1","0.25","4","0.190","0","","4","100.0","0","","0","0","0.0","0","158.3","22.2","9.7","","100.0","","","0.80","1.0","16.9","7.4","0.4","0.35","7.4"
"8","Deebo Samuel","WAS","WR","16","2025","35","100.0","0.9","6","2.9","7","0.4","25.9","0.20","5","71.4","65","4.1","30.0","1.86","9.29","13.00","52","10.40","14","2.80","0","0.0","0","0","0","0","5","38.5","3","0.60","3","0.086","1","14.3","7","100.0","3","42.9","2","1","50.0","1","60.7","26.9","3.6","","100.0","","","0.33","0.7","11.5","10.9","0.7","0.31","10.9"
"9","Emeka Egbuka","TB","WR","17","2025","12","92.3","18.0","90","89.1","5","0.3","50.0","0.42","2","40.0","65","3.8","61.3","5.42","13.00","32.50","18","9.00","3","1.50","0","0.0","0","0","0","1","5","55.6","0","","2","0.167","1","20.0","3","60.0","0","","0","0","0.0","0","47.9","55.6","2.5","","100.0","","","0.71","0.5","8.5","8.1","0.5","0.68","8.1"
"10","Davante Adams","LA","WR","14","2025","7","100.0","19.0","38","40.9","2","0.1","28.6","0.29","2","100.0","65","4.6","72.2","9.29","32.50","32.50","27","13.50","3","1.50","0","0.0","0","0","0","1","1","25.0","0","","2","0.286","0","","2","100.0","0","","0","0","0.0","0","118.8","28.6","21.6","","100.0","","","1.21","0.6","8.5","3.9","0.3","0.56","3.9"
