"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Trey McBride","ARZ","TE","17","2025","81","95.3","8.7","191","35.4","22","1.3","28.9","0.27","15","68.2","163","9.6","31.9","2.01","7.41","10.87","77","5.13","44","2.93","3","60.0","7","4","1","1","19","39.6","4","0.27","8","0.099","1","4.5","17","77.3","4","18.2","3","2","66.7","0","129.4","31.0","-0.8","","100.0","","","0.61","2.9","49.3","44.4","2.6","0.55","44.4"
"2","Juwan Johnson","NO","TE","17","2025","79","92.9","7.8","109","16.5","14","0.8","18.4","0.18","11","78.6","130","7.6","24.3","1.65","9.29","11.82","40","3.64","8","0.73","0","0.0","0","0","0","0","11","20.4","0","","7","0.089","0","","12","85.7","0","","3","2","66.7","0","105.4","19.7","1.7","","100.0","","","0.30","1.4","24.0","21.6","1.3","0.27","21.6"
"3","Rashid Shaheed","SEA, NO","WR","18","2025","30","93.8","8.1","57","37.7","7","0.4","24.1","0.23","7","100.0","120","6.7","52.9","4.00","17.14","17.14","63","9.00","2","0.29","1","100.0","1","0","0","1","5","29.4","0","","2","0.067","0","","7","100.0","2","28.6","0","0","0.0","0","158.3","28.0","9.9","","100.0","","","0.83","1.4","25.0","11.3","0.6","0.38","11.3"
"4","Puka Nacua","LA","WR","16","2025","38","100.0","6.3","63","23.9","10","0.6","27.0","0.26","9","90.0","110","6.9","38.6","2.89","11.00","12.22","54","6.00","41","4.56","0","0.0","1","0","0","0","10","40.0","1","0.11","2","0.053","0","","9","90.0","0","","3","3","100.0","0","112.5","27.8","4.2","","100.0","","","0.50","1.2","19.0","15.1","0.9","0.40","15.1"
"5","Stefon Diggs","NE","WR","17","2025","24","88.9","9.4","66","28.1","7","0.4","30.4","0.29","7","100.0","108","6.4","44.8","4.50","15.43","15.43","42","6.00","9","1.29","0","0.0","0","0","0","1","5","27.8","2","0.29","5","0.208","0","","7","100.0","1","14.3","0","0","0.0","0","118.8","30.4","7.5","","100.0","","","0.74","1.0","17.8","11.0","0.6","0.46","11.0"
"6","Parker Washington","JAX","WR","16","2025","39","100.0","9.2","110","44.4","12","0.8","33.3","0.31","8","66.7","107","6.7","38.1","2.74","8.92","13.38","36","4.50","13","1.63","1","100.0","1","1","0","2","11","45.8","2","0.25","5","0.128","1","8.3","9","75.0","0","","2","0","0.0","0","87.8","34.3","1.3","","100.0","","","0.63","1.5","24.7","20.8","1.3","0.53","20.8"
"7","Amon-Ra St. Brown","DET","WR","17","2025","43","95.6","6.5","91","25.3","14","0.8","31.1","0.33","11","78.6","99","5.8","24.1","2.30","7.07","9.00","37","3.36","18","1.64","0","0.0","1","0","0","0","12","37.5","1","0.09","4","0.093","1","7.1","12","85.7","0","","2","1","50.0","0","96.1","34.1","0.2","","100.0","","","0.49","1.2","20.9","25.5","1.5","0.59","25.5"
"8","Ladd McConkey","LAC","WR","16","2025","50","86.2","5.8","52","20.7","9","0.6","18.8","0.18","9","100.0","90","5.6","23.6","1.80","10.00","10.00","38","4.22","12","1.33","0","0.0","0","0","0","1","7","21.9","2","0.22","4","0.080","0","","9","100.0","2","22.2","0","0","0.0","0","108.3","18.8","3.4","","100.0","","","0.36","1.1","18.0","15.9","1.0","0.32","15.9"
"9","Pat Freiermuth","PIT","TE","17","2025","28","84.8","6.0","48","32.2","8","0.5","25.8","0.29","8","100.0","88","5.2","37.8","3.14","11.00","11.00","40","5.00","21","2.63","0","0.0","0","0","0","1","8","30.8","1","0.13","3","0.107","0","","8","100.0","1","12.5","3","3","100.0","0","112.5","26.7","4.0","","100.0","","","0.60","1.0","16.8","12.2","0.7","0.43","12.2"
"10","Courtland Sutton","DEN","WR","17","2025","29","90.6","19.6","98","51.6","5","0.3","18.5","0.17","4","80.0","86","5.1","40.8","2.97","17.20","21.50","22","5.50","","","1","100.0","0","0","0","2","3","17.6","0","","3","0.103","1","20.0","5","100.0","0","","2","1","50.0","0","158.3","19.2","6.8","","100.0","","","0.64","1.1","18.6","7.8","0.5","0.27","7.8"
"11","Zay Flowers","BLT","WR","17","2025","22","95.7","6.0","42","33.9","7","0.4","35.0","0.32","7","100.0","85","5.0","58.2","3.86","12.14","12.14","43","6.14","10","1.43","0","0.0","3","0","0","0","6","54.5","2","0.29","2","0.091","0","","7","100.0","2","28.6","2","2","100.0","0","117.3","36.8","4.8","","100.0","","","0.66","0.9","14.5","12.2","0.7","0.55","12.2"
"12","Keenan Allen","LAC","WR","17","2025","29","90.6","10.4","83","35.0","8","0.5","27.6","0.28","7","87.5","82","4.8","28.8","2.83","10.25","11.71","18","2.57","11","1.57","0","0.0","2","1","0","1","4","25.0","1","0.14","5","0.172","0","","7","87.5","0","","1","1","100.0","0","109.4","28.6","2.3","","100.0","","","0.52","0.9","15.2","15.1","0.9","0.52","15.1"
"13","Marquise Brown","KC","WR","16","2025","27","96.4","16.7","150","58.4","9","0.6","37.5","0.33","5","55.6","80","5.0","53.7","2.96","8.89","16.00","15","3.00","3","0.60","0","0.0","0","1","0","2","6","31.6","1","0.20","4","0.148","0","","6","66.7","0","","2","1","50.0","0","85.4","40.9","-0.3","","100.0","","","0.48","0.8","13.0","18.0","1.1","0.67","18.0"
"14","Jaxon Smith-Njigba","SEA","WR","17","2025","22","100.0","6.3","44","35.8","7","0.4","31.8","0.32","7","100.0","76","4.5","38.0","3.45","10.86","10.86","32","4.57","7","1.00","0","0.0","0","0","0","0","7","41.2","1","0.14","3","0.136","0","","7","100.0","2","28.6","0","0","0.0","0","111.9","35.0","3.7","","100.0","","","0.62","0.8","13.6","11.0","0.6","0.50","11.0"
"15","Christian Watson","GB","WR","10","2025","12","100.0","21.7","65","69.9","3","0.3","25.0","0.25","3","100.0","71","7.1","47.0","5.92","23.67","23.67","6","2.00","2","0.67","0","0.0","0","0","0","1","3","37.5","0","","3","0.250","0","","3","100.0","0","","2","2","100.0","0","118.8","27.3","13.6","","100.0","","","0.84","1.0","10.1","4.9","0.5","0.41","4.9"
