"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","George Pickens","DAL","WR","17","2025","85","95.5","12.8","268","34.9","21","1.2","25.9","0.25","15","71.4","320","18.8","41.1","3.76","15.24","21.33","160","10.67","61","4.07","3","60.0","4","4","1","6","20","31.3","4","0.27","13","0.153","1","4.8","16","76.2","0","","3","2","66.7","2","153.3","26.6","6.6","100.0","","","","0.76","3.8","65.0","42.5","2.5","0.50","42.5"
"2","Tee Higgins","CIN","WR","15","2025","61","95.3","14.6","350","53.9","24","1.6","41.4","0.39","16","66.7","244","16.3","47.0","4.00","10.17","15.25","43","2.69","26","1.63","5","71.4","7","6","3","6","21","44.7","3","0.19","14","0.230","1","4.2","18","75.0","0","","7","5","71.4","1","139.6","42.9","1.0","100.0","","","","1.15","4.7","70.4","52.3","3.5","0.86","52.3"
"3","Jameson Williams","DET","WR","17","2025","78","95.1","9.3","148","30.5","16","0.9","21.1","0.21","10","62.5","238","14.0","37.7","3.05","14.88","23.80","135","13.50","25","2.50","3","33.3","2","0","0","1","13","21.3","2","0.20","10","0.128","5","31.3","16","100.0","0","","2","1","50.0","0","145.8","22.9","7.2","100.0","","","","0.66","3.0","51.8","29.5","1.7","0.38","29.5"
"4","Jaxon Smith-Njigba","SEA","WR","17","2025","60","98.4","10.3","227","41.8","22","1.3","37.9","0.37","17","77.3","226","13.3","49.5","3.77","10.27","13.29","68","4.00","32","1.88","2","33.3","3","2","1","1","21","50.0","3","0.18","12","0.200","1","4.5","20","90.9","0","","4","2","50.0","0","139.6","42.3","1.9","100.0","","","","0.86","3.0","51.6","48.3","2.8","0.81","48.3"
"5","Zay Flowers","BLT","WR","17","2025","75","98.7","13.2","251","36.7","19","1.1","28.4","0.25","13","68.4","225","13.2","32.9","3.00","11.84","17.31","65","5.00","18","1.38","0","0.0","2","2","0","4","13","27.1","2","0.15","9","0.120","2","10.5","16","84.2","1","5.3","1","0","0.0","1","108.4","29.2","2.7","100.0","","","","0.47","2.1","35.5","34.1","2.0","0.45","34.1"
"6","Alec Pierce","IND","WR","15","2025","79","97.5","18.5","406","55.8","22","1.5","31.0","0.28","11","50.0","224","14.9","49.0","2.84","10.18","20.36","32","2.91","24","2.18","1","33.3","4","4","1","6","22","34.9","0","","10","0.127","0","","15","68.2","0","","5","1","20.0","0","101.3","33.3","-0.2","100.0","","","","0.50","2.6","39.4","49.7","3.3","0.63","49.7"
"7","Nico Collins","HST","WR","15","2025","63","96.9","10.6","149","36.7","14","0.9","25.0","0.22","11","78.6","209","13.9","50.5","3.32","14.93","19.00","83","7.55","28","2.55","0","0.0","1","0","0","2","12","30.0","0","","8","0.127","1","7.1","13","92.9","0","","5","3","60.0","0","118.8","28.0","6.8","100.0","","","","0.51","2.1","31.9","23.8","1.6","0.38","23.8"
"8","Courtland Sutton","DEN","WR","17","2025","54","91.5","10.6","170","32.4","16","0.9","29.6","0.30","12","75.0","199","11.7","51.6","3.69","12.44","16.58","59","4.92","36","3.00","0","0.0","0","0","0","2","13","34.2","2","0.17","10","0.185","0","","14","87.5","0","","6","4","66.7","0","116.4","32.0","4.4","100.0","","","","0.59","1.9","31.9","26.3","1.5","0.49","26.3"
"9","A.J. Brown","PHI","WR","15","2025","58","93.5","12.8","269","44.0","21","1.4","39.6","0.36","14","66.7","195","13.0","51.9","3.36","9.29","13.93","39","2.79","32","2.29","2","33.3","1","1","0","6","20","47.6","2","0.14","11","0.190","0","","16","76.2","0","","7","4","57.1","1","128.1","42.9","0.8","100.0","","","","0.78","3.0","45.5","43.2","2.9","0.74","43.2"
"10","Puka Nacua","LA","WR","16","2025","46","93.9","12.1","205","47.3","17","1.1","37.0","0.37","13","76.5","188","11.8","39.8","4.09","11.06","14.46","31","2.38","15","1.15","2","50.0","2","1","0","3","17","47.2","0","","9","0.196","0","","14","82.4","0","","5","4","80.0","2","151.1","38.6","2.8","100.0","","","","0.95","2.7","43.8","28.9","1.8","0.63","28.9"
"11","Stefon Diggs","NE","WR","17","2025","47","97.9","9.3","149","38.3","16","0.9","44.4","0.34","13","81.3","175","10.3","39.9","3.72","10.94","13.46","55","4.23","11","0.85","2","40.0","3","0","0","1","15","51.7","1","0.08","10","0.213","1","6.3","14","87.5","1","6.3","4","3","75.0","0","125.8","47.1","3.0","100.0","","","","0.90","2.5","42.5","30.5","1.8","0.65","30.5"
"12","Rome Odunze","CHI","WR","12","2025","42","91.3","14.2","269","63.0","19","1.6","44.2","0.45","11","57.9","166","13.8","47.7","3.95","8.74","15.09","47","4.27","12","1.09","1","50.0","2","1","0","5","14","41.2","0","","10","0.238","2","10.5","14","73.7","0","","4","4","100.0","0","104.3","44.2","-0.3","100.0","","","","0.80","2.8","33.6","39.3","3.3","0.94","39.3"
"13","CeeDee Lamb","DAL","WR","14","2025","44","93.6","12.4","174","42.1","14","1.0","31.1","0.32","9","64.3","160","11.4","36.0","3.64","11.43","17.78","52","5.78","17","1.89","0","0.0","3","3","0","2","13","33.3","1","0.11","8","0.182","3","21.4","12","85.7","0","","1","0","0.0","0","103.3","31.1","2.7","100.0","","","","0.57","1.8","25.0","35.3","2.5","0.80","35.3"
"14","Michael Wilson","ARZ","WR","17","2025","62","98.4","14.1","268","50.4","19","1.1","35.8","0.31","10","52.6","151","8.9","44.7","2.44","7.95","15.10","25","2.50","10","1.00","0","0.0","1","0","0","4","19","45.2","2","0.20","9","0.145","0","","14","73.7","0","","9","4","44.4","1","39.5","38.8","-1.2","100.0","","","","0.40","1.5","25.1","37.7","2.2","0.61","37.7"
"15","DeAndre Hopkins","BLT","WR","17","2025","40","100.0","15.4","169","48.6","11","0.6","31.4","0.28","8","72.7","144","8.5","49.5","3.60","13.09","18.00","29","3.63","7","0.88","1","50.0","0","1","1","4","9","39.1","0","","6","0.150","0","","9","81.8","0","","6","5","83.3","0","145.1","34.4","3.9","100.0","","","","0.71","1.7","28.4","18.1","1.1","0.45","18.1"
"16","Jerry Jeudy","CLV","WR","17","2025","108","93.9","11.0","276","40.0","25","1.5","24.5","0.23","13","52.0","142","8.4","20.3","1.31","5.68","10.92","46","3.54","9","0.69","0","0.0","1","0","0","3","21","27.3","2","0.15","9","0.083","3","12.0","17","68.0","1","4.0","5","3","60.0","0","52.4","26.3","-2.5","100.0","","","","0.25","1.6","27.2","41.5","2.4","0.38","41.5"
"17","Quentin Johnston","LAC","WR","14","2025","101","97.1","11.5","184","26.2","16","1.1","18.2","0.16","11","68.8","139","9.9","27.7","1.38","8.69","12.64","28","2.55","14","1.27","2","50.0","2","2","1","2","15","21.1","1","0.09","6","0.059","1","6.3","13","81.3","0","","3","1","33.3","1","135.2","19.3","0.1","100.0","","","","0.37","2.6","36.9","28.2","2.0","0.28","28.2"
"18","Ladd McConkey","LAC","WR","16","2025","47","94.0","12.1","97","29.4","8","0.5","19.0","0.17","7","87.5","138","8.6","39.2","2.94","17.25","19.71","57","8.14","5","0.71","1","50.0","0","1","1","1","7","22.6","4","0.57","7","0.149","0","","8","100.0","0","","1","0","0.0","0","158.3","21.1","8.7","100.0","","","","0.57","1.7","26.8","13.4","0.8","0.29","13.4"
"19","Xavier Worthy","KC","WR","14","2025","51","89.5","18.3","201","45.4","11","0.8","21.2","0.22","4","36.4","138","9.9","43.0","2.71","12.55","34.50","27","6.75","3","0.75","0","0.0","0","0","0","5","8","22.2","2","0.50","4","0.078","0","","5","45.5","0","","1","0","0.0","0","84.5","22.4","2.7","100.0","","","","0.35","1.3","17.8","24.4","1.7","0.48","24.4"
"20","DK Metcalf","PIT","WR","15","2025","55","91.7","21.2","233","39.8","11","0.7","19.0","0.20","6","54.5","136","9.1","33.3","2.47","12.36","22.67","15","2.50","","","1","50.0","1","2","1","5","10","21.7","0","","6","0.109","0","","8","72.7","0","","5","3","60.0","1","129.4","20.8","1.8","100.0","","","","0.47","1.7","25.6","28.8","1.9","0.52","28.8"
"21","Tetairoa McMillan","CAR","WR","17","2025","79","100.0","11.2","246","41.4","22","1.3","31.4","0.28","8","36.4","130","7.6","28.8","1.65","5.91","16.25","60","7.50","6","0.75","0","0.0","3","1","0","3","19","40.4","2","0.25","7","0.089","3","13.6","16","72.7","0","","8","2","25.0","0","38.1","36.7","-2.3","100.0","","","","0.27","1.2","21.0","44.0","2.6","0.56","44.0"
"22","Ja'Marr Chase","CIN","WR","16","2025","69","100.0","9.2","221","34.0","24","1.5","36.4","0.35","13","54.2","127","7.9","28.4","1.84","5.29","9.77","56","4.31","17","1.31","1","11.1","3","1","0","3","22","41.5","2","0.15","8","0.116","2","8.3","18","75.0","3","12.5","5","3","60.0","1","65.8","37.5","-2.3","100.0","","","","0.46","2.0","31.7","41.7","2.6","0.60","41.7"
"23","Deebo Samuel","WAS","WR","16","2025","30","100.0","6.3","57","21.5","9","0.6","32.1","0.30","8","88.9","119","7.4","57.8","3.97","13.22","14.88","70","8.75","31","3.88","0","0.0","1","0","0","1","8","38.1","4","0.50","6","0.200","0","","8","88.9","2","22.2","2","2","100.0","0","118.8","33.3","6.2","100.0","","","","0.66","1.2","19.9","15.1","0.9","0.50","15.1"
"24","Rashid Shaheed","SEA, NO","WR","18","2025","46","97.9","14.0","168","38.0","12","0.7","27.9","0.26","7","58.3","117","6.5","30.3","2.54","9.75","16.71","22","3.14","8","1.14","0","0.0","1","1","0","4","10","29.4","0","","6","0.130","0","","10","83.3","0","","5","2","40.0","1","91.3","28.6","0.7","100.0","","","","0.41","1.0","18.7","23.2","1.3","0.51","23.2"
"25","Brian Thomas","JAX","WR","14","2025","53","93.0","20.8","187","36.6","9","0.6","17.6","0.17","6","66.7","114","8.1","27.2","2.15","12.67","19.00","7","1.17","4","0.67","0","0.0","0","1","0","4","8","21.1","0","","5","0.094","1","11.1","8","88.9","0","","2","0","0.0","0","109.7","20.5","2.6","100.0","","","","0.33","1.2","17.4","20.4","1.5","0.39","20.4"
"26","Ricky Pearsall","SF","WR","9","2025","36","97.3","17.0","102","32.8","6","0.7","16.2","0.17","5","83.3","109","12.1","49.8","3.03","18.17","21.80","15","3.00","10","2.00","0","0.0","0","0","0","3","6","24.0","0","","5","0.139","0","","5","83.3","0","","2","2","100.0","2","118.8","18.8","8.8","100.0","","","","0.44","1.8","15.9","13.3","1.5","0.37","13.3"
"27","Jalen Coker","CAR","WR","11","2025","21","95.5","12.0","108","72.0","9","0.8","45.0","0.43","6","66.7","109","9.9","74.1","5.19","12.11","18.17","27","4.50","13","2.17","1","100.0","0","0","0","2","8","66.7","0","","5","0.238","0","","6","66.7","0","","2","2","100.0","0","145.1","52.9","3.7","100.0","","","","1.09","2.1","22.9","15.8","1.4","0.75","15.8"
"28","Davante Adams","LA","WR","14","2025","81","95.3","14.7","265","34.7","18","1.3","22.0","0.22","9","50.0","109","7.8","15.1","1.35","6.06","12.11","18","2.00","8","0.89","1","20.0","4","2","1","6","13","21.7","0","","8","0.099","0","","11","61.1","0","","5","3","60.0","1","87.5","23.4","-3.1","100.0","","","","0.32","1.9","25.9","38.7","2.8","0.48","38.7"
"29","Justin Jefferson","MIN","WR","17","2025","72","94.7","16.1","321","47.4","20","1.2","32.3","0.28","10","50.0","108","6.4","31.9","1.50","5.40","10.80","20","2.00","14","1.40","1","33.3","2","3","1","6","17","37.0","1","0.10","7","0.097","1","5.0","12","60.0","0","","7","5","71.4","2","62.1","35.7","-4.3","100.0","","","","0.37","1.6","26.8","39.5","2.3","0.55","39.5"
"30","Jaylin Lane","WAS","WR","15","2025","31","93.9","20.0","160","46.0","8","0.5","28.6","0.26","4","50.0","106","7.1","59.6","3.42","13.25","26.50","11","2.75","18","4.50","0","0.0","1","1","0","3","6","30.0","0","","4","0.129","2","25.0","7","87.5","0","","3","1","33.3","0","95.8","30.8","2.2","100.0","","","","0.47","1.0","14.6","12.6","0.8","0.41","12.6"
"31","DeMario Douglas","NE","WR","17","2025","8","100.0","12.4","62","69.7","5","0.3","71.4","0.63","5","100.0","103","6.1","78.0","12.88","20.60","20.60","41","8.20","10","2.00","1","50.0","1","0","0","1","4","80.0","1","0.20","3","0.375","0","","5","100.0","0","","0","0","0.0","0","158.3","71.4","12.4","100.0","","","","2.66","1.3","21.3","6.7","0.4","0.83","6.7"
"32","Tre Tucker","LV","WR","17","2025","97","97.0","13.1","184","26.3","14","0.8","16.1","0.14","6","42.9","95","5.6","19.4","0.98","6.79","15.83","26","4.33","4","0.67","0","0.0","1","1","0","4","13","20.3","0","","4","0.041","0","","6","42.9","1","7.1","0","0","0.0","0","66.1","16.7","-1.9","100.0","","","","0.16","0.9","15.5","24.6","1.4","0.25","24.6"
"33","Amon-Ra St. Brown","DET","WR","17","2025","34","91.9","11.6","104","41.6","9","0.5","26.5","0.26","6","66.7","94","5.5","30.5","2.76","10.44","15.67","33","5.50","7","1.17","1","50.0","3","2","1","1","9","34.6","0","","4","0.118","1","11.1","7","77.8","0","","1","1","100.0","0","138.2","28.1","1.5","100.0","","","","0.63","1.3","21.4","20.6","1.2","0.61","20.6"
