"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Rhamondre Stevenson","NE","RB","14","2025","48","69.6","4.3","39","7.6","9","0.6","16.7","0.19","9","100.0","167","11.9","24.2","3.48","18.56","18.56","128","14.22","19","2.11","1","16.7","1","0","0","1","7","14.9","3","0.33","6","0.125","0","","9","100.0","1","11.1","0","0","0.0","0","155.8","17.0","11.9","","","","100.0","0.66","2.3","31.7","15.6","1.1","0.32","15.6"
"2","Jahmyr Gibbs","DET","RB","17","2025","59","80.8","2.0","32","6.3","16","0.9","23.9","0.27","13","81.3","119","7.0","21.0","2.02","7.44","9.15","120","9.23","18","1.38","3","33.3","6","0","0","1","13","25.5","3","0.23","8","0.136","0","","13","81.3","2","12.5","0","0","0.0","0","137.2","25.8","0.7","","","","100.0","0.73","2.5","42.9","29.0","1.7","0.49","29.0"
"3","Saquon Barkley","PHI","RB","16","2025","35","60.3","4.5","27","4.8","6","0.4","12.0","0.17","6","100.0","109","6.8","27.0","3.11","18.17","18.17","82","13.67","38","6.33","2","33.3","3","0","0","1","3","7.7","1","0.17","3","0.086","0","","6","100.0","1","16.7","0","0","0.0","1","158.3","13.3","12.1","","","","100.0","0.83","1.8","28.9","11.3","0.7","0.32","11.3"
"4","Bijan Robinson","ATL","RB","17","2025","58","72.5","0.3","2","0.3","7","0.4","9.3","0.12","7","100.0","103","6.1","20.4","1.78","14.71","14.71","101","14.43","23","3.29","1","33.3","1","0","0","0","3","6.3","1","0.14","5","0.086","0","","7","100.0","1","14.3","0","0","0.0","0","158.3","10.3","8.3","","","","100.0","0.40","1.4","23.3","10.1","0.6","0.17","10.1"
"5","D'Andre Swift","CHI","RB","16","2025","31","62.0","-3.6","-18","-5.9","5","0.3","12.2","0.16","4","80.0","94","5.9","25.3","3.03","18.80","23.50","125","31.25","8","2.00","0","0.0","0","0","0","0","3","9.4","1","0.25","3","0.097","0","","4","80.0","3","60.0","0","0","0.0","0","118.8","12.8","13.7","","","","100.0","0.43","0.8","13.4","10.9","0.7","0.35","10.9"
"6","Tyrone Tracy","NYG","RB","15","2025","57","76.0","1.6","14","2.7","9","0.6","14.5","0.16","6","66.7","82","5.5","20.2","1.44","9.11","13.67","88","14.67","16","2.67","0","0.0","0","0","0","0","3","6.7","1","0.17","4","0.070","1","11.1","9","100.0","1","11.1","3","0","0.0","0","95.6","16.4","2.8","","","","100.0","0.25","0.9","14.2","13.4","0.9","0.24","13.4"
"7","James Cook","BUF","RB","17","2025","47","75.8","6.5","39","9.7","6","0.4","11.8","0.13","4","66.7","69","4.1","18.4","1.47","11.50","17.25","48","12.00","2","0.50","1","33.3","0","0","0","0","6","15.8","1","0.25","3","0.064","1","16.7","5","83.3","0","","0","0","0.0","0","145.1","12.2","5.1","","","","100.0","0.36","1.0","16.9","13.0","0.8","0.28","13.0"
"8","Woody Marks","HST","RB","16","2025","27","52.9","1.5","6","1.8","4","0.3","8.5","0.15","3","75.0","62","3.9","18.0","2.30","15.50","20.67","65","21.67","15","5.00","1","25.0","1","0","0","0","2","5.6","0","","2","0.074","0","","3","75.0","0","","0","0","0.0","0","156.3","9.5","9.4","","","","100.0","0.56","1.0","15.2","7.8","0.5","0.29","7.8"
"9","Travis Etienne","JAX","RB","17","2025","38","66.7","-3.2","-16","-3.5","5","0.3","9.8","0.13","4","80.0","60","3.5","14.9","1.58","12.00","15.00","76","19.00","1","0.25","2","66.7","1","0","0","0","5","13.2","2","0.50","2","0.053","0","","4","80.0","3","60.0","0","0","0.0","0","156.3","10.9","6.5","","","","100.0","0.58","1.3","22.0","6.8","0.4","0.18","6.8"
"10","Derrick Henry","BLT","RB","17","2025","29","60.4","1.6","8","1.9","5","0.3","11.6","0.17","3","60.0","58","3.4","13.4","2.00","11.60","19.33","50","16.67","8","2.67","0","0.0","1","0","0","0","3","9.4","3","1.00","1","0.034","1","20.0","4","80.0","0","","0","0","0.0","0","100.4","12.5","5.2","","","","100.0","0.30","0.5","8.8","7.1","0.4","0.25","7.1"
"11","Kenneth Gainwell","PIT","RB","17","2025","36","85.7","-3.2","-32","-16.5","10","0.6","27.0","0.28","9","90.0","58","3.4","33.9","1.61","5.80","6.44","87","9.67","25","2.78","0","0.0","0","0","0","0","7","25.9","1","0.11","3","0.083","1","10.0","10","100.0","4","40.0","0","0","0.0","0","90.8","30.3","0.3","","","","100.0","0.41","0.9","14.8","16.4","1.0","0.45","16.4"
"12","Jeremy McNichols","WAS","RB","17","2025","28","59.6","2.8","11","2.4","4","0.2","9.8","0.14","4","100.0","56","3.3","25.2","2.00","14.00","14.00","45","11.25","19","4.75","0","0.0","0","0","0","0","2","6.5","1","0.25","3","0.107","0","","4","100.0","0","","0","0","0.0","0","118.8","10.0","7.5","","","","100.0","0.34","0.6","9.6","6.1","0.4","0.22","6.1"
"13","Dylan Sampson","CLV","RB","15","2025","23","95.8","-1.5","-9","-6.1","6","0.4","30.0","0.26","5","83.3","56","3.7","51.4","2.43","9.33","11.20","64","12.80","16","3.20","0","0.0","1","0","0","0","4","30.8","2","0.40","1","0.043","1","16.7","6","100.0","1","16.7","0","0","0.0","0","105.6","33.3","3.6","","","","100.0","0.46","0.7","10.6","8.2","0.5","0.36","8.2"
"14","Devin Singletary","NYG","RB","17","2025","18","51.4","-2.0","-6","-2.6","3","0.2","11.5","0.17","3","100.0","55","3.2","27.1","3.06","18.33","18.33","61","20.33","45","15.00","0","0.0","1","0","0","0","3","15.0","3","1.00","2","0.111","0","","3","100.0","1","33.3","0","0","0.0","0","118.8","12.5","12.5","","","","100.0","0.47","0.5","8.5","5.8","0.3","0.32","5.8"
"15","Brenton Strange","JAX","TE","12","2025","2","100.0","17.5","35","100.0","2","0.2","100.0","1.00","2","100.0","49","4.1","100.0","24.50","24.50","24.50","14","7.00","5","2.50","0","0.0","0","0","0","0","2","100.0","0","","2","1.000","0","","2","100.0","0","","0","0","0.0","0","118.8","100.0","12.2","","","","100.0","3.45","0.6","6.9","3.5","0.3","1.75","3.5"
"16","Christian McCaffrey","SF","RB","17","2025","67","84.8","2.8","37","6.3","13","0.8","17.3","0.19","10","76.9","46","2.7","9.5","0.69","3.54","4.60","53","5.30","15","1.50","2","28.6","5","0","0","1","9","18.0","0","","4","0.060","1","7.7","11","84.6","5","38.5","1","1","100.0","0","120.5","19.1","-3.8","","","","100.0","0.40","1.6","26.6","23.2","1.4","0.35","23.2"
"17","Ty Johnson","BUF","RB","17","2025","34","77.3","0.0","0","0.0","7","0.4","19.4","0.21","5","71.4","46","2.7","20.7","1.35","6.57","9.20","37","7.40","17","3.40","1","100.0","2","0","0","0","6","20.7","2","0.40","3","0.088","1","14.3","6","85.7","3","42.9","0","0","0.0","0","128.6","20.6","0.0","","","","100.0","0.46","0.9","15.6","14.9","0.9","0.44","14.9"
"18","Audric Estime","NO","RB","6","2025","11","68.8","4.5","9","5.9","2","0.3","13.3","0.18","2","100.0","38","6.3","29.0","3.45","19.00","19.00","29","14.50","1","0.50","0","0.0","0","0","0","0","1","8.3","0","","2","0.182","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","13.3","11.4","","","","100.0","0.53","1.0","5.8","2.9","0.5","0.27","2.9"
"19","Rico Dowdle","CAR","RB","17","2025","23","52.3","-2.7","-8","-2.3","3","0.2","7.5","0.13","3","100.0","37","2.2","14.9","1.61","12.33","12.33","45","15.00","5","1.67","0","0.0","0","0","0","0","2","7.4","0","","2","0.087","0","","3","100.0","2","66.7","0","0","0.0","0","118.1","8.6","6.5","","","","100.0","0.29","0.4","6.7","5.0","0.3","0.22","5.0"
"20","Sean Tucker","TB","RB","17","2025","8","61.5","4.3","13","12.3","3","0.2","27.3","0.38","2","66.7","34","2.0","49.3","4.25","11.33","17.00","25","12.50","6","3.00","1","100.0","1","0","0","0","2","25.0","1","0.50","1","0.125","0","","2","66.7","0","","0","0","0.0","0","144.4","27.3","4.5","","","","100.0","1.43","0.7","11.4","7.1","0.4","0.89","7.1"
"21","Kareem Hunt","KC","RB","17","2025","58","69.9","-0.3","-1","-0.1","4","0.2","5.7","0.07","3","75.0","31","1.8","7.4","0.53","7.75","10.33","37","12.33","8","2.67","0","0.0","1","0","0","0","3","6.5","1","0.33","1","0.017","1","25.0","4","100.0","1","25.0","0","0","0.0","0","96.9","6.3","1.4","","","","100.0","0.11","0.4","6.1","7.6","0.4","0.13","7.6"
"22","Tyler Allgeier","ATL","RB","17","2025","15","68.2","-6.0","-6","-2.4","1","0.1","4.5","0.07","1","100.0","31","1.8","29.2","2.07","31.00","31.00","37","37.00","7","7.00","0","0.0","0","0","0","0","1","5.6","0","","1","0.067","0","","1","100.0","0","","0","0","0.0","0","118.8","4.8","25.9","","","","100.0","0.27","0.2","4.1","2.5","0.1","0.17","2.5"
"23","Breece Hall","NYJ","RB","16","2025","29","64.4","-1.8","-9","-3.2","5","0.3","13.2","0.17","5","100.0","31","1.9","29.0","1.07","6.20","6.20","40","8.00","7","1.40","0","0.0","2","0","0","0","5","15.6","0","","1","0.034","0","","5","100.0","3","60.0","0","0","0.0","0","92.5","14.3","0.3","","","","100.0","0.28","0.5","8.1","8.4","0.5","0.29","8.4"
"24","Marvin Mims","DEN","WR","15","2025","1","100.0","2.0","2","100.0","1","0.1","100.0","1.00","1","100.0","26","1.7","100.0","26.00","26.00","26.00","24","24.00","30","30.00","0","0.0","0","0","0","0","1","100.0","1","1.00","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","20.7","","","","100.0","3.60","0.2","3.6","1.4","0.1","1.39","1.4"
