"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Chase Brown","CIN","RB","17","2025","15","100.0","1.3","5","5.0","4","0.2","30.8","0.27","4","100.0","47","2.8","47.0","3.13","11.75","11.75","42","10.50","9","2.25","0","0.0","0","0","0","0","3","25.0","2","0.50","2","0.133","0","","4","100.0","1","25.0","0","0","0.0","0","115.6","30.8","5.2","","","","100.0","0.58","0.5","8.7","5.9","0.3","0.39","5.9"
"2","Tony Pollard","TEN","RB","17","2025","1","50.0","-2.0","-2","-16.7","1","0.1","50.0","1.00","1","100.0","29","1.7","100.0","29.00","29.00","29.00","31","31.00","19","19.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","22.8","","","","100.0","3.90","0.2","3.9","1.5","0.1","1.55","1.5"
"3","De'Von Achane","MIA","RB","16","2025","9","81.8","1.7","5","9.8","3","0.2","30.0","0.33","3","100.0","29","1.8","39.7","3.22","9.67","9.67","24","8.00","5","1.67","1","100.0","0","0","0","0","1","14.3","2","0.67","1","0.111","0","","3","100.0","0","","0","0","0.0","0","146.5","30.0","3.0","","","","100.0","1.32","0.7","11.9","4.4","0.3","0.49","4.4"
"4","Nick Chubb","HST","RB","15","2025","3","100.0","-3.0","-3","-300.0","1","0.1","50.0","0.33","1","100.0","27","1.8","75.0","9.00","27.00","27.00","30","30.00","1","1.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.333","0","","1","100.0","1","100.0","0","0","0.0","0","118.8","50.0","20.9","","","","100.0","1.23","0.2","3.7","1.4","0.1","0.48","1.4"
"5","Drew Sample","CIN","TE","17","2025","4","100.0","-1.0","-1","-4.8","1","0.1","25.0","0.25","1","100.0","27","1.6","35.1","6.75","27.00","27.00","28","28.00","4","4.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","118.8","25.0","22.1","","","","100.0","0.93","0.2","3.7","1.3","0.1","0.33","1.3"
"6","Aaron Jones","MIN","RB","12","2025","4","100.0","25.0","25","56.8","1","0.1","33.3","0.25","1","100.0","27","2.3","56.3","6.75","27.00","27.00","2","2.00","","","1","100.0","0","0","0","1","1","33.3","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","158.3","33.3","21.9","","","","100.0","2.43","0.8","9.7","2.4","0.2","0.61","2.4"
"7","Jonathan Taylor","IND","RB","17","2025","3","100.0","1.0","1","9.1","1","0.1","50.0","0.33","1","100.0","19","1.1","54.3","6.33","19.00","19.00","18","18.00","4","4.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","13.3","","","","100.0","0.97","0.2","2.9","1.4","0.1","0.47","1.4"
"8","Michael Carter","ARZ","RB","13","2025","2","66.7","3.0","3","7.9","1","0.1","33.3","0.50","1","100.0","16","1.2","100.0","8.00","16.00","16.00","13","13.00","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","9.5","","","","100.0","1.30","0.2","2.6","1.3","0.1","0.66","1.3"
"9","Alvin Kamara","NO","RB","11","2025","4","80.0","7.0","7","15.9","1","0.1","20.0","0.25","1","100.0","11","1.0","61.1","2.75","11.00","11.00","4","4.00","1","1.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","112.5","25.0","3.6","","","","100.0","0.53","0.2","2.1","1.8","0.2","0.45","1.8"
"10","Christian McCaffrey","SF","RB","17","2025","4","80.0","9.0","9","33.3","1","0.1","25.0","0.25","1","100.0","9","0.5","39.1","2.25","9.00","9.00","0","","","","1","100.0","1","1","1","0","0","0.0","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","143.8","33.3","1.6","","","","100.0","1.98","0.5","7.9","2.6","0.2","0.66","2.6"
