"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Chicago Bears","2","2025","Chicago","Bears","15","11.0","33","3","0.20","3","100.0","63","31.5","4.20","21.00","21.00","30","10.00","4","1.33","1","0","0","0","1","0.33","3","0.200","0","","3","100.0","0","","0","0","0.0","0","158.3","2","66.7","14.6","","","","100.0"
"2","Denver Broncos","2","2025","Denver","Broncos","8","-2.0","-4","2","0.25","2","100.0","38","19.0","4.75","19.00","19.00","42","21.00","23","11.50","0","0","0","0","2","1.00","1","0.125","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","1","50.0","12.8","","","","100.0"
"3","New England Patriots","3","2025","New England","Patriots","10","1.5","3","2","0.20","2","100.0","34","11.3","3.40","17.00","17.00","31","15.50","8","4.00","1","0","0","0","2","1.00","1","0.100","0","","2","100.0","0","","0","0","0.0","0","158.3","2","100.0","10.3","","","","100.0"
"4","Indianapolis Colts","3","2025","Indianapolis","Colts","15","6.7","20","3","0.20","3","100.0","32","10.7","2.13","10.67","10.67","12","4.00","-1","-0.33","1","1","1","1","1","0.33","2","0.133","0","","3","100.0","0","","1","1","100.0","0","150.7","0","","3.2","","","","100.0"
"5","Miami Dolphins","6","2025","Miami","Dolphins","21","0.0","0","5","0.24","3","60.0","29","4.8","1.38","5.80","9.67","33","11.00","7","2.33","0","0","0","0","0","","1","0.048","1","20.0","4","80.0","1","20.0","1","0","0.0","0","76.3","1","20.0","-0.1","","","","100.0"
"6","Tampa Bay Buccaneers","2","2025","Tampa Bay","Buccaneers","3","-3.0","-3","1","0.33","1","100.0","27","13.5","9.00","27.00","27.00","30","30.00","1","1.00","0","0","0","0","0","","1","0.333","0","","1","100.0","1","100.0","0","0","0.0","0","118.8","1","100.0","20.9","","","","100.0"
"7","San Francisco 49ers","1","2025","San Francisco","49ers","5","1.0","1","1","0.20","1","100.0","19","19.0","3.80","19.00","19.00","18","18.00","4","4.00","0","0","0","0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","0","","13.3","","","","100.0"
"8","New York Giants","1","2025","New York","Giants","5","7.0","7","1","0.20","1","100.0","11","11.0","2.20","11.00","11.00","4","4.00","1","1.00","0","0","0","0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","112.5","1","100.0","3.6","","","","100.0"
"9","Pittsburgh Steelers","5","2025","Pittsburgh","Steelers","15","3.0","9","3","0.20","3","100.0","9","1.8","0.60","3.00","3.00","0","","","","0","0","0","0","0","","0","0.000","0","","3","100.0","1","33.3","1","1","100.0","0","79.2","1","33.3","-4.4","","","","100.0"
"10","Kansas City Chiefs","1","2025","Kansas City","Chiefs","4","-3.0","-3","1","0.25","1","100.0","5","5.0","1.25","5.00","5.00","8","8.00","2","2.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","1","100.0","5.0","","","","100.0"
"11","Atlanta Falcons","1","2025","Atlanta","Falcons","5","2.0","2","1","0.20","1","100.0","5","5.0","1.00","5.00","5.00","3","3.00","3","3.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","0","","-1.4","","","","100.0"
"12","New York Jets","3","2025","New York","Jets","10","1.5","3","2","0.20","1","50.0","3","1.0","0.30","1.50","3.00","3","3.00","2","2.00","0","0","0","0","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","0","","-4.7","","","","100.0"
"13","Minnesota Vikings","4","2025","Minnesota","Vikings","5","-1.0","-1","1","0.20","1","100.0","2","0.5","0.40","2.00","2.00","3","3.00","1","1.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","1","100.0","-3.8","","","","100.0"
"14","Detroit Lions","1","2025","Detroit","Lions","5","0.0","0","1","0.20","1","100.0","1","1.0","0.20","1.00","1.00","1","1.00","4","4.00","0","1","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","0","","-4.8","","","","100.0"
"15","Buffalo Bills","3","2025","Buffalo","Bills","11","-2.7","-8","3","0.27","3","100.0","-6","-2.0","-0.55","-2.00","-2.00","2","0.67","","","0","0","0","0","0","","0","0.000","0","","3","100.0","1","33.3","1","1","100.0","0","79.2","1","33.3","-7.6","","","","100.0"
"16","Los Angeles Chargers","2","2025","Los Angeles","Chargers","5","1.0","1","1","0.20","0","","0","0.0","","0.00","","0","","","","0","1","0","0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","0","","-5.7","","","","100.0"
"17","Philadelphia Eagles","2","2025","Philadelphia","Eagles","5","3.0","3","1","0.20","0","","0","0.0","","0.00","","0","","","","0","0","0","0","0","","0","0.000","1","100.0","1","100.0","0","","1","0","0.0","0","39.6","0","","-6.5","","","","100.0"
"18","Las Vegas Raiders","1","2025","Las Vegas","Raiders","5","1.0","1","1","0.20","0","","0","0.0","","0.00","","0","","","","0","0","0","0","0","","0","0.000","1","100.0","1","100.0","0","","0","0","0.0","0","39.6","0","","-5.7","","","","100.0"
