"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Kansas City Chiefs","4","2025","Kansas City","Chiefs","8","4.0","8","2","0.25","1","50.0","48","12.0","6.00","24.00","48.00","42","42.00","15","15.00","0","0","0","0","0","","1","0.125","0","","1","50.0","0","","0","0","0.0","0","95.8","2","100.0","17.3","","","100.0",""
"2","Baltimore Ravens","5","2025","Baltimore","Ravens","10","14.3","43","3","0.30","2","66.7","37","7.4","3.70","12.33","18.50","10","5.00","4","2.00","1","2","0","0","0","","2","0.200","0","","3","100.0","0","","2","1","50.0","0","148.6","2","66.7","3.6","","","100.0",""
"3","New York Giants","2","2025","New York","Giants","3","22.0","22","1","0.33","1","100.0","36","18.0","12.00","36.00","36.00","14","14.00","6","6.00","0","0","0","0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","1","100.0","25.4","","","100.0",""
"4","Jacksonville Jaguars","5","2025","Jacksonville","Jaguars","4","22.5","45","2","0.50","2","100.0","36","7.2","9.00","18.00","18.00","0","","","","2","1","2","2","0","","2","0.500","0","","2","100.0","0","","1","1","100.0","0","158.3","2","100.0","14.1","","","100.0",""
"5","Cleveland Browns","4","2025","Cleveland","Browns","11","13.7","41","3","0.27","1","33.3","32","8.0","2.91","10.67","32.00","17","17.00","","","1","2","2","0","0","","1","0.091","1","33.3","2","66.7","0","","0","0","0.0","0","113.9","2","66.7","1.1","","","100.0",""
"6","Denver Broncos","5","2025","Denver","Broncos","20","2.4","12","5","0.25","4","80.0","18","3.6","0.90","3.60","4.50","13","3.25","5","1.25","1","2","1","1","1","0.25","2","0.100","0","","4","80.0","0","","2","2","100.0","0","121.3","5","100.0","-2.5","","","100.0",""
"7","Chicago Bears","3","2025","Chicago","Bears","8","3.5","7","2","0.25","2","100.0","17","5.7","2.13","8.50","8.50","10","5.00","","","1","1","0","0","0","","1","0.125","0","","2","100.0","0","","0","0","0.0","0","141.7","1","50.0","2.1","","","100.0",""
"8","Indianapolis Colts","6","2025","Indianapolis","Colts","8","1.5","3","2","0.25","1","50.0","16","2.7","2.00","8.00","16.00","13","13.00","4","4.00","0","0","0","0","1","1.00","1","0.125","0","","2","100.0","0","","0","0","0.0","0","77.1","1","50.0","2.2","","","100.0",""
"9","Tennessee Titans","2","2025","Tennessee","Titans","13","4.7","14","3","0.23","3","100.0","15","7.5","1.15","5.00","5.00","10","3.33","3","1.00","2","3","1","1","0","","2","0.154","0","","3","100.0","0","","0","0","0.0","0","127.1","3","100.0","-1.6","","","100.0",""
