"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Arizona Cardinals","1","2025","Arizona","Cardinals","5","18.0","18","1","0.20","1","100.0","19","19.0","3.80","19.00","19.00","1","1.00","","","0","1","0","0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","1","118.8","1","100.0","6.0","","","100.0",""
"2","Tennessee Titans","2","2025","Tennessee","Titans","5","6.0","6","1","0.20","1","100.0","15","7.5","3.00","15.00","15.00","9","9.00","2","2.00","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","118.8","0","","7.3","","","100.0",""
"3","Denver Broncos","2","2025","Denver","Broncos","6","0.0","0","2","0.33","2","100.0","14","7.0","2.33","7.00","7.00","14","7.00","2","1.00","0","0","0","0","0","","1","0.167","0","","2","100.0","0","","0","0","0.0","0","95.8","2","100.0","1.7","","","100.0",""
"4","Las Vegas Raiders","1","2025","Las Vegas","Raiders","5","2.0","2","1","0.20","1","100.0","11","11.0","2.20","11.00","11.00","9","9.00","2","2.00","0","0","0","0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","112.5","0","","4.6","","","100.0",""
"5","Cleveland Browns","2","2025","Cleveland","Browns","5","3.0","3","1","0.20","1","100.0","9","4.5","1.80","9.00","9.00","6","6.00","","","0","0","0","0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","104.2","1","100.0","2.7","","","100.0",""
"6","Minnesota Vikings","3","2025","Minnesota","Vikings","10","2.5","5","2","0.20","2","100.0","8","2.7","0.80","4.00","4.00","3","1.50","2","1.00","0","0","0","0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","83.3","1","50.0","-2.0","","","100.0",""
"7","Atlanta Falcons","2","2025","Atlanta","Falcons","4","5.0","5","1","0.25","1","100.0","5","2.5","1.25","5.00","5.00","0","","","","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","1","100.0","-1.5","","","100.0",""
"8","Chicago Bears","1","2025","Chicago","Bears","5","4.0","4","1","0.20","1","100.0","4","4.0","0.80","4.00","4.00","0","","","","0","0","0","0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","83.3","1","100.0","-2.1","","","100.0",""
"9","Detroit Lions","1","2025","Detroit","Lions","9","10.0","20","2","0.22","1","50.0","2","2.0","0.22","1.00","2.00","1","1.00","1","1.00","0","0","0","0","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","1","50.0","-7.2","","","100.0",""
"10","Buffalo Bills","1","2025","Buffalo","Bills","5","11.0","11","1","0.20","0","","0","0.0","","0.00","","0","","","","0","0","0","0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","0","","-8.7","","","100.0",""
