"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Kyle Pitts","ATL","TE","17","2025","37","92.5","6.8","109","34.5","16","0.9","40.0","0.43","14","87.5","134","7.9","49.3","3.62","8.38","9.57","55","3.93","12","0.86","0","0.0","1","0","0","2","5","29.4","2","0.14","5","0.135","1","6.3","16","100.0","0","","2","1","50.0","0","101.6","45.7","0.8","","","100.0","","0.74","1.6","27.4","23.1","1.4","0.62","23.1"
"2","Noah Fant","CIN","TE","15","2025","51","96.2","2.5","38","16.0","15","1.0","29.4","0.29","15","100.0","117","7.8","39.7","2.29","7.80","7.80","79","5.27","22","1.47","1","100.0","0","0","0","1","7","30.4","2","0.13","4","0.078","0","","15","100.0","2","13.3","1","1","100.0","0","121.4","31.3","1.6","","","100.0","","0.58","2.0","29.7","23.9","1.6","0.47","23.9"
"3","Dalton Schultz","HST","TE","17","2025","31","88.6","5.4","70","29.4","13","0.8","39.4","0.42","13","100.0","116","6.8","61.1","3.74","8.92","8.92","46","3.54","16","1.23","0","0.0","0","0","0","0","10","47.6","1","0.08","7","0.226","0","","13","100.0","0","","1","1","100.0","0","103.8","41.9","2.1","","","100.0","","0.79","1.4","24.6","22.6","1.3","0.73","22.6"
"4","Oronde Gadsden","LAC","TE","15","2025","20","95.2","11.7","70","46.1","6","0.4","37.5","0.30","6","100.0","111","7.4","70.7","5.55","18.50","18.50","41","6.83","10","1.67","0","0.0","0","0","0","2","1","12.5","0","","4","0.200","0","","6","100.0","0","","1","1","100.0","0","118.8","40.0","10.8","","","100.0","","0.86","1.1","17.1","12.5","0.8","0.63","12.5"
"5","AJ Barner","SEA","TE","17","2025","31","86.1","3.6","36","24.8","10","0.6","32.3","0.32","9","90.0","92","5.4","42.2","2.97","9.20","10.22","60","6.67","25","2.78","0","0.0","1","0","0","0","3","27.3","2","0.22","5","0.161","0","","9","90.0","0","","0","0","0.0","0","105.0","38.5","3.0","","","100.0","","0.59","1.1","18.2","14.4","0.8","0.46","14.4"
"6","Elijah Higgins","ARZ","TE","17","2025","15","83.3","7.8","47","53.4","6","0.4","35.3","0.40","5","83.3","83","4.9","47.7","5.53","13.83","16.60","46","9.20","24","4.80","0","0.0","0","0","0","0","1","12.5","0","","5","0.333","0","","5","83.3","0","","1","0","0.0","0","118.8","35.3","6.6","","","100.0","","0.89","0.8","13.3","9.1","0.5","0.61","9.1"
"7","Jake Ferguson","DAL","TE","17","2025","29","93.5","4.8","43","15.9","9","0.5","30.0","0.31","8","88.9","79","4.6","22.9","2.72","8.78","9.88","50","6.25","18","2.25","0","0.0","1","0","0","0","7","36.8","1","0.13","2","0.069","0","","8","88.9","1","11.1","0","0","0.0","0","103.2","30.0","1.8","","","100.0","","0.55","0.9","15.9","12.5","0.7","0.43","12.5"
"8","Colby Parkinson","LA","TE","15","2025","17","77.3","3.9","31","12.8","8","0.5","38.1","0.47","7","87.5","73","4.9","32.9","4.29","9.13","10.43","39","5.57","6","0.86","0","0.0","1","0","0","1","5","41.7","1","0.14","2","0.118","0","","7","87.5","2","25.0","0","0","0.0","0","65.1","40.0","2.1","","","100.0","","0.84","1.0","14.3","11.7","0.8","0.69","11.7"
"9","Trey McBride","ARZ","TE","17","2025","24","96.0","4.7","42","46.7","9","0.5","45.0","0.38","7","77.8","68","4.0","37.8","2.83","7.56","9.71","34","4.86","10","1.43","0","0.0","0","0","0","0","7","63.6","0","","3","0.125","0","","9","100.0","0","","2","0","0.0","0","98.1","45.0","0.9","","","100.0","","0.58","0.8","13.8","13.0","0.8","0.54","13.0"
"10","Zach Ertz","WAS","TE","13","2025","16","88.9","7.0","35","33.3","5","0.4","33.3","0.31","4","80.0","56","4.3","34.6","3.50","11.20","14.00","26","6.50","6","1.50","1","100.0","1","0","0","0","4","33.3","1","0.25","2","0.125","1","20.0","5","100.0","0","","0","0","0.0","0","152.9","35.7","3.9","","","100.0","","0.98","1.2","15.6","8.0","0.6","0.50","8.0"
"11","Austin Hooper","NE","TE","16","2025","29","85.3","9.7","29","14.1","3","0.2","10.3","0.10","3","100.0","54","3.4","19.4","1.86","18.00","18.00","25","8.33","10","3.33","0","0.0","0","0","0","0","3","21.4","0","","3","0.103","0","","3","100.0","0","","0","0","0.0","0","118.8","12.0","10.1","","","100.0","","0.29","0.5","8.4","4.5","0.3","0.15","4.5"
"12","Harold Fannin","CLV","TE","16","2025","26","86.7","4.9","44","28.8","9","0.6","33.3","0.35","8","88.9","53","3.3","38.7","2.04","5.89","6.63","15","1.88","8","1.00","0","0.0","0","0","0","0","6","42.9","1","0.13","1","0.038","0","","8","88.9","0","","0","0","0.0","0","91.2","39.1","-0.8","","","100.0","","0.51","0.8","13.3","14.5","0.9","0.56","14.5"
"13","Evan Engram","DEN","TE","16","2025","27","84.4","6.0","30","15.6","5","0.3","16.1","0.19","3","60.0","51","3.2","33.6","1.89","10.20","17.00","27","9.00","11","3.67","0","0.0","0","0","0","1","3","25.0","0","","2","0.074","0","","3","60.0","0","","0","0","0.0","0","94.6","20.0","3.1","","","100.0","","0.30","0.5","8.1","9.5","0.6","0.35","9.5"
"14","Mo Alie-Cox","IND","TE","17","2025","13","65.0","2.8","11","9.2","4","0.2","22.2","0.31","4","100.0","49","2.9","30.1","3.77","12.25","12.25","38","9.50","16","4.00","0","0.0","1","0","0","0","2","16.7","0","","2","0.154","0","","4","100.0","0","","0","0","0.0","0","117.7","22.2","6.2","","","100.0","","0.68","0.5","8.9","5.9","0.3","0.46","5.9"
"15","Jake Tonges","SF","TE","16","2025","18","90.0","6.2","31","24.4","5","0.3","27.8","0.28","5","100.0","48","3.0","21.7","2.67","9.60","9.60","17","3.40","6","1.20","0","0.0","0","0","0","0","2","20.0","1","0.20","3","0.167","0","","5","100.0","0","","0","0","0.0","0","106.7","29.4","2.5","","","100.0","","0.54","0.6","9.8","7.5","0.5","0.42","7.5"
"16","Tyler Warren","IND","TE","17","2025","20","83.3","2.0","14","11.1","7","0.4","29.2","0.35","6","85.7","47","2.8","22.5","2.35","6.71","7.83","43","7.17","21","3.50","0","0.0","0","0","0","0","5","33.3","1","0.17","3","0.150","0","","7","100.0","2","28.6","2","1","50.0","0","94.6","29.2","0.6","","","100.0","","0.54","0.6","10.7","9.7","0.6","0.48","9.7"
"17","Sam LaPorta","DET","TE","9","2025","18","85.7","2.2","13","12.1","6","0.7","30.0","0.33","6","100.0","45","5.0","27.8","2.50","7.50","7.50","32","5.33","8","1.33","0","0.0","0","0","0","0","4","33.3","0","","2","0.111","0","","6","100.0","0","","0","0","0.0","0","97.9","30.0","1.5","","","100.0","","0.58","1.2","10.5","7.8","0.9","0.43","7.8"
"18","T.J. Hockenson","MIN","TE","15","2025","23","82.1","7.5","45","30.8","6","0.4","24.0","0.26","5","83.3","45","3.0","27.1","1.96","7.50","9.00","15","3.00","7","1.40","0","0.0","0","0","0","0","3","20.0","0","","1","0.043","0","","5","83.3","1","16.7","1","1","100.0","0","97.9","26.1","-0.3","","","100.0","","0.41","0.6","9.5","10.8","0.7","0.47","10.8"
"19","Brenton Strange","JAX","TE","12","2025","17","73.9","1.7","5","4.8","3","0.3","13.6","0.18","3","100.0","44","3.7","34.1","2.59","14.67","14.67","39","13.00","5","1.67","0","0.0","0","0","0","0","1","6.7","0","","3","0.176","0","","3","100.0","1","33.3","0","0","0.0","0","118.8","15.8","8.8","","","100.0","","0.44","0.6","7.4","4.1","0.3","0.24","4.1"
"20","Cole Kmet","CHI","TE","16","2025","25","75.8","2.8","14","10.2","5","0.3","17.9","0.20","5","100.0","44","2.8","27.8","1.76","8.80","8.80","30","6.00","13","2.60","0","0.0","0","0","0","0","3","27.3","1","0.20","2","0.080","0","","5","100.0","0","","0","0","0.0","0","103.3","22.7","2.6","","","100.0","","0.38","0.6","9.4","7.6","0.5","0.31","7.6"
"21","Noah Gray","KC","TE","16","2025","14","87.5","2.0","8","11.0","4","0.3","26.7","0.29","4","100.0","42","2.6","26.3","3.00","10.50","10.50","34","8.50","8","2.00","0","0.0","0","0","0","0","3","42.9","1","0.25","2","0.143","0","","4","100.0","1","25.0","0","0","0.0","0","110.4","26.7","4.1","","","100.0","","0.59","0.5","8.2","5.7","0.4","0.41","5.7"
"22","Hunter Henry","NE","TE","17","2025","26","74.3","7.6","38","17.3","5","0.3","18.5","0.19","3","60.0","42","2.5","21.6","1.62","8.40","14.00","25","8.33","4","1.33","1","100.0","2","0","0","0","3","25.0","0","","2","0.077","2","40.0","5","100.0","1","20.0","0","0","0.0","0","126.7","20.0","0.8","","","100.0","","0.51","0.8","13.2","9.0","0.5","0.34","9.0"
"23","Mason Taylor","NYJ","TE","13","2025","28","71.8","4.3","30","29.4","7","0.5","28.0","0.25","5","71.4","37","2.8","20.8","1.32","5.29","7.40","7","1.40","4","0.80","0","0.0","1","0","0","0","4","26.7","0","","1","0.036","1","14.3","6","85.7","1","14.3","1","1","100.0","0","83.6","29.2","-1.3","","","100.0","","0.31","0.7","8.7","10.4","0.8","0.37","10.4"
"24","David Njoku","CLV","TE","12","2025","15","71.4","3.5","14","20.6","4","0.3","20.0","0.27","4","100.0","37","3.1","32.7","2.47","9.25","9.25","23","5.75","11","2.75","0","0.0","0","0","0","0","4","30.8","0","","0","0.000","0","","4","100.0","1","25.0","0","0","0.0","0","105.2","26.7","3.0","","","100.0","","0.51","0.6","7.7","5.5","0.5","0.37","5.5"
