"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Gunnar Helm","TEN","TE","16","2025","2","100.0","18.0","18","69.2","1","0.1","50.0","0.50","1","100.0","19","1.2","73.1","9.50","19.00","19.00","1","1.00","","","0","0.0","1","0","0","0","1","100.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","1","118.8","50.0","6.0","","","100.0","","1.45","0.2","2.9","2.7","0.2","1.33","2.7"
"2","Dylan Sampson","CLV","RB","15","2025","1","100.0","6.0","6","100.0","1","0.1","100.0","1.00","1","100.0","15","1.0","100.0","15.00","15.00","15.00","9","9.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","7.3","","","100.0","","2.50","0.2","2.5","1.4","0.1","1.40","1.4"
"3","Dallas Goedert","PHI","TE","15","2025","1","100.0","1.0","1","100.0","1","0.1","100.0","1.00","1","100.0","11","0.7","100.0","11.00","11.00","11.00","10","10.00","2","2.00","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","112.5","100.0","5.2","","","100.0","","2.10","0.1","2.1","1.1","0.1","1.10","1.1"
"4","Noah Gray","KC","TE","16","2025","1","100.0","2.0","2","100.0","1","0.1","100.0","1.00","1","100.0","11","0.7","100.0","11.00","11.00","11.00","9","9.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","112.5","100.0","4.6","","","100.0","","2.10","0.1","2.1","1.3","0.1","1.34","1.3"
"5","Chig Okonkwo","TEN","TE","17","2025","2","100.0","3.0","3","14.3","1","0.1","50.0","0.50","1","100.0","9","0.5","32.1","4.50","9.00","9.00","6","6.00","","","0","0.0","0","0","0","0","1","50.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","104.2","50.0","2.7","","","100.0","","0.95","0.1","1.9","1.7","0.1","0.85","1.7"
"6","Kyle Pitts","ATL","TE","17","2025","9","100.0","6.0","6","4.9","1","0.1","16.7","0.11","1","100.0","8","0.5","100.0","0.89","8.00","8.00","2","2.00","2","2.00","0","0.0","0","0","0","0","1","25.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","16.7","0.9","","","100.0","","0.20","0.1","1.8","1.9","0.1","0.21","1.9"
"7","AJ Barner","SEA","TE","17","2025","8","100.0","5.0","5","19.2","1","0.1","14.3","0.13","1","100.0","5","0.3","10.9","0.63","5.00","5.00","0","","","","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","20.0","-1.5","","","100.0","","0.19","0.1","1.5","1.4","0.1","0.18","1.4"
"8","T.J. Hockenson","MIN","TE","15","2025","4","100.0","4.0","4","10.0","1","0.1","25.0","0.25","1","100.0","4","0.3","9.3","1.00","4.00","4.00","0","","","","0","0.0","0","0","0","0","1","33.3","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","83.3","25.0","-2.1","","","100.0","","0.35","0.1","1.4","1.5","0.1","0.38","1.5"
"9","Travis Kelce","KC","TE","17","2025","4","100.0","-1.0","-1","-2.2","1","0.1","33.3","0.25","1","100.0","3","0.2","21.4","0.75","3.00","3.00","4","4.00","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","33.3","-1.9","","","100.0","","0.33","0.1","1.3","1.5","0.1","0.39","1.5"
"10","John FitzPatrick","GB","TE","15","2025","1","100.0","1.0","1","100.0","1","0.1","100.0","1.00","1","100.0","2","0.1","100.0","2.00","2.00","2.00","1","1.00","1","1.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","100.0","-3.8","","","100.0","","1.20","0.1","1.2","1.5","0.1","1.48","1.5"
