"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Zay Flowers","BLT","WR","17","2025","9","100.0","7.6","38","43.7","5","0.3","62.5","0.56","3","60.0","84","4.9","68.9","9.33","16.80","28.00","58","19.33","3","1.00","1","50.0","1","1","0","1","4","80.0","1","0.33","3","0.333","1","20.0","4","80.0","2","40.0","0","0","0.0","0","143.8","71.4","9.3","","100.0","","","1.93","1.0","17.4","11.4","0.7","1.26","11.4"
"2","DeVonta Smith","PHI","WR","17","2025","21","100.0","6.2","56","37.6","9","0.5","42.9","0.43","7","77.8","58","3.4","38.2","2.76","6.44","8.29","6","0.86","3","0.43","0","0.0","1","0","0","1","8","44.4","0","","3","0.143","1","11.1","9","100.0","2","22.2","3","2","66.7","0","93.5","42.9","-0.7","","100.0","","","0.61","0.8","12.8","16.0","0.9","0.76","16.0"
"3","D'Andre Swift","CHI","RB","16","2025","5","100.0","4.0","4","10.3","1","0.1","20.0","0.20","1","100.0","55","3.4","98.2","11.00","55.00","55.00","51","51.00","39","39.00","1","50.0","0","0","0","0","1","25.0","1","1.00","1","0.200","0","","1","100.0","0","","0","0","0.0","0","158.3","20.0","48.3","","100.0","","","2.50","0.8","12.5","1.4","0.1","0.28","1.4"
"4","Amon-Ra St. Brown","DET","WR","17","2025","22","100.0","2.8","25","27.8","9","0.5","45.0","0.41","6","66.7","53","3.1","64.6","2.41","5.89","8.83","38","6.33","16","2.67","2","100.0","5","0","0","0","9","75.0","3","0.50","6","0.273","1","11.1","7","77.8","2","22.2","0","0","0.0","0","121.8","60.0","-0.1","","100.0","","","1.06","1.4","23.3","21.7","1.3","0.98","21.7"
"5","Isaiah Bond","CLV","WR","16","2025","7","100.0","30.0","90","72.0","3","0.2","42.9","0.43","1","33.3","52","3.3","100.0","7.43","17.33","52.00","9","9.00","3","3.00","0","0.0","1","2","0","2","0","0.0","0","","1","0.143","0","","1","33.3","0","","0","0","0.0","0","81.9","50.0","4.7","","100.0","","","0.89","0.4","6.2","7.3","0.5","1.04","7.3"
"6","Deebo Samuel","WAS","WR","16","2025","15","93.8","4.9","34","43.6","7","0.4","43.8","0.47","7","100.0","46","2.9","83.6","3.07","6.57","6.57","17","2.43","11","1.57","2","66.7","2","1","1","0","7","50.0","1","0.14","4","0.267","0","","7","100.0","0","","2","2","100.0","0","133.6","50.0","0.1","","100.0","","","1.57","1.5","23.6","12.2","0.8","0.81","12.2"
"7","Parker Washington","JAX","WR","16","2025","10","100.0","13.3","40","35.7","3","0.2","30.0","0.30","2","66.7","41","2.6","39.8","4.10","13.67","20.50","20","10.00","5","2.50","0","0.0","1","1","0","0","3","33.3","0","","2","0.200","0","","2","66.7","0","","1","0","0.0","0","109.7","33.3","4.1","","100.0","","","0.61","0.4","6.1","6.5","0.4","0.65","6.5"
"8","John Metchie","NYJ, PHI","WR","16","2025","3","75.0","11.0","22","78.6","2","0.1","50.0","0.67","2","100.0","40","2.5","100.0","13.33","20.00","20.00","18","9.00","3","1.50","1","100.0","0","0","0","0","1","33.3","0","","2","0.667","0","","2","100.0","0","","0","0","0.0","0","158.3","50.0","11.3","","100.0","","","4.00","0.8","12.0","3.5","0.2","1.17","3.5"
"9","Travis Kelce","KC","TE","17","2025","15","93.8","4.5","27","48.2","6","0.4","40.0","0.40","6","100.0","38","2.2","63.3","2.53","6.33","6.33","11","1.83","7","1.17","1","33.3","1","0","0","0","6","50.0","0","","3","0.200","0","","6","100.0","0","","0","0","0.0","0","132.6","40.0","-0.2","","100.0","","","1.05","0.9","15.8","11.1","0.7","0.74","11.1"
"10","Devontez Walker","BLT","WR","11","2025","1","100.0","18.0","18","100.0","1","0.1","100.0","1.00","1","100.0","38","3.5","100.0","38.00","38.00","38.00","20","20.00","","","1","100.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","158.3","100.0","27.1","","100.0","","","10.80","1.0","10.8","2.0","0.2","2.02","2.0"
"11","Khalil Shakir","BUF","WR","16","2025","8","88.9","33.0","33","29.2","1","0.1","12.5","0.13","1","100.0","37","2.3","52.9","4.63","37.00","37.00","4","4.00","4","4.00","0","0.0","0","0","0","1","1","12.5","0","","1","0.125","0","","1","100.0","0","","1","1","100.0","1","118.8","12.5","24.5","","100.0","","","0.59","0.3","4.7","1.7","0.1","0.22","1.7"
"12","Ryan Flournoy","DAL","WR","15","2025","6","100.0","7.2","36","92.3","5","0.3","83.3","0.83","5","100.0","34","2.3","100.0","5.67","6.80","6.80","6","1.20","2","0.40","1","100.0","1","1","1","0","5","83.3","2","0.40","4","0.667","0","","5","100.0","0","","1","1","100.0","0","134.6","83.3","-0.1","","100.0","","","2.40","1.0","14.4","10.4","0.7","1.73","10.4"
"13","Efton Chism","NE","WR","8","2025","1","100.0","6.0","6","100.0","1","0.1","100.0","1.00","1","100.0","30","3.8","100.0","30.00","30.00","30.00","24","24.00","7","7.00","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","23.1","","100.0","","","4.00","0.5","4.0","1.4","0.2","1.42","1.4"
"14","Keenan Allen","LAC","WR","17","2025","6","85.7","9.5","38","64.4","4","0.2","57.1","0.67","3","75.0","30","1.8","51.7","5.00","7.50","10.00","14","4.67","12","4.00","0","0.0","0","0","0","1","3","50.0","1","0.33","2","0.333","1","25.0","4","100.0","0","","0","0","0.0","0","95.8","57.1","-0.4","","100.0","","","1.00","0.4","6.0","5.7","0.3","0.94","5.7"
"15","Jauan Jennings","SF","WR","15","2025","4","100.0","10.5","21","80.8","2","0.1","50.0","0.50","2","100.0","27","1.8","69.2","6.75","13.50","13.50","10","5.00","1","0.50","1","100.0","1","1","1","0","2","66.7","0","","2","0.500","0","","2","100.0","0","","0","0","0.0","0","158.3","50.0","5.6","","100.0","","","2.68","0.7","10.7","5.5","0.4","1.37","5.5"
"16","Tim Patrick","JAX","WR","16","2025","5","71.4","24.0","24","51.1","1","0.1","16.7","0.20","1","100.0","26","1.6","33.3","5.20","26.00","26.00","2","2.00","","","0","0.0","0","0","0","1","0","0.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","16.7","14.2","","100.0","","","0.72","0.2","3.6","1.9","0.1","0.37","1.9"
"17","Tre Tucker","LV","WR","17","2025","7","100.0","34.0","34","42.5","1","0.1","16.7","0.14","1","100.0","26","1.5","36.6","3.71","26.00","26.00","0","","","","1","50.0","0","1","1","1","1","20.0","0","","1","0.143","0","","1","100.0","0","","0","0","0.0","0","158.3","20.0","12.0","","100.0","","","1.37","0.6","9.6","1.1","0.1","0.15","1.1"
"18","DJ Moore","CHI","WR","17","2025","8","100.0","8.0","24","25.8","3","0.2","37.5","0.38","1","33.3","26","1.5","29.9","3.25","8.67","26.00","19","19.00","6","6.00","0","0.0","2","2","0","0","2","40.0","1","1.00","1","0.125","0","","1","33.3","0","","0","0","0.0","0","66.0","37.5","1.5","","100.0","","","0.45","0.2","3.6","7.2","0.4","0.90","7.2"
"19","Chris Godwin","TB","WR","9","2025","1","100.0","7.0","7","100.0","1","0.1","100.0","1.00","1","100.0","25","2.8","100.0","25.00","25.00","25.00","18","18.00","18","18.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","1.000","0","","1","100.0","0","","1","1","100.0","0","118.8","100.0","17.9","","100.0","","","3.50","0.4","3.5","2.9","0.3","2.89","2.9"
"20","Jakobi Meyers","LV, JAX","WR","16","2025","14","93.3","2.6","13","20.0","5","0.3","41.7","0.36","3","60.0","24","1.5","24.7","1.71","4.80","8.00","15","5.00","5","1.67","0","0.0","2","1","0","0","5","55.6","0","","1","0.071","0","","3","60.0","2","40.0","0","0","0.0","0","72.1","45.5","-1.3","","100.0","","","0.39","0.3","5.4","10.3","0.6","0.74","10.3"
"21","Christian Watson","GB","WR","10","2025","3","75.0","21.0","21","100.0","1","0.1","25.0","0.33","1","100.0","23","2.3","74.2","7.67","23.00","23.00","2","2.00","","","1","33.3","0","0","0","1","1","25.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","158.3","25.0","11.8","","100.0","","","3.10","0.9","9.3","2.0","0.2","0.68","2.0"
"22","Quentin Johnston","LAC","WR","14","2025","1","100.0","18.0","18","100.0","1","0.1","100.0","1.00","1","100.0","23","1.6","100.0","23.00","23.00","23.00","5","5.00","2","2.00","1","100.0","0","0","0","0","1","100.0","1","1.00","1","1.000","0","","1","100.0","0","","0","0","0.0","0","158.3","100.0","12.1","","100.0","","","9.30","0.7","9.3","0.9","0.1","0.89","0.9"
"23","Josh Downs","IND","WR","16","2025","10","100.0","6.8","41","89.1","6","0.4","66.7","0.60","3","50.0","23","1.4","100.0","2.30","3.83","7.67","5","1.67","2","0.67","1","100.0","2","1","1","0","5","83.3","0","","3","0.300","2","33.3","5","83.3","0","","0","0","0.0","0","99.3","85.7","-3.1","","100.0","","","1.13","0.7","11.3","11.4","0.7","1.14","11.4"
"24","Jameson Williams","DET","WR","17","2025","7","87.5","6.0","12","27.9","2","0.1","25.0","0.29","1","50.0","22","1.3","37.9","3.14","11.00","22.00","26","26.00","25","25.00","1","100.0","0","0","0","0","1","25.0","1","1.00","1","0.143","0","","1","50.0","1","50.0","0","0","0.0","0","129.2","40.0","3.7","","100.0","","","1.31","0.5","9.2","3.3","0.2","0.48","3.3"
"25","Nico Collins","HST","WR","15","2025","9","100.0","8.5","34","77.3","4","0.3","44.4","0.44","2","50.0","22","1.5","84.6","2.44","5.50","11.00","6","3.00","3","1.50","0","0.0","2","1","0","0","3","50.0","0","","1","0.111","0","","2","50.0","0","","1","1","100.0","0","66.7","57.1","-1.9","","100.0","","","0.47","0.3","4.2","10.5","0.7","1.16","10.5"
"26","Mike Evans","TB","WR","8","2025","1","100.0","15.0","15","100.0","1","0.1","100.0","1.00","1","100.0","21","2.6","100.0","21.00","21.00","21.00","6","6.00","","","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","10.6","","100.0","","","3.10","0.4","3.1","1.7","0.2","1.74","1.7"
