"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Amon-Ra St. Brown","DET","WR","17","2025","5","100.0","10.7","32","55.2","3","0.2","75.0","0.60","3","100.0","59","3.5","100.0","11.80","19.67","19.67","27","9.00","5","1.67","0","0.0","0","0","0","0","2","66.7","0","","3","0.600","0","","3","100.0","1","33.3","1","1","100.0","0","118.8","75.0","10.5","100.0","","","","1.78","0.5","8.9","5.9","0.3","1.17","5.9"
"2","George Pickens","DAL","WR","17","2025","22","100.0","9.3","28","23.5","3","0.2","16.7","0.14","3","100.0","40","2.4","29.4","1.82","13.33","13.33","12","4.00","10","3.33","0","0.0","1","0","0","0","3","25.0","0","","3","0.136","0","","3","100.0","0","","2","2","100.0","0","118.8","17.6","5.3","100.0","","","","0.32","0.4","7.0","5.8","0.3","0.26","5.8"
"3","A.J. Brown","PHI","WR","15","2025","8","88.9","13.0","26","27.4","2","0.1","22.2","0.25","2","100.0","38","2.5","48.1","4.75","19.00","19.00","12","6.00","","","1","100.0","0","0","0","1","0","0.0","0","","1","0.125","0","","2","100.0","0","","0","0","0.0","0","158.3","25.0","10.7","100.0","","","","1.48","0.8","11.8","3.9","0.3","0.49","3.9"
"4","Tez Johnson","TB","WR","16","2025","2","100.0","3.5","7","100.0","2","0.1","100.0","1.00","2","100.0","35","2.2","100.0","17.50","17.50","17.50","28","14.00","3","1.50","1","100.0","0","0","0","0","1","100.0","2","1.00","2","1.000","0","","2","100.0","1","50.0","0","0","0.0","0","158.3","100.0","11.0","100.0","","","","5.75","0.7","11.5","2.9","0.2","1.43","2.9"
"5","Stefon Diggs","NE","WR","17","2025","7","87.5","6.3","19","26.8","3","0.2","37.5","0.43","3","100.0","31","1.8","58.5","4.43","10.33","10.33","12","4.00","5","1.67","0","0.0","0","0","0","0","2","40.0","0","","3","0.429","0","","3","100.0","0","","0","0","0.0","1","109.7","37.5","3.5","100.0","","","","0.87","0.4","6.1","4.4","0.3","0.63","4.4"
"6","Marvin Mims","DEN","WR","15","2025","2","100.0","24.0","24","100.0","1","0.1","100.0","0.50","1","100.0","28","1.9","100.0","14.00","28.00","28.00","4","4.00","2","2.00","0","0.0","0","0","0","1","1","100.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","16.2","100.0","","","","1.90","0.3","3.8","1.8","0.1","0.92","1.8"
"7","Justin Jefferson","MIN","WR","17","2025","16","100.0","7.0","14","22.2","2","0.1","20.0","0.13","2","100.0","27","1.6","37.0","1.69","13.50","13.50","13","6.50","5","2.50","0","0.0","0","0","0","0","2","28.6","1","0.50","0","0.000","0","","2","100.0","1","50.0","1","1","100.0","0","118.8","22.2","5.2","100.0","","","","0.29","0.3","4.7","3.0","0.2","0.19","3.0"
"8","Andrei Iosivas","CIN","WR","17","2025","12","100.0","4.0","8","11.6","2","0.1","18.2","0.17","2","100.0","26","1.5","33.8","2.17","13.00","13.00","18","9.00","1","0.50","0","0.0","0","0","0","0","2","28.6","0","","2","0.167","0","","2","100.0","0","","1","1","100.0","0","118.8","20.0","7.0","100.0","","","","0.38","0.3","4.6","2.7","0.2","0.23","2.7"
"9","Parker Washington","JAX","WR","16","2025","2","100.0","20.0","20","69.0","1","0.1","50.0","0.50","1","100.0","20","1.3","69.0","10.00","20.00","20.00","0","","","","0","0.0","0","0","0","1","1","50.0","0","","1","0.500","0","","1","100.0","0","","1","1","100.0","0","118.8","50.0","9.1","100.0","","","","1.50","0.2","3.0","2.5","0.2","1.26","2.5"
"10","Rashod Bateman","BLT","WR","13","2025","5","83.3","18.0","18","52.9","1","0.1","25.0","0.20","1","100.0","20","1.5","40.0","4.00","20.00","20.00","2","2.00","1","1.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.200","0","","1","100.0","0","","1","1","100.0","0","118.8","25.0","9.1","100.0","","","","0.60","0.2","3.0","2.1","0.2","0.42","2.1"
"11","Jaylen Waddle","MIA","WR","16","2025","11","100.0","7.3","22","35.5","3","0.2","30.0","0.27","2","66.7","20","1.3","29.4","1.82","6.67","10.00","13","6.50","","","0","0.0","0","0","0","0","3","42.9","0","","1","0.091","1","33.3","3","100.0","0","","2","1","50.0","0","85.4","30.0","-0.7","100.0","","","","0.36","0.3","4.0","4.3","0.3","0.39","4.3"
"12","Courtland Sutton","DEN","WR","17","2025","4","100.0","20.0","20","41.7","1","0.1","33.3","0.25","1","100.0","20","1.2","41.7","5.00","20.00","20.00","0","","","","0","0.0","0","0","0","1","0","0.0","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","9.1","100.0","","","","0.75","0.2","3.0","2.3","0.1","0.58","2.3"
"13","Dontayvion Wicks","GB","WR","14","2025","5","100.0","17.0","17","41.5","1","0.1","33.3","0.20","1","100.0","18","1.3","43.9","3.60","18.00","18.00","1","1.00","","","0","0.0","0","0","0","0","1","33.3","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","6.3","100.0","","","","0.56","0.2","2.8","2.2","0.2","0.44","2.2"
"14","Calvin Ridley","TEN","WR","7","2025","4","100.0","13.0","13","30.2","1","0.1","25.0","0.25","1","100.0","18","2.6","27.3","4.50","18.00","18.00","5","5.00","1","1.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","118.8","25.0","9.1","100.0","","","","0.70","0.4","2.8","1.3","0.2","0.33","1.3"
"15","Roman Wilson","PIT","WR","13","2025","7","100.0","21.5","43","56.6","2","0.2","40.0","0.29","1","50.0","17","1.3","58.6","2.43","8.50","17.00","2","2.00","","","0","0.0","0","0","0","1","1","33.3","0","","1","0.143","0","","1","50.0","0","","0","0","0.0","0","79.2","40.0","-2.2","100.0","","","","0.39","0.2","2.7","4.0","0.3","0.57","4.0"
