"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Jordan Addison","MIN","WR","14","2025","43","93.5","19.8","297","67.0","15","1.1","39.5","0.35","11","73.3","265","18.9","67.9","6.16","17.67","24.09","77","7.00","12","1.09","0","0.0","1","1","0","7","11","42.3","0","","6","0.140","1","6.7","12","80.0","1","6.7","2","1","50.0","0","75.7","39.5","7.4","100.0","","","","0.87","2.7","37.5","25.3","1.8","0.59","25.3"
"2","CeeDee Lamb","DAL","WR","14","2025","35","94.6","19.3","232","71.6","12","0.9","36.4","0.34","8","66.7","147","10.5","61.8","4.20","12.25","18.38","17","2.13","6","0.75","0","0.0","0","0","0","4","9","40.9","0","","4","0.114","1","8.3","10","83.3","0","","2","1","50.0","0","108.7","36.4","2.3","100.0","","","","0.65","1.6","22.7","20.7","1.5","0.59","20.7"
"3","Terry McLaurin","WAS","WR","10","2025","26","96.3","24.3","146","69.9","6","0.6","26.1","0.23","5","83.3","143","14.3","62.7","5.50","23.83","28.60","34","6.80","21","4.20","1","100.0","0","0","0","3","4","33.3","2","0.40","4","0.154","0","","5","83.3","0","","1","1","100.0","0","158.3","28.6","11.9","100.0","","","","0.97","2.5","25.3","12.2","1.2","0.47","12.2"
"4","Alec Pierce","IND","WR","15","2025","58","98.3","19.2","211","43.6","11","0.7","21.6","0.19","7","63.6","129","8.6","33.5","2.22","11.73","18.43","40","5.71","20","2.86","1","33.3","1","1","1","4","11","29.7","1","0.14","6","0.103","0","","8","72.7","0","","3","1","33.3","0","134.3","22.4","1.6","100.0","","","","0.45","1.7","25.9","20.9","1.4","0.36","20.9"
"5","Jaxon Smith-Njigba","SEA","WR","17","2025","40","100.0","8.3","99","36.3","12","0.7","32.4","0.30","10","83.3","122","7.2","47.3","3.05","10.17","12.20","37","3.70","12","1.20","0","0.0","0","0","0","0","9","37.5","0","","7","0.175","0","","11","91.7","2","16.7","2","1","50.0","0","109.0","34.3","2.3","100.0","","","","0.56","1.3","22.2","19.9","1.2","0.50","19.9"
"6","Ja'Marr Chase","CIN","WR","16","2025","42","89.4","14.7","132","45.7","9","0.6","20.9","0.21","7","77.8","116","7.3","30.3","2.76","12.89","16.57","34","4.86","18","2.57","0","0.0","0","0","0","2","9","32.1","0","","5","0.119","0","","7","77.8","0","","1","1","100.0","0","118.8","20.9","3.7","100.0","","","","0.44","1.2","18.6","17.0","1.1","0.41","17.0"
"7","Tee Higgins","CIN","WR","15","2025","43","91.5","12.7","127","38.3","10","0.7","23.3","0.23","5","50.0","107","7.1","27.0","2.49","10.70","21.40","41","8.20","6","1.20","2","100.0","0","0","0","2","9","29.0","2","0.40","4","0.093","0","","6","60.0","0","","2","1","50.0","0","127.9","23.8","2.0","100.0","","","","0.64","1.8","27.7","19.7","1.3","0.46","19.7"
"8","Puka Nacua","LA","WR","16","2025","31","96.9","9.8","88","27.9","9","0.6","31.0","0.29","5","55.6","99","6.2","27.9","3.19","11.00","19.80","61","12.20","24","4.80","0","0.0","0","0","0","2","5","31.3","2","0.40","3","0.097","0","","5","55.6","0","","0","0","0.0","0","94.2","31.0","2.8","100.0","","","","0.48","0.9","14.9","15.4","1.0","0.50","15.4"
"9","Nico Collins","HST","WR","15","2025","50","98.0","9.5","95","28.7","10","0.7","21.7","0.20","8","80.0","98","6.5","25.7","1.96","9.80","12.25","25","3.13","15","1.88","0","0.0","1","0","0","0","8","33.3","1","0.13","6","0.120","1","10.0","10","100.0","0","","5","4","80.0","1","107.5","23.8","1.7","100.0","","","","0.36","1.2","17.8","18.3","1.2","0.37","18.3"
"10","Van Jefferson","TEN","WR","16","2025","45","90.0","17.5","140","46.4","8","0.5","17.4","0.18","6","75.0","91","5.7","32.0","2.02","11.38","15.17","3","0.50","","","0","0.0","0","0","0","3","7","24.1","0","","3","0.067","0","","7","87.5","0","","3","2","66.7","1","112.0","21.6","1.6","100.0","","","","0.34","0.9","15.1","13.8","0.9","0.31","13.8"
