"Team Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","",""
"Rank","Name","G","Season","Location","Team Name","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 ATT","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %"
"1","Chicago Bears","16","2025","Chicago","Bears","34","202","12.6","5.94","2","0","11","8.8","60","29.7","1","5.9","67.6","32.4","6","0.18","70","2.06","34.7","3.88","0","","0","0","","","34","100.0","202","2","5.94","67.6"
"2","Detroit Lions","13","2025","Detroit","Lions","33","190","14.6","5.76","0","0","7","6.1","38","20.0","0","","63.6","36.4","7","0.21","81","2.45","42.6","3.30","0","","0","0","","","33","100.0","190","0","5.76","63.6"
"3","Atlanta Falcons","14","2025","Atlanta","Falcons","27","188","13.4","6.96","1","0","8","14.8","106","56.4","1","3.7","55.6","44.4","10","0.37","109","4.04","58.0","2.93","0","","0","0","","","27","100.0","188","1","6.96","55.6"
"4","New York Giants","17","2025","New York","Giants","24","152","8.9","6.33","2","0","5","8.3","81","53.3","0","8.3","45.8","50.0","3","0.13","46","1.92","30.3","4.42","0","","0","0","","","24","100.0","152","2","6.33","45.8"
"5","Buffalo Bills","12","2025","Buffalo","Bills","19","147","12.3","7.74","2","0","9","21.1","93","63.3","0","10.5","57.9","42.1","9","0.47","63","3.32","42.9","4.42","0","","0","0","","","19","100.0","147","2","7.74","57.9"
"6","Carolina Panthers","16","2025","Carolina","Panthers","30","129","8.1","4.30","1","1","6","10.0","48","37.2","2","3.3","43.3","43.3","6","0.20","65","2.17","50.4","2.13","0","","0","0","","","30","100.0","129","1","4.30","43.3"
"7","Los Angeles Rams","15","2025","Los Angeles","Rams","26","117","7.8","4.50","0","0","5","3.8","29","24.8","0","","46.2","38.5","6","0.23","78","3.00","66.7","1.50","0","","0","0","","","26","100.0","117","0","4.50","46.2"
"8","Philadelphia Eagles","15","2025","Philadelphia","Eagles","26","112","7.5","4.31","1","1","2","","0","","2","3.8","61.5","30.8","2","0.08","60","2.31","53.6","2.00","0","","0","0","","","26","100.0","112","1","4.31","61.5"
"9","Las Vegas Raiders","9","2025","Las Vegas","Raiders","27","111","12.3","4.11","0","2","4","7.4","39","35.1","3","","40.7","59.3","5","0.19","69","2.56","62.2","1.56","0","","0","0","","","27","100.0","111","0","4.11","40.7"
"10","Washington Commanders","17","2025","Washington","Commanders","32","107","6.3","3.34","2","1","5","","0","","3","6.3","53.1","50.0","6","0.19","78","2.44","72.9","0.91","0","","0","0","","","32","100.0","107","2","3.34","53.1"
"11","Baltimore Ravens","14","2025","Baltimore","Ravens","24","106","7.6","4.42","0","0","6","8.3","31","29.2","1","","37.5","66.7","1","0.04","51","2.13","48.1","2.29","0","","0","0","","","24","100.0","106","0","4.42","37.5"
"12","New England Patriots","11","2025","New England","Patriots","23","98","8.9","4.26","1","0","5","4.3","21","21.4","0","4.3","43.5","52.2","2","0.09","34","1.48","34.7","2.78","0","","0","0","","","23","100.0","98","1","4.26","43.5"
"13","Miami Dolphins","13","2025","Miami","Dolphins","20","98","7.5","4.90","3","0","8","15.0","67","68.4","2","15.0","50.0","50.0","4","0.20","48","2.40","49.0","2.50","0","","0","0","","","20","100.0","98","3","4.90","50.0"
"14","New York Jets","14","2025","New York","Jets","29","91","6.5","3.14","0","0","1","","0","","0","","34.5","55.2","1","0.03","48","1.66","52.7","1.48","0","","0","0","","","29","100.0","91","0","3.14","34.5"
"15","Tennessee Titans","11","2025","Tennessee","Titans","19","91","8.3","4.79","0","0","5","5.3","15","16.5","0","","57.9","42.1","2","0.11","27","1.42","29.7","3.37","0","","0","0","","","19","100.0","91","0","4.79","57.9"
"16","New Orleans Saints","16","2025","New Orleans","Saints","31","80","5.0","2.58","0","1","3","3.2","15","18.8","0","","35.5","61.3","4","0.13","40","1.29","50.0","1.29","0","","0","0","","","31","100.0","80","0","2.58","35.5"
"17","Houston Texans","16","2025","Houston","Texans","28","78","4.9","2.79","1","0","5","","0","","1","3.6","39.3","57.1","3","0.11","48","1.71","61.5","1.07","0","","0","0","","","28","100.0","78","1","2.79","39.3"
"18","Cincinnati Bengals","10","2025","Cincinnati","Bengals","18","77","7.7","4.28","0","0","4","5.6","15","19.5","0","","55.6","38.9","4","0.22","38","2.11","49.4","2.17","0","","0","0","","","18","100.0","77","0","4.28","55.6"
