"Team Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","",""
"Rank","Name","G","Season","Location","Team Name","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 ATT","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %"
"1","Miami Dolphins","17","2025","Miami","Dolphins","115","593","34.9","5.16","1","1","33","6.1","173","29.2","5","0.9","57.4","40.0","21","0.18","295","2.57","49.7","2.59","115","100.0","593","1","5.16","57.4","0","","0","0","",""
"2","Green Bay Packers","17","2025","Green Bay","Packers","108","521","30.6","4.82","3","0","34","2.8","58","11.1","6","2.8","62.0","31.5","11","0.10","234","2.17","44.9","2.66","108","100.0","521","3","4.82","62.0","0","","0","0","",""
"3","Minnesota Vikings","17","2025","Minnesota","Vikings","116","486","28.6","4.19","1","2","37","5.2","109","22.4","4","0.9","55.2","36.2","20","0.17","258","2.22","53.1","1.97","116","100.0","486","1","4.19","55.2","0","","0","0","",""
"4","Las Vegas Raiders","17","2025","Las Vegas","Raiders","109","473","27.8","4.34","5","1","31","2.8","98","20.7","5","4.6","53.2","37.6","14","0.13","293","2.69","61.9","1.65","109","100.0","473","5","4.34","53.2","0","","0","0","",""
"5","Washington Commanders","17","2025","Washington","Commanders","118","466","27.4","3.95","2","0","25","1.7","34","7.3","8","1.7","56.8","39.8","12","0.10","245","2.08","52.6","1.87","118","100.0","466","2","3.95","56.8","0","","0","0","",""
"6","Cleveland Browns","17","2025","Cleveland","Browns","112","460","27.1","4.11","5","2","26","3.6","141","30.7","7","4.5","41.1","50.0","17","0.15","177","1.58","38.5","2.53","112","100.0","460","5","4.11","41.1","0","","0","0","",""
"7","New England Patriots","17","2025","New England","Patriots","100","441","25.9","4.41","2","1","31","3.0","59","13.4","6","2.0","61.0","37.0","13","0.13","185","1.85","42.0","2.56","100","100.0","441","2","4.41","61.0","0","","0","0","",""
"8","Tampa Bay Buccaneers","17","2025","Tampa Bay","Buccaneers","100","439","25.8","4.39","4","0","22","3.0","76","17.3","5","4.0","54.0","37.0","11","0.11","163","1.63","37.1","2.76","100","100.0","439","4","4.39","54.0","0","","0","0","",""
"9","New York Jets","17","2025","New York","Jets","98","438","25.8","4.47","4","2","24","4.1","126","28.8","5","4.1","45.9","48.0","14","0.14","261","2.66","59.6","1.81","98","100.0","438","4","4.47","45.9","0","","0","0","",""
"10","Carolina Panthers","17","2025","Carolina","Panthers","95","435","25.6","4.58","3","1","23","4.2","120","27.6","6","3.2","48.4","42.1","11","0.12","210","2.21","48.3","2.37","95","100.0","435","3","4.58","48.4","0","","0","0","",""
"11","Buffalo Bills","17","2025","Buffalo","Bills","96","423","24.9","4.41","5","0","30","2.1","41","9.7","11","5.2","59.4","37.5","14","0.15","211","2.20","49.9","2.21","96","100.0","423","5","4.41","59.4","0","","0","0","",""
"12","Atlanta Falcons","17","2025","Atlanta","Falcons","99","419","24.6","4.23","0","1","27","2.0","43","10.3","0","","54.5","37.4","6","0.06","204","2.06","48.7","2.17","99","100.0","419","0","4.23","54.5","0","","0","0","",""
"13","Seattle Seahawks","17","2025","Seattle","Seahawks","92","407","23.9","4.42","1","0","22","3.3","109","26.8","5","1.1","44.6","47.8","13","0.14","249","2.71","61.2","1.72","92","100.0","407","1","4.42","44.6","0","","0","0","",""
"14","Los Angeles Rams","17","2025","Los Angeles","Rams","99","404","23.8","4.08","3","1","21","2.0","73","18.1","4","3.0","39.4","51.5","14","0.14","177","1.79","43.8","2.29","99","100.0","404","3","4.08","39.4","0","","0","0","",""
"15","Philadelphia Eagles","17","2025","Philadelphia","Eagles","93","390","22.9","4.19","3","4","27","3.2","58","14.9","8","3.2","50.5","44.1","14","0.15","216","2.32","55.4","1.87","93","100.0","390","3","4.19","50.5","0","","0","0","",""
"16","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","102","382","22.5","3.75","2","1","26","2.9","51","13.4","2","2.0","46.1","45.1","10","0.10","194","1.90","50.8","1.84","102","100.0","382","2","3.75","46.1","0","","0","0","",""
"17","Arizona Cardinals","17","2025","Arizona","Cardinals","104","380","22.4","3.65","6","1","30","3.8","75","19.7","11","5.8","46.2","45.2","18","0.17","212","2.04","55.8","1.62","104","100.0","380","6","3.65","46.2","0","","0","0","",""
"18","Cincinnati Bengals","17","2025","Cincinnati","Bengals","95","380","22.4","4.00","3","0","26","","0","","8","3.2","53.7","41.1","8","0.08","210","2.21","55.3","1.79","95","100.0","380","3","4.00","53.7","0","","0","0","",""
"19","Dallas Cowboys","17","2025","Dallas","Cowboys","82","365","21.5","4.45","4","0","23","6.1","112","30.7","1","4.9","51.2","45.1","15","0.18","240","2.93","65.8","1.52","82","100.0","365","4","4.45","51.2","0","","0","0","",""
"20","New York Giants","17","2025","New York","Giants","88","363","21.4","4.13","3","2","20","4.5","81","22.3","1","3.4","50.0","43.2","14","0.16","192","2.18","52.9","1.94","88","100.0","363","3","4.13","50.0","0","","0","0","",""
"21","Los Angeles Chargers","17","2025","Los Angeles","Chargers","95","362","21.3","3.81","2","0","24","4.2","73","20.2","6","2.1","56.8","40.0","14","0.15","174","1.83","48.1","1.98","95","100.0","362","2","3.81","56.8","0","","0","0","",""
"22","Kansas City Chiefs","17","2025","Kansas City","Chiefs","92","359","21.1","3.90","3","0","20","2.2","58","16.2","7","3.3","47.8","50.0","15","0.16","184","2.00","51.3","1.90","92","100.0","359","3","3.90","47.8","0","","0","0","",""
"23","New Orleans Saints","17","2025","New Orleans","Saints","97","358","21.1","3.69","0","1","21","1.0","15","4.2","2","","47.4","39.2","15","0.15","178","1.84","49.7","1.86","97","100.0","358","0","3.69","47.4","0","","0","0","",""
"24","Chicago Bears","17","2025","Chicago","Bears","86","351","20.6","4.08","2","0","27","2.3","31","8.8","4","2.3","50.0","44.2","6","0.07","135","1.57","38.5","2.51","86","100.0","351","2","4.08","50.0","0","","0","0","",""
"25","Houston Texans","17","2025","Houston","Texans","92","351","20.6","3.82","3","1","13","2.2","67","19.1","2","3.3","40.2","50.0","15","0.16","217","2.36","61.8","1.46","92","100.0","351","3","3.82","40.2","0","","0","0","",""
"26","Denver Broncos","17","2025","Denver","Broncos","88","337","19.8","3.83","2","2","19","1.1","40","11.9","5","2.3","45.5","47.7","12","0.14","152","1.73","45.1","2.10","88","100.0","337","2","3.83","45.5","0","","0","0","",""
"27","Detroit Lions","17","2025","Detroit","Lions","87","337","19.8","3.87","2","2","19","2.3","49","14.5","8","2.3","44.8","54.0","8","0.09","180","2.07","53.4","1.80","87","100.0","337","2","3.87","44.8","0","","0","0","",""
"28","Indianapolis Colts","17","2025","Indianapolis","Colts","78","308","18.1","3.95","0","0","15","2.6","47","15.3","1","","48.7","46.2","4","0.05","154","1.97","50.0","1.97","78","100.0","308","0","3.95","48.7","0","","0","0","",""
"29","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","66","291","17.1","4.41","5","1","23","6.1","91","31.3","8","7.6","50.0","42.4","12","0.18","141","2.14","48.5","2.27","66","100.0","291","5","4.41","50.0","0","","0","0","",""
"30","Tennessee Titans","17","2025","Tennessee","Titans","77","287","16.9","3.73","2","0","13","3.9","49","17.1","3","2.6","50.6","48.1","5","0.06","138","1.79","48.1","1.94","77","100.0","287","2","3.73","50.6","0","","0","0","",""
"31","San Francisco 49ers","17","2025","San Francisco","49ers","71","271","15.9","3.82","3","1","18","4.2","66","24.4","3","4.2","52.1","40.8","7","0.10","170","2.39","62.7","1.42","71","100.0","271","3","3.82","52.1","0","","0","0","",""
"32","Baltimore Ravens","17","2025","Baltimore","Ravens","73","235","13.8","3.22","3","2","20","1.4","22","9.4","4","4.1","50.7","45.2","4","0.05","113","1.55","48.1","1.67","73","100.0","235","3","3.22","50.7","0","","0","0","",""
