"Team Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","",""
"Rank","Name","G","Season","Location","Team Name","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 ATT","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %"
"1","Arizona Cardinals","17","2025","Arizona","Cardinals","143","800","47.1","5.59","3","1","32","7.7","312","39.0","8","2.1","50.3","47.6","31","0.22","447","3.13","55.9","2.47","143","100.0","800","3","5.59","50.3","0","","0","0","",""
"2","Chicago Bears","17","2025","Chicago","Bears","162","794","46.7","4.90","6","1","37","4.3","207","26.1","8","3.7","53.1","41.4","29","0.18","389","2.40","49.0","2.50","162","100.0","794","6","4.90","53.1","0","","0","0","",""
"3","Minnesota Vikings","17","2025","Minnesota","Vikings","175","767","45.1","4.38","3","1","37","4.6","165","21.5","5","1.7","52.6","42.3","18","0.10","454","2.59","59.2","1.79","175","100.0","767","3","4.38","52.6","0","","0","0","",""
"4","New Orleans Saints","17","2025","New Orleans","Saints","163","739","43.5","4.53","4","0","33","4.3","170","23.0","3","2.5","46.6","47.9","23","0.14","371","2.28","50.2","2.26","163","100.0","739","4","4.53","46.6","0","","0","0","",""
"5","Cincinnati Bengals","17","2025","Cincinnati","Bengals","120","688","40.5","5.73","2","1","25","8.3","275","40.0","3","1.7","49.2","46.7","24","0.20","377","3.14","54.8","2.59","120","100.0","688","2","5.73","49.2","0","","0","0","",""
"6","Buffalo Bills","17","2025","Buffalo","Bills","120","663","39.0","5.53","4","0","24","5.8","300","45.2","0","3.3","44.2","52.5","13","0.11","350","2.92","52.8","2.61","120","100.0","663","4","5.53","44.2","0","","0","0","",""
"7","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","143","657","38.6","4.59","0","3","31","7.7","231","35.2","3","","45.5","52.4","19","0.13","315","2.20","47.9","2.39","143","100.0","657","0","4.59","45.5","0","","0","0","",""
"8","Carolina Panthers","17","2025","Carolina","Panthers","149","650","38.2","4.36","5","1","31","4.0","121","18.6","5","3.4","44.3","48.3","26","0.17","269","1.81","41.4","2.56","149","100.0","650","5","4.36","44.3","0","","0","0","",""
"9","New York Jets","17","2025","New York","Jets","137","633","37.2","4.62","2","4","29","3.6","126","19.9","3","1.5","47.4","47.4","21","0.15","377","2.75","59.6","1.87","137","100.0","633","2","4.62","47.4","0","","0","0","",""
