"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Saquon Barkley","PHI","RB","16","2025","30","71","4.4","2.37","0","0","2","3.3","17","23.9","33.3","","23.3","73.3","5","0.17","63","2.10","88.7","0.27","0","","0","0","","","30","100.0","71","0","2.37","23.3","0.4","7.1","15.7","1.0"
"2","Javonte Williams","DAL","RB","16","2025","30","121","7.6","4.03","0","0","3","3.3","15","12.4","100.0","","53.3","46.7","3","0.10","73","2.43","60.3","1.60","0","","0","0","","","30","100.0","121","0","4.03","53.3","0.8","12.1","18.5","1.2"
"3","Rachaad White","TB","RB","17","2025","29","136","8.0","4.69","0","0","8","3.4","20","14.7","0.0","","55.2","44.8","9","0.31","64","2.21","47.1","2.48","0","","0","0","","","29","100.0","136","0","4.69","55.2","0.8","13.6","13.6","0.8"
"4","Bucky Irving","TB","RB","10","2025","24","83","8.3","3.46","1","1","5","4.2","16","19.3","0.0","4.2","41.7","54.2","2","0.08","43","1.79","51.8","1.67","0","","0","0","","","24","100.0","83","1","3.46","41.7","1.3","13.3","11.4","1.1"
"5","Jacory Croskey-Merritt","WAS","RB","17","2025","23","76","4.5","3.30","1","1","3","","0","","0.0","4.3","52.2","47.8","2","0.09","37","1.61","48.7","1.70","0","","0","0","","","23","100.0","76","1","3.30","52.2","0.7","12.6","12.1","0.7"
"6","Josh Jacobs","GB","RB","15","2025","20","78","5.2","3.90","0","0","4","10.0","33","42.3","0.0","","35.0","55.0","4","0.20","58","2.90","74.4","1.00","0","","0","0","","","20","100.0","78","0","3.90","35.0","0.5","7.8","10.2","0.7"
"7","Jonathan Taylor","IND","RB","17","2025","18","31","1.8","1.72","2","0","2","","0","","100.0","11.1","33.3","72.2","2","0.11","24","1.33","77.4","0.39","0","","0","0","","","18","100.0","31","2","1.72","33.3","0.9","15.1","18.5","1.1"
"8","D'Andre Swift","CHI","RB","16","2025","16","48","3.0","3.00","0","0","2","6.3","15","31.3","0.0","","37.5","62.5","1","0.06","19","1.19","39.6","1.81","0","","0","0","","","16","100.0","48","0","3.00","37.5","0.3","4.8","8.7","0.5"
"9","Quinshon Judkins","CLV","RB","14","2025","14","54","3.9","3.86","2","0","4","","0","","100.0","14.3","50.0","57.1","3","0.21","36","2.57","66.7","1.29","0","","0","0","","","14","100.0","54","2","3.86","50.0","1.2","17.4","10.6","0.8"
"10","Blake Corum","LA","RB","17","2025","13","49","2.9","3.77","0","0","2","7.7","15","30.6","100.0","","46.2","46.2","1","0.08","20","1.54","40.8","2.23","0","","0","0","","","13","100.0","49","0","3.77","46.2","0.3","4.9","7.9","0.5"
"11","Travis Etienne","JAX","RB","17","2025","13","12","0.7","0.92","1","0","2","","0","","100.0","7.7","23.1","76.9","1","0.08","13","1.00","108.3","-0.08","0","","0","0","","","13","100.0","12","1","0.92","23.1","0.4","7.2","9.9","0.6"
