"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","Saquon Barkley","PHI","RB","16","2025","86","317","19.8","3.69","1","0","16","2.3","34","10.7","100.0","1.2","48.8","45.3","7","0.08","142","1.65","44.8","2.03","86","100.0","317","1","3.69","48.8","0","","0","0","","","2.4","37.7","55.9","3.5"
"2","Breece Hall","NYJ","RB","16","2025","85","365","22.8","4.29","1","0","24","7.1","124","34.0","66.7","1.2","50.6","38.8","14","0.16","157","1.85","43.0","2.45","85","100.0","365","1","4.29","50.6","0","","0","0","","","2.7","42.5","45.1","2.8"
"3","Jonathan Taylor","IND","RB","17","2025","75","291","17.1","3.88","2","0","17","4.0","53","18.2","71.4","2.7","38.7","50.7","8","0.11","130","1.73","44.7","2.15","75","100.0","291","2","3.88","38.7","0","","0","0","","","2.4","41.1","48.2","2.8"
"4","James Cook","BUF","RB","17","2025","73","370","21.8","5.07","2","0","15","2.7","60","16.2","100.0","2.7","61.6","38.4","11","0.15","186","2.55","50.3","2.52","73","100.0","370","2","5.07","61.6","0","","0","0","","","2.9","49.0","41.5","2.4"
"5","Javonte Williams","DAL","RB","16","2025","72","326","20.4","4.53","4","0","25","4.2","52","16.0","87.5","5.6","61.1","34.7","8","0.11","173","2.40","53.1","2.13","72","100.0","326","4","4.53","61.1","0","","0","0","","","3.5","56.6","51.8","3.2"
"6","Rico Dowdle","CAR","RB","17","2025","71","316","18.6","4.45","1","0","15","4.2","68","21.5","50.0","1.4","46.5","43.7","12","0.17","170","2.39","53.8","2.06","71","100.0","316","1","4.45","46.5","0","","0","0","","","2.2","37.6","40.5","2.4"
"7","Zach Charbonnet","SEA","RB","16","2025","69","238","14.9","3.45","8","0","21","1.4","27","11.3","76.9","11.6","46.4","47.8","15","0.22","144","2.09","60.5","1.36","69","100.0","238","8","3.45","46.4","0","","0","0","","","4.5","71.8","54.2","3.4"
"8","Christian McCaffrey","SF","RB","17","2025","66","261","15.4","3.95","3","0","15","1.5","17","6.5","60.0","4.5","63.6","36.4","7","0.11","103","1.56","39.5","2.39","66","100.0","261","3","3.95","63.6","0","","0","0","","","2.6","44.1","52.9","3.1"
"9","Ashton Jeanty","LV","RB","17","2025","65","290","17.1","4.46","2","0","14","4.6","91","31.4","100.0","3.1","40.0","52.3","11","0.17","182","2.80","62.8","1.66","65","100.0","290","2","4.46","40.0","0","","0","0","","","2.4","41.0","35.9","2.1"
"10","Kyren Williams","LA","RB","17","2025","62","282","16.6","4.55","4","0","16","4.8","68","24.1","55.6","6.5","59.7","35.5","9","0.15","139","2.24","49.3","2.31","62","100.0","282","4","4.55","59.7","0","","0","0","","","3.1","52.2","39.2","2.3"
