"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"1","James Cook","BUF","RB","17","2025","119","614","36.1","5.16","6","2","28","5.0","175","28.5","68.8","5.0","58.0","40.3","18","0.15","230","1.93","37.5","3.23","0","","0","0","","","119","100.0","614","6","5.16","58.0","5.7","96.4","80.7","4.7"
"2","Kyren Williams","LA","RB","17","2025","109","464","27.3","4.26","3","1","33","2.8","51","11.0","60.0","2.8","61.5","31.2","9","0.08","207","1.90","44.6","2.36","0","","0","0","","","109","100.0","464","3","4.26","61.5","3.7","63.4","78.2","4.6"
"3","Chase Brown","CIN","RB","17","2025","74","339","19.9","4.58","3","0","18","2.7","72","21.2","80.0","4.1","56.8","43.2","10","0.14","185","2.50","54.6","2.08","0","","0","0","","","74","100.0","339","3","4.58","56.8","3.1","51.9","49.7","2.9"
"4","Woody Marks","HST","RB","16","2025","73","277","17.3","3.79","0","0","17","2.7","42","15.2","50.0","","50.7","46.6","5","0.07","148","2.03","53.4","1.77","0","","0","0","","","73","100.0","277","0","3.79","50.7","1.7","27.7","42.1","2.6"
"5","Rico Dowdle","CAR","RB","17","2025","65","246","14.5","3.78","2","0","15","","0","","80.0","3.1","52.3","49.2","6","0.09","112","1.72","45.5","2.06","0","","0","0","","","65","100.0","246","2","3.78","52.3","2.2","36.6","39.8","2.3"
"6","Jonathan Taylor","IND","RB","17","2025","65","393","23.1","6.05","4","0","24","4.6","151","38.4","80.0","6.2","64.6","35.4","14","0.22","179","2.75","45.5","3.29","0","","0","0","","","65","100.0","393","4","6.05","64.6","3.7","63.3","41.0","2.4"
"7","Travis Etienne","JAX","RB","17","2025","65","241","14.2","3.71","2","0","16","1.5","17","7.1","77.8","3.1","50.8","47.7","10","0.15","140","2.15","58.1","1.55","0","","0","0","","","65","100.0","241","2","3.71","50.8","2.1","36.1","47.5","2.8"
"8","TreVeyon Henderson","NE","RB","17","2025","64","284","16.7","4.44","3","0","14","6.3","114","40.1","45.5","4.7","48.4","50.0","6","0.09","124","1.94","43.7","2.50","0","","0","0","","","64","100.0","284","3","4.44","48.4","2.7","46.4","45.2","2.7"
"9","Josh Jacobs","GB","RB","15","2025","63","284","18.9","4.51","7","2","17","6.3","74","26.1","92.3","11.1","58.7","39.7","15","0.24","141","2.24","49.6","2.27","0","","0","0","","","63","100.0","284","7","4.51","58.7","4.6","69.4","52.8","3.5"
"10","Quinshon Judkins","CLV","RB","14","2025","60","258","18.4","4.30","1","0","16","5.0","86","33.3","75.0","1.7","43.3","53.3","15","0.25","146","2.43","56.6","1.87","0","","0","0","","","60","100.0","258","1","4.30","43.3","2.3","31.8","35.5","2.5"
